"Y"	"tj"	"ri"	"L"	"Env"	"G"	"Rep"	"Group"	"Yield"
"2001"	2001	1980	"Barisal"	"2001-Barisal"	"BR10"	"1"	"Long"	3.5
"2001"	2001	1980	"Comilla"	"2001-Comilla"	"BR10"	"1"	"Long"	5.011046512
"2001"	2001	1980	"Gazipur"	"2001-Gazipur"	"BR10"	"1"	"Long"	4.280232558
"2001"	2001	1980	"Rajshahi"	"2001-Rajshahi"	"BR10"	"1"	"Long"	4.48
"2001"	2001	1980	"Rangpur"	"2001-Rangpur"	"BR10"	"1"	"Long"	3.176418605
"2001"	2001	1980	"Satkhira"	"2001-Satkhira"	"BR10"	"1"	"Long"	6.885813953
"2001"	2001	1980	"Sonagazi"	"2001-Sonagazi"	"BR10"	"1"	"Long"	4.238372093
"2002"	2002	1980	"Barisal"	"2002-Barisal"	"BR10"	"1"	"Long"	4.3
"2002"	2002	1980	"Comilla"	"2002-Comilla"	"BR10"	"1"	"Long"	4.15
"2002"	2002	1980	"Gazipur"	"2002-Gazipur"	"BR10"	"1"	"Long"	3.292140698
"2002"	2002	1980	"Rajshahi"	"2002-Rajshahi"	"BR10"	"1"	"Long"	4.779
"2002"	2002	1980	"Rangpur"	"2002-Rangpur"	"BR10"	"1"	"Long"	2.62
"2002"	2002	1980	"Satkhira"	"2002-Satkhira"	"BR10"	"1"	"Long"	6.353023256
"2002"	2002	1980	"Sonagazi"	"2002-Sonagazi"	"BR10"	"1"	"Long"	4.537372093
"2003"	2003	1980	"Barisal"	"2003-Barisal"	"BR10"	"1"	"Long"	3.999767442
"2003"	2003	1980	"Comilla"	"2003-Comilla"	"BR10"	"1"	"Long"	2.303630233
"2003"	2003	1980	"Gazipur"	"2003-Gazipur"	"BR10"	"1"	"Long"	2.603372093
"2003"	2003	1980	"Rajshahi"	"2003-Rajshahi"	"BR10"	"1"	"Long"	4.6295
"2003"	2003	1980	"Rangpur"	"2003-Rangpur"	"BR10"	"1"	"Long"	3.732837209
"2003"	2003	1980	"Satkhira"	"2003-Satkhira"	"BR10"	"1"	"Long"	7.418604651
"2003"	2003	1980	"Sonagazi"	"2003-Sonagazi"	"BR10"	"1"	"Long"	3.79
"2004"	2004	1980	"Barisal"	"2004-Barisal"	"BR10"	"1"	"Long"	4.344192366
"2004"	2004	1980	"Comilla"	"2004-Comilla"	"BR10"	"1"	"Long"	2.565302326
"2004"	2004	1980	"Gazipur"	"2004-Gazipur"	"BR10"	"1"	"Long"	4.109534884
"2004"	2004	1980	"Rajshahi"	"2004-Rajshahi"	"BR10"	"1"	"Long"	4.620511628
"2004"	2004	1980	"Rangpur"	"2004-Rangpur"	"BR10"	"1"	"Long"	3.38
"2004"	2004	1980	"Satkhira"	"2004-Satkhira"	"BR10"	"1"	"Long"	6.303255814
"2004"	2004	1980	"Sonagazi"	"2004-Sonagazi"	"BR10"	"1"	"Long"	2.667019027
"2004"	2004	1980	"Kustia"	"2004-Kustia"	"BR10"	"1"	"Long"	3.201337209
"2005"	2005	1980	"Barisal"	"2005-Barisal"	"BR10"	"1"	"Long"	5.48
"2005"	2005	1980	"Comilla"	"2005-Comilla"	"BR10"	"1"	"Long"	3.995348837
"2005"	2005	1980	"Gazipur"	"2005-Gazipur"	"BR10"	"1"	"Long"	3.913604651
"2005"	2005	1980	"Rajshahi"	"2005-Rajshahi"	"BR10"	"1"	"Long"	6.212790698
"2005"	2005	1980	"Rangpur"	"2005-Rangpur"	"BR10"	"1"	"Long"	2.451677469
"2005"	2005	1980	"Satkhira"	"2005-Satkhira"	"BR10"	"1"	"Long"	6.426046512
"2005"	2005	1980	"Sonagazi"	"2005-Sonagazi"	"BR10"	"1"	"Long"	2.94
"2005"	2005	1980	"Kustia"	"2005-Kustia"	"BR10"	"1"	"Long"	5.198581395
"2006"	2006	1980	"Barisal"	"2006-Barisal"	"BR10"	"1"	"Long"	3.976
"2006"	2006	1980	"Comilla"	"2006-Comilla"	"BR10"	"1"	"Long"	1.06
"2006"	2006	1980	"Gazipur"	"2006-Gazipur"	"BR10"	"1"	"Long"	5
"2006"	2006	1980	"Rajshahi"	"2006-Rajshahi"	"BR10"	"1"	"Long"	5.3
"2006"	2006	1980	"Rangpur"	"2006-Rangpur"	"BR10"	"1"	"Long"	5.15
"2006"	2006	1980	"Satkhira"	"2006-Satkhira"	"BR10"	"1"	"Long"	5.55
"2006"	2006	1980	"Sonagazi"	"2006-Sonagazi"	"BR10"	"1"	"Long"	4.93
"2006"	2006	1980	"Kustia"	"2006-Kustia"	"BR10"	"1"	"Long"	6.35
"2007"	2007	1980	"Barisal"	"2007-Barisal"	"BR10"	"1"	"Long"	4.0335
"2007"	2007	1980	"Comilla"	"2007-Comilla"	"BR10"	"1"	"Long"	3.32
"2007"	2007	1980	"Gazipur"	"2007-Gazipur"	"BR10"	"1"	"Long"	4.41
"2007"	2007	1980	"Rajshahi"	"2007-Rajshahi"	"BR10"	"1"	"Long"	5.6
"2007"	2007	1980	"Rangpur"	"2007-Rangpur"	"BR10"	"1"	"Long"	3.3
"2007"	2007	1980	"Satkhira"	"2007-Satkhira"	"BR10"	"1"	"Long"	4
"2007"	2007	1980	"Sonagazi"	"2007-Sonagazi"	"BR10"	"1"	"Long"	3.7
"2007"	2007	1980	"Kustia"	"2007-Kustia"	"BR10"	"1"	"Long"	5.05
"2008"	2008	1980	"Barisal"	"2008-Barisal"	"BR10"	"1"	"Long"	3.36675
"2008"	2008	1980	"Comilla"	"2008-Comilla"	"BR10"	"1"	"Long"	2.175
"2008"	2008	1980	"Gazipur"	"2008-Gazipur"	"BR10"	"1"	"Long"	5
"2008"	2008	1980	"Rajshahi"	"2008-Rajshahi"	"BR10"	"1"	"Long"	4.25
"2008"	2008	1980	"Rangpur"	"2008-Rangpur"	"BR10"	"1"	"Long"	4.75
"2008"	2008	1980	"Satkhira"	"2008-Satkhira"	"BR10"	"1"	"Long"	4.775
"2008"	2008	1980	"Sonagazi"	"2008-Sonagazi"	"BR10"	"1"	"Long"	1.7
"2008"	2008	1980	"Kustia"	"2008-Kustia"	"BR10"	"1"	"Long"	5.125
"2009"	2009	1980	"Barisal"	"2009-Barisal"	"BR10"	"1"	"Long"	2.7
"2009"	2009	1980	"Comilla"	"2009-Comilla"	"BR10"	"1"	"Long"	3.4625
"2009"	2009	1980	"Gazipur"	"2009-Gazipur"	"BR10"	"1"	"Long"	4
"2009"	2009	1980	"Rajshahi"	"2009-Rajshahi"	"BR10"	"1"	"Long"	4.925
"2009"	2009	1980	"Rangpur"	"2009-Rangpur"	"BR10"	"1"	"Long"	5
"2009"	2009	1980	"Satkhira"	"2009-Satkhira"	"BR10"	"1"	"Long"	4.3875
"2009"	2009	1980	"Sonagazi"	"2009-Sonagazi"	"BR10"	"1"	"Long"	1.7
"2009"	2009	1980	"Kustia"	"2009-Kustia"	"BR10"	"1"	"Long"	5.2
"2010"	2010	1980	"Barisal"	"2010-Barisal"	"BR10"	"1"	"Long"	3.27
"2010"	2010	1980	"Comilla"	"2010-Comilla"	"BR10"	"1"	"Long"	4.75
"2010"	2010	1980	"Gazipur"	"2010-Gazipur"	"BR10"	"1"	"Long"	4.9
"2010"	2010	1980	"Rajshahi"	"2010-Rajshahi"	"BR10"	"1"	"Long"	6.3125
"2010"	2010	1980	"Rangpur"	"2010-Rangpur"	"BR10"	"1"	"Long"	5.2
"2010"	2010	1980	"Satkhira"	"2010-Satkhira"	"BR10"	"1"	"Long"	4.58125
"2010"	2010	1980	"Sonagazi"	"2010-Sonagazi"	"BR10"	"1"	"Long"	4.65
"2010"	2010	1980	"Kustia"	"2010-Kustia"	"BR10"	"1"	"Long"	6
"2011"	2011	1980	"Barisal"	"2011-Barisal"	"BR10"	"1"	"Long"	3.84
"2011"	2011	1980	"Comilla"	"2011-Comilla"	"BR10"	"1"	"Long"	1.5
"2011"	2011	1980	"Gazipur"	"2011-Gazipur"	"BR10"	"1"	"Long"	5
"2011"	2011	1980	"Rajshahi"	"2011-Rajshahi"	"BR10"	"1"	"Long"	7.7
"2011"	2011	1980	"Rangpur"	"2011-Rangpur"	"BR10"	"1"	"Long"	3.1
"2011"	2011	1980	"Satkhira"	"2011-Satkhira"	"BR10"	"1"	"Long"	4.484375
"2011"	2011	1980	"Sonagazi"	"2011-Sonagazi"	"BR10"	"1"	"Long"	5.8
"2011"	2011	1980	"Kustia"	"2011-Kustia"	"BR10"	"1"	"Long"	4.66
"2012"	2012	1980	"Kustia"	"2012-Kustia"	"BR10"	"1"	"Long"	5.5
"2012"	2012	1980	"Sonagazi"	"2012-Sonagazi"	"BR10"	"1"	"Long"	4.95
"2012"	2012	1980	"Comilla"	"2012-Comilla"	"BR10"	"1"	"Long"	5.4
"2012"	2012	1980	"Gazipur"	"2012-Gazipur"	"BR10"	"1"	"Long"	4.45
"2012"	2012	1980	"Rajshahi"	"2012-Rajshahi"	"BR10"	"1"	"Long"	4.82
"2012"	2012	1980	"Rangpur"	"2012-Rangpur"	"BR10"	"1"	"Long"	2.5
"2012"	2012	1980	"Satkhira"	"2012-Satkhira"	"BR10"	"1"	"Long"	3.005
"2012"	2012	1980	"Barisal"	"2012-Barisal"	"BR10"	"1"	"Long"	3.51
"2013"	2013	1980	"Kustia"	"2013-Kustia"	"BR10"	"1"	"Long"	5.7
"2013"	2013	1980	"Sonagazi"	"2013-Sonagazi"	"BR10"	"1"	"Long"	4.75
"2013"	2013	1980	"Comilla"	"2013-Comilla"	"BR10"	"1"	"Long"	5.055
"2013"	2013	1980	"Gazipur"	"2013-Gazipur"	"BR10"	"1"	"Long"	7
"2013"	2013	1980	"Rajshahi"	"2013-Rajshahi"	"BR10"	"1"	"Long"	5.17
"2013"	2013	1980	"Rangpur"	"2013-Rangpur"	"BR10"	"1"	"Long"	3.5
"2013"	2013	1980	"Barisal"	"2013-Barisal"	"BR10"	"1"	"Long"	5.57
