"CovParm"	"LCL_sigma"	"estimate_sigma"	"UCL_sigma"	"std.error_sigma"	"LCL_lambda"	"estimate_lambda"	"UCL_lambda"	"std.error_lambda"
"BR10"	0.1659	0.2572	0.3486	0.0466	0.9932	1.169	1.3448	0.0897
"BR11"	0.1783	0.2752	0.3721	0.0495	1.0109	1.191	1.371	0.0919
"BR22"	0.1906	0.2853	0.3799	0.0483	0.7725	0.9312	1.0899	0.081
"BR23"	0.1317	0.2072	0.2827	0.0385	0.7264	0.8664	1.0063	0.0714
"BR25"	0.1645	0.2496	0.3347	0.0434	0.6045	0.7442	0.8839	0.0713
"BR3"	0.2586	0.3795	0.5004	0.0617	0.6565	0.823	0.9895	0.0849
"BR4"	0.109	0.1762	0.2434	0.0343	0.7969	0.9402	1.0834	0.0731
"BR5"	0.1526	0.2307	0.3087	0.0398	0.3956	0.5244	0.6531	0.0657
"BRRI dhan30"	0.123	0.191	0.259	0.0347	0.7789	0.924	1.0691	0.0741
"BRRI dhan31"	0.1301	0.2073	0.2844	0.0393	0.8428	0.9937	1.1445	0.077
"BRRI dhan32"	0.2152	0.3217	0.4283	0.0544	0.7088	0.869	1.0291	0.0817
"BRRI dhan33"	0.298	0.4328	0.5676	0.0688	0.5444	0.7148	0.8852	0.087
"BRRI dhan34"	0.1179	0.1843	0.2507	0.0339	0.4209	0.541	0.661	0.0613
"BRRI dhan37"	0.0884	0.1458	0.2031	0.0293	0.4462	0.5593	0.6724	0.0577
"BRRI dhan38"	0.0541	0.095	0.136	0.0209	0.4937	0.5986	0.7035	0.0535
"BRRI dhan39"	0.3352	0.4836	0.6319	0.0757	0.6058	0.7847	0.9636	0.0913
"BRRI dhan40"	0.137	0.2182	0.2993	0.0414	0.6983	0.8431	0.988	0.0739
"BRRI dhan41"	0.2245	0.3405	0.4566	0.0592	0.628	0.7925	0.9571	0.084
"BRRI dhan44"	0.0601	0.1231	0.1861	0.0322	0.7566	0.9022	1.0479	0.0743
"BRRI dhan46"	0.1386	0.2495	0.3604	0.0566	0.6337	0.8196	1.0056	0.0949
"BRRI dhan49"	0.043	0.1254	0.2078	0.042	0.7722	0.9538	1.1353	0.0926
"BRRI dhan51"	0.0037	0.0766	0.1496	0.0372	0.7963	0.9833	1.1703	0.0954
"BRRI dhan52"	0.0033	0.0748	0.1462	0.0364	0.8224	1.0118	1.2012	0.0966
"BRRI dhan53"	0.0934	0.2743	0.4552	0.0923	0.5404	0.8234	1.1063	0.1444
"BRRI dhan54"	0.0945	0.3245	0.5545	0.1174	0.7557	1.0629	1.3701	0.1567
"BRRI dhan56"	0.1547	0.4237	0.6926	0.1372	0.3691	0.7005	1.0319	0.1691
"BRRI dhan57"	0.3088	0.7333	1.1577	0.2166	0.0791	0.4757	0.8724	0.2024
"BRRI dhan62"	0.0596	0.732	1.4044	0.3431	-0.7634	-0.1737	0.416	0.3009
"BRRI dhan66"	-0.1613	0.4454	1.0522	0.3096	0.0977	0.7341	1.3705	0.3247
