"Env"	"GG"	"Y"	"tj"	"ri"	"L"	"G"	"Group"	"arimean"	"adjmean"	"se"	"ErrVar"	"w"
"2001-Barisal"	"Aromatic-BR5"	"2001"	2001	1976	"Barisal"	"BR5"	"Aromatic"	2.47666666666667	2.47666666666667	0.130270249273229	0.0169703378457092	58.9263460216169
"2001-Barisal"	"Aromatic-BRRI dhan34"	"2001"	2001	1997	"Barisal"	"BRRI dhan34"	"Aromatic"	2.22666666666667	2.22666666666667	0.130270249273229	0.0169703378457092	58.9263460216168
"2001-Barisal"	"Aromatic-BRRI dhan37"	"2001"	2001	1998	"Barisal"	"BRRI dhan37"	"Aromatic"	2.35	2.35	0.130270249273229	0.0169703378457092	58.9263460216168
"2001-Barisal"	"Aromatic-BRRI dhan38"	"2001"	2001	1998	"Barisal"	"BRRI dhan38"	"Aromatic"	2.62333333333333	2.62333333333333	0.130270249273229	0.0169703378457092	58.9263460216169
"2001-Barisal"	"Long-BR10"	"2001"	2001	1980	"Barisal"	"BR10"	"Long"	3.87333333333333	3.87333333333333	0.130270249273229	0.0169703378457092	58.9263460216169
"2001-Barisal"	"Long-BR22"	"2001"	2001	1988	"Barisal"	"BR22"	"Long"	4.23666666666667	4.23666666666667	0.130270249273229	0.0169703378457092	58.9263460216169
"2001-Barisal"	"Long-BR23"	"2001"	2001	1988	"Barisal"	"BR23"	"Long"	4.71	4.71	0.130270249273229	0.0169703378457092	58.9263460216169
"2001-Barisal"	"Medium-BR11"	"2001"	2001	1980	"Barisal"	"BR11"	"Medium"	3.74333333333333	3.74333333333333	0.130270249273229	0.0169703378457092	58.9263460216169
"2001-Barisal"	"Medium-BR25"	"2001"	2001	1992	"Barisal"	"BR25"	"Medium"	4.08666666666667	4.08666666666667	0.130270249273229	0.0169703378457092	58.9263460216169
"2001-Barisal"	"Medium-BR3"	"2001"	2001	1973	"Barisal"	"BR3"	"Medium"	2.18666666666667	2.18666666666667	0.130270249273229	0.0169703378457092	58.9263460216169
"2001-Barisal"	"Medium-BR4"	"2001"	2001	1975	"Barisal"	"BR4"	"Medium"	3.511472077	3.511472077	0.130270249273229	0.0169703378457092	58.9263460216169
"2001-Barisal"	"Medium-BRRI dhan30"	"2001"	2001	1994	"Barisal"	"BRRI dhan30"	"Medium"	4.00333333333333	4.00333333333333	0.130270249273229	0.0169703378457092	58.9263460216169
"2001-Barisal"	"Medium-BRRI dhan31"	"2001"	2001	1994	"Barisal"	"BRRI dhan31"	"Medium"	3.33	3.33	0.130270249273229	0.0169703378457092	58.9263460216169
"2001-Barisal"	"Medium-BRRI dhan32"	"2001"	2001	1994	"Barisal"	"BRRI dhan32"	"Medium"	4.2	4.2	0.130270249273229	0.0169703378457092	58.9263460216169
"2001-Barisal"	"Short-BRRI dhan33"	"2001"	2001	1997	"Barisal"	"BRRI dhan33"	"Short"	2.72	2.72	0.130270249273229	0.0169703378457092	58.9263460216169
"2001-Barisal"	"Short-BRRI dhan39"	"2001"	2001	1999	"Barisal"	"BRRI dhan39"	"Short"	2.83	2.83	0.130270249273229	0.0169703378457092	58.9263460216169
"2001-Comilla"	"Aromatic-BR5"	"2001"	2001	1976	"Comilla"	"BR5"	"Aromatic"	2.88856589133333	2.88856589133335	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Comilla"	"Aromatic-BRRI dhan34"	"2001"	2001	1997	"Comilla"	"BRRI dhan34"	"Aromatic"	2.664224806	2.664224806	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Comilla"	"Aromatic-BRRI dhan37"	"2001"	2001	1998	"Comilla"	"BRRI dhan37"	"Aromatic"	3.14418604633333	3.14418604633333	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Comilla"	"Aromatic-BRRI dhan38"	"2001"	2001	1998	"Comilla"	"BRRI dhan38"	"Aromatic"	2.94374031033333	2.94374031033333	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Comilla"	"Long-BR10"	"2001"	2001	1980	"Comilla"	"BR10"	"Long"	4.92455426366667	4.92455426366667	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Comilla"	"Long-BR22"	"2001"	2001	1988	"Comilla"	"BR22"	"Long"	5.240736434	5.240736434	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Comilla"	"Long-BR23"	"2001"	2001	1988	"Comilla"	"BR23"	"Long"	5.042248062	5.042248062	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Comilla"	"Medium-BR11"	"2001"	2001	1980	"Comilla"	"BR11"	"Medium"	4.65246124	4.65246124	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Comilla"	"Medium-BR25"	"2001"	2001	1992	"Comilla"	"BR25"	"Medium"	3.91641472866667	3.91641472866667	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Comilla"	"Medium-BR3"	"2001"	2001	1973	"Comilla"	"BR3"	"Medium"	2.90748062033333	2.90748062033333	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Comilla"	"Medium-BR4"	"2001"	2001	1975	"Comilla"	"BR4"	"Medium"	3.496296538	3.496296538	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Comilla"	"Medium-BRRI dhan30"	"2001"	2001	1994	"Comilla"	"BRRI dhan30"	"Medium"	4.86899224833333	4.86899224833333	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Comilla"	"Medium-BRRI dhan31"	"2001"	2001	1994	"Comilla"	"BRRI dhan31"	"Medium"	4.64131782933333	4.64131782933333	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Comilla"	"Medium-BRRI dhan32"	"2001"	2001	1994	"Comilla"	"BRRI dhan32"	"Medium"	4.568081395	4.568081395	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Comilla"	"Short-BRRI dhan33"	"2001"	2001	1997	"Comilla"	"BRRI dhan33"	"Short"	2.86531007766667	2.86531007766667	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Comilla"	"Short-BRRI dhan39"	"2001"	2001	1999	"Comilla"	"BRRI dhan39"	"Short"	3.941375969	3.941375969	0.23667842636729	0.0560166775076966	17.8518263576522
"2001-Gazipur"	"Aromatic-BR5"	"2001"	2001	1976	"Gazipur"	"BR5"	"Aromatic"	3.951744186	3.95174418599999	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Gazipur"	"Aromatic-BRRI dhan34"	"2001"	2001	1997	"Gazipur"	"BRRI dhan34"	"Aromatic"	3.13046511633333	3.13046511633333	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Gazipur"	"Aromatic-BRRI dhan37"	"2001"	2001	1998	"Gazipur"	"BRRI dhan37"	"Aromatic"	2.91728682166667	2.91728682166667	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Gazipur"	"Aromatic-BRRI dhan38"	"2001"	2001	1998	"Gazipur"	"BRRI dhan38"	"Aromatic"	3.34604651166667	3.34604651166667	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Gazipur"	"Long-BR10"	"2001"	2001	1980	"Gazipur"	"BR10"	"Long"	3.97496124033333	3.97496124033333	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Gazipur"	"Long-BR22"	"2001"	2001	1988	"Gazipur"	"BR22"	"Long"	3.925465116	3.925465116	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Gazipur"	"Long-BR23"	"2001"	2001	1988	"Gazipur"	"BR23"	"Long"	4.418682171	4.418682171	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Gazipur"	"Medium-BR11"	"2001"	2001	1980	"Gazipur"	"BR11"	"Medium"	3.53581395366667	3.53581395366667	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Gazipur"	"Medium-BR25"	"2001"	2001	1992	"Gazipur"	"BR25"	"Medium"	4.41178294566667	4.41178294566667	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Gazipur"	"Medium-BR3"	"2001"	2001	1973	"Gazipur"	"BR3"	"Medium"	4.12248062	4.12248062	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Gazipur"	"Medium-BR4"	"2001"	2001	1975	"Gazipur"	"BR4"	"Medium"	3.623079003	3.623079003	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Gazipur"	"Medium-BRRI dhan30"	"2001"	2001	1994	"Gazipur"	"BRRI dhan30"	"Medium"	4.12341085266667	4.12341085266667	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Gazipur"	"Medium-BRRI dhan31"	"2001"	2001	1994	"Gazipur"	"BRRI dhan31"	"Medium"	4.96996124033333	4.96996124033333	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Gazipur"	"Medium-BRRI dhan32"	"2001"	2001	1994	"Gazipur"	"BRRI dhan32"	"Medium"	5.480232558	5.480232558	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Gazipur"	"Short-BRRI dhan33"	"2001"	2001	1997	"Gazipur"	"BRRI dhan33"	"Short"	2.491860465	2.491860465	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Gazipur"	"Short-BRRI dhan39"	"2001"	2001	1999	"Gazipur"	"BRRI dhan39"	"Short"	2.16728682166667	2.16728682166667	0.179855289614039	0.0323479252021499	30.913883773094
"2001-Rajshahi"	"Aromatic-BR5"	"2001"	2001	1976	"Rajshahi"	"BR5"	"Aromatic"	2.81	2.81000000000001	0.198814026698745	0.0395270172121693	25.2991515811146
"2001-Rajshahi"	"Aromatic-BRRI dhan34"	"2001"	2001	1997	"Rajshahi"	"BRRI dhan34"	"Aromatic"	1.94666666666667	1.94666666666667	0.198814026698745	0.0395270172121694	25.2991515811146
"2001-Rajshahi"	"Aromatic-BRRI dhan37"	"2001"	2001	1998	"Rajshahi"	"BRRI dhan37"	"Aromatic"	4.24666666666667	4.24666666666667	0.198814026698745	0.0395270172121694	25.2991515811146
"2001-Rajshahi"	"Aromatic-BRRI dhan38"	"2001"	2001	1998	"Rajshahi"	"BRRI dhan38"	"Aromatic"	3.20333333333333	3.20333333333333	0.198814026698745	0.0395270172121694	25.2991515811146
"2001-Rajshahi"	"Long-BR10"	"2001"	2001	1980	"Rajshahi"	"BR10"	"Long"	4.06333333333333	4.06333333333333	0.198814026698745	0.0395270172121694	25.2991515811146
"2001-Rajshahi"	"Long-BR22"	"2001"	2001	1988	"Rajshahi"	"BR22"	"Long"	5.35333333333333	5.35333333333334	0.198814026698745	0.0395270172121694	25.2991515811146
"2001-Rajshahi"	"Long-BR23"	"2001"	2001	1988	"Rajshahi"	"BR23"	"Long"	4.30666666666667	4.30666666666667	0.198814026698745	0.0395270172121694	25.2991515811146
"2001-Rajshahi"	"Medium-BR11"	"2001"	2001	1980	"Rajshahi"	"BR11"	"Medium"	3.76333333333333	3.76333333333333	0.198814026698745	0.0395270172121694	25.2991515811146
"2001-Rajshahi"	"Medium-BR25"	"2001"	2001	1992	"Rajshahi"	"BR25"	"Medium"	3.83666666666667	3.83666666666667	0.198814026698745	0.0395270172121694	25.2991515811146
"2001-Rajshahi"	"Medium-BR3"	"2001"	2001	1973	"Rajshahi"	"BR3"	"Medium"	3.12666666666667	3.12666666666667	0.198814026698745	0.0395270172121694	25.2991515811146
"2001-Rajshahi"	"Medium-BR4"	"2001"	2001	1975	"Rajshahi"	"BR4"	"Medium"	3.086847279	3.086847279	0.198814026698745	0.0395270172121694	25.2991515811146
"2001-Rajshahi"	"Medium-BRRI dhan30"	"2001"	2001	1994	"Rajshahi"	"BRRI dhan30"	"Medium"	4.41666666666667	4.41666666666667	0.198814026698745	0.0395270172121694	25.2991515811146
"2001-Rajshahi"	"Medium-BRRI dhan31"	"2001"	2001	1994	"Rajshahi"	"BRRI dhan31"	"Medium"	4.6	4.6	0.198814026698745	0.0395270172121694	25.2991515811146
"2001-Rajshahi"	"Medium-BRRI dhan32"	"2001"	2001	1994	"Rajshahi"	"BRRI dhan32"	"Medium"	3.86	3.86	0.198814026698745	0.0395270172121694	25.2991515811146
"2001-Rajshahi"	"Short-BRRI dhan33"	"2001"	2001	1997	"Rajshahi"	"BRRI dhan33"	"Short"	4.56666666666667	4.56666666666667	0.198814026698745	0.0395270172121694	25.2991515811146
"2001-Rajshahi"	"Short-BRRI dhan39"	"2001"	2001	1999	"Rajshahi"	"BRRI dhan39"	"Short"	4.03	4.03	0.198814026698745	0.0395270172121694	25.2991515811146
"2001-Rangpur"	"Aromatic-BR5"	"2001"	2001	1976	"Rangpur"	"BR5"	"Aromatic"	2.67129844966667	2.67129844966666	0.230290459685437	0.0530336958221299	18.8559364852472
"2001-Rangpur"	"Aromatic-BRRI dhan34"	"2001"	2001	1997	"Rangpur"	"BRRI dhan34"	"Aromatic"	2.86308139533333	2.86308139533333	0.230290459685437	0.05303369582213	18.8559364852471
"2001-Rangpur"	"Aromatic-BRRI dhan37"	"2001"	2001	1998	"Rangpur"	"BRRI dhan37"	"Aromatic"	3.00702519366667	3.00702519366667	0.230290459685437	0.05303369582213	18.8559364852471
"2001-Rangpur"	"Aromatic-BRRI dhan38"	"2001"	2001	1998	"Rangpur"	"BRRI dhan38"	"Aromatic"	2.95420542666667	2.95420542666667	0.230290459685437	0.05303369582213	18.8559364852471
"2001-Rangpur"	"Long-BR10"	"2001"	2001	1980	"Rangpur"	"BR10"	"Long"	3.47756589166667	3.47756589166667	0.230290459685437	0.05303369582213	18.8559364852471
"2001-Rangpur"	"Long-BR22"	"2001"	2001	1988	"Rangpur"	"BR22"	"Long"	3.36790697666667	3.36790697666667	0.230290459685437	0.05303369582213	18.8559364852471
"2001-Rangpur"	"Long-BR23"	"2001"	2001	1988	"Rangpur"	"BR23"	"Long"	2.956385659	2.956385659	0.230290459685437	0.05303369582213	18.8559364852471
"2001-Rangpur"	"Medium-BR11"	"2001"	2001	1980	"Rangpur"	"BR11"	"Medium"	4.03469961233333	4.03469961233333	0.230290459685437	0.05303369582213	18.8559364852471
"2001-Rangpur"	"Medium-BR25"	"2001"	2001	1992	"Rangpur"	"BR25"	"Medium"	3.35117248066667	3.35117248066667	0.230290459685437	0.05303369582213	18.8559364852471
"2001-Rangpur"	"Medium-BR3"	"2001"	2001	1973	"Rangpur"	"BR3"	"Medium"	3.66431201533333	3.66431201533333	0.230290459685437	0.05303369582213	18.8559364852471
"2001-Rangpur"	"Medium-BR4"	"2001"	2001	1975	"Rangpur"	"BR4"	"Medium"	3.717732558	3.717732558	0.230290459685437	0.05303369582213	18.8559364852472
"2001-Rangpur"	"Medium-BRRI dhan30"	"2001"	2001	1994	"Rangpur"	"BRRI dhan30"	"Medium"	3.66189922466667	3.66189922466667	0.230290459685437	0.05303369582213	18.8559364852471
"2001-Rangpur"	"Medium-BRRI dhan31"	"2001"	2001	1994	"Rangpur"	"BRRI dhan31"	"Medium"	4.10300387566667	4.10300387566667	0.230290459685437	0.05303369582213	18.8559364852471
"2001-Rangpur"	"Medium-BRRI dhan32"	"2001"	2001	1994	"Rangpur"	"BRRI dhan32"	"Medium"	4.393032946	4.393032946	0.230290459685437	0.05303369582213	18.8559364852472
"2001-Rangpur"	"Short-BRRI dhan33"	"2001"	2001	1997	"Rangpur"	"BRRI dhan33"	"Short"	3.867887597	3.867887597	0.230290459685437	0.05303369582213	18.8559364852472
"2001-Rangpur"	"Short-BRRI dhan39"	"2001"	2001	1999	"Rangpur"	"BRRI dhan39"	"Short"	3.84085271333333	3.84085271333333	0.230290459685437	0.05303369582213	18.8559364852472
"2001-Satkhira"	"Aromatic-BR5"	"2001"	2001	1976	"Satkhira"	"BR5"	"Aromatic"	3.87240310066667	3.87240310066667	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Satkhira"	"Aromatic-BRRI dhan34"	"2001"	2001	1997	"Satkhira"	"BRRI dhan34"	"Aromatic"	3.549147287	3.549147287	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Satkhira"	"Aromatic-BRRI dhan37"	"2001"	2001	1998	"Satkhira"	"BRRI dhan37"	"Aromatic"	3.63052325566667	3.63052325566667	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Satkhira"	"Aromatic-BRRI dhan38"	"2001"	2001	1998	"Satkhira"	"BRRI dhan38"	"Aromatic"	3.23831395366667	3.23831395366667	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Satkhira"	"Long-BR10"	"2001"	2001	1980	"Satkhira"	"BR10"	"Long"	6.90891472833333	6.90891472833334	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Satkhira"	"Long-BR22"	"2001"	2001	1988	"Satkhira"	"BR22"	"Long"	4.690891473	4.690891473	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Satkhira"	"Long-BR23"	"2001"	2001	1988	"Satkhira"	"BR23"	"Long"	5.90978682166667	5.90978682166667	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Satkhira"	"Medium-BR11"	"2001"	2001	1980	"Satkhira"	"BR11"	"Medium"	6.99531007733333	6.99531007733333	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Satkhira"	"Medium-BR25"	"2001"	2001	1992	"Satkhira"	"BR25"	"Medium"	4.986337209	4.986337209	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Satkhira"	"Medium-BR3"	"2001"	2001	1973	"Satkhira"	"BR3"	"Medium"	5.07155038766667	5.07155038766667	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Satkhira"	"Medium-BR4"	"2001"	2001	1975	"Satkhira"	"BR4"	"Medium"	4.451976744	4.451976744	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Satkhira"	"Medium-BRRI dhan30"	"2001"	2001	1994	"Satkhira"	"BRRI dhan30"	"Medium"	5.72627906966667	5.72627906966667	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Satkhira"	"Medium-BRRI dhan31"	"2001"	2001	1994	"Satkhira"	"BRRI dhan31"	"Medium"	5.917267442	5.917267442	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Satkhira"	"Medium-BRRI dhan32"	"2001"	2001	1994	"Satkhira"	"BRRI dhan32"	"Medium"	5.56593023233333	5.56593023233333	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Satkhira"	"Short-BRRI dhan33"	"2001"	2001	1997	"Satkhira"	"BRRI dhan33"	"Short"	5.12802325566667	5.12802325566667	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Satkhira"	"Short-BRRI dhan39"	"2001"	2001	1999	"Satkhira"	"BRRI dhan39"	"Short"	4.69441860466667	4.69441860466667	0.0529806450071667	0.00280694874537542	356.258731709137
"2001-Sonagazi"	"Aromatic-BR5"	"2001"	2001	1976	"Sonagazi"	"BR5"	"Aromatic"	3.93341085266667	3.93341085266667	0.164927883915615	0.0272012068928827	36.7630746656926
"2001-Sonagazi"	"Aromatic-BRRI dhan34"	"2001"	2001	1997	"Sonagazi"	"BRRI dhan34"	"Aromatic"	3.12806201533333	3.12806201533333	0.164927883915615	0.0272012068928827	36.7630746656926
"2001-Sonagazi"	"Aromatic-BRRI dhan37"	"2001"	2001	1998	"Sonagazi"	"BRRI dhan37"	"Aromatic"	2.92689922466667	2.92689922466667	0.164927883915615	0.0272012068928827	36.7630746656926
"2001-Sonagazi"	"Aromatic-BRRI dhan38"	"2001"	2001	1998	"Sonagazi"	"BRRI dhan38"	"Aromatic"	3.33488372066667	3.33488372066667	0.164927883915615	0.0272012068928827	36.7630746656926
"2001-Sonagazi"	"Long-BR10"	"2001"	2001	1980	"Sonagazi"	"BR10"	"Long"	3.961007752	3.961007752	0.164927883915615	0.0272012068928827	36.7630746656926
"2001-Sonagazi"	"Long-BR22"	"2001"	2001	1988	"Sonagazi"	"BR22"	"Long"	3.90104651133333	3.90104651133333	0.164927883915615	0.0272012068928827	36.7630746656926
"2001-Sonagazi"	"Long-BR23"	"2001"	2001	1988	"Sonagazi"	"BR23"	"Long"	4.43170542666667	4.43170542666667	0.164927883915615	0.0272012068928827	36.7630746656926
