"riGL"	"riGY"	"tjGY"	"riGYL"	"tjGYL"	"Conv"	"AIC"
""	""	""	""	""	TRUE	462.266717930112
""	""	""	"-0.0012"	""	TRUE	462.665226838706
""	"-0.00047"	""	""	""	TRUE	463.490718561519
"0.00086"	""	""	"-0.00142"	""	TRUE	463.694152964243
"0.00058"	""	""	""	""	TRUE	463.808350644254
""	""	""	""	"-0.00057"	TRUE	464.209096649188
""	""	"-0.00013"	""	""	TRUE	464.257376663882
""	"-0.00032"	""	"-0.00106"	""	TRUE	464.311816085559
""	""	""	"-0.00124"	"0.00031"	TRUE	464.649907129569
""	""	"-0.00007"	"-0.0012"	""	TRUE	464.662292637143
"0.00059"	"-0.00047"	""	""	""	TRUE	465.018029085351
"0.00084"	"-0.0003"	""	"-0.00128"	""	TRUE	465.391517529403
""	"-0.00046"	""	""	"-0.00047"	TRUE	465.451852440448
""	"-0.00048"	"0.0001"	""	""	TRUE	465.484836292335
"0.00063"	""	""	""	"-0.00086"	TRUE	465.681724756279
"0.00086"	""	"-0.00008"	"-0.00141"	""	TRUE	465.690432587838
"0.00086"	""	""	"-0.00142"	"0.00004"	TRUE	465.693874468326
"0.00059"	""	"-0.00015"	""	""	TRUE	465.796831757982
""	""	"-0.00006"	""	"-0.00055"	TRUE	466.207534734596
""	"-0.00032"	""	"-0.00109"	"0.00028"	TRUE	466.299325460439
""	"-0.00033"	"0.0001"	"-0.00106"	""	TRUE	466.306651875216
""	""	"-0.00012"	"-0.00124"	"0.00036"	TRUE	466.642343940214
"0.00064"	"-0.00046"	""	""	"-0.00076"	TRUE	466.919547725995
"0.00059"	"-0.00048"	"0.00009"	""	""	TRUE	467.013670310669
"0.00084"	"-0.00031"	"0.00008"	"-0.00128"	""	TRUE	467.388331640184
"0.00084"	"-0.0003"	""	"-0.00128"	"0.00002"	TRUE	467.391453550071
""	"-0.00048"	"0.00018"	""	"-0.00055"	TRUE	467.435472445877
"0.00063"	""	"-0.00003"	""	"-0.00085"	TRUE	467.6812760888
"0.00086"	""	"-0.00009"	"-0.00142"	"0.00008"	TRUE	467.689357823301
""	"-0.00033"	"0.00006"	"-0.00109"	"0.00025"	TRUE	468.297296425981
"0.00064"	"-0.00048"	"0.00021"	""	"-0.00085"	TRUE	468.898212685498
"0.00084"	"-0.00031"	"0.00008"	"-0.00128"	"-0.00002"	TRUE	469.388287514903
