CovParm	LCL	estimate	UCL	std.error	is_Shuk
BR10	0.2512	0.3722	0.4932	0.0617	TRUE
BR11	0.2765	0.4088	0.5411	0.0675	TRUE
BR22	0.1926	0.2892	0.3859	0.0493	TRUE
BR23	0.1344	0.2107	0.2871	0.039	TRUE
BR25	0.161	0.2471	0.3332	0.0439	TRUE
BR3	0.2503	0.3701	0.49	0.0611	TRUE
BR4	0.1083	0.1754	0.2425	0.0342	TRUE
BR5	0.1817	0.2756	0.3695	0.0479	TRUE
BRRI dhan30	0.1318	0.2042	0.2766	0.0369	TRUE
BRRI dhan31	0.1464	0.2292	0.3121	0.0423	TRUE
BRRI dhan32	0.2097	0.3163	0.4229	0.0544	TRUE
BRRI dhan33	0.2798	0.4119	0.544	0.0674	TRUE
BRRI dhan34	0.1292	0.2056	0.282	0.039	TRUE
BRRI dhan37	0.115	0.1864	0.2578	0.0364	TRUE
BRRI dhan38	0.0625	0.1101	0.1577	0.0243	TRUE
BRRI dhan39	0.3156	0.4597	0.6037	0.0735	TRUE
BRRI dhan40	0.1319	0.2126	0.2934	0.0412	TRUE
BRRI dhan41	0.2167	0.3328	0.4488	0.0592	TRUE
BRRI dhan44	0.0649	0.131	0.1972	0.0337	TRUE
BRRI dhan46	0.1314	0.2405	0.3495	0.0557	TRUE
BRRI dhan49	0.0484	0.1369	0.2253	0.0451	TRUE
BRRI dhan51	0.0103	0.0865	0.1627	0.0389	TRUE
BRRI dhan52	0.0218	0.1147	0.2076	0.0474	TRUE
BRRI dhan53	0.0736	0.2416	0.4095	0.0857	TRUE
BRRI dhan54	0.0981	0.3365	0.5749	0.1217	TRUE
BRRI dhan56	0.1387	0.4046	0.6705	0.1357	TRUE
BRRI dhan57	0.2916	0.7264	1.1613	0.2218	TRUE
BRRI dhan62	0.1869	1.3604	2.5339	0.5987	TRUE
BRRI dhan66	-0.1803	0.4207	1.0218	0.3067	TRUE
