"CovParm"	"LCL_sigma"	"estimate_sigma"	"UCL_sigma"	"std.error_sigma"	"LCL_lambda"	"estimate_lambda"	"UCL_lambda"	"std.error_lambda"
"BR1"	0.1891	0.2739	0.3587	0.0433	0.5517	0.6819	0.8121	0.0664
"BR12"	0.1476	0.2172	0.2868	0.0355	0.6078	0.7306	0.8533	0.0626
"BR14"	0.1185	0.1803	0.242	0.0315	0.6477	0.7678	0.8879	0.0613
"BR15"	0.1929	0.2813	0.3697	0.0451	0.7746	0.9177	1.0609	0.073
"BR16"	0.1657	0.2458	0.3259	0.0409	0.8009	0.9419	1.0829	0.0719
"BR17"	0.2459	0.3516	0.4573	0.054	0.6501	0.7986	0.9471	0.0758
"BR18"	0.1577	0.2313	0.3049	0.0376	0.7023	0.8345	0.9667	0.0675
"BR19"	0.2301	0.3284	0.4266	0.0501	0.6872	0.8328	0.9783	0.0742
"BR2"	0.1778	0.26	0.3422	0.042	0.6532	0.7861	0.9189	0.0678
"BR3"	0.1446	0.2157	0.2868	0.0363	0.7406	0.8729	1.0052	0.0675
"BR6"	0.2466	0.3509	0.4552	0.0532	0.4979	0.635	0.7721	0.0699
"BR7"	0.1934	0.2798	0.3661	0.0441	0.6488	0.7854	0.9219	0.0697
"BR8"	0.3394	0.475	0.6107	0.0692	0.5255	0.6812	0.8369	0.0795
"BR9"	0.1112	0.1712	0.2312	0.0306	0.7332	0.8569	0.9805	0.0631
"BRRI dhan28"	0.1757	0.2535	0.3314	0.0397	0.5264	0.6507	0.775	0.0634
"BRRI dhan29"	0.1667	0.2473	0.3279	0.0411	0.8548	0.9999	1.1451	0.0741
"BRRI dhan35"	0.1507	0.2214	0.2921	0.0361	0.6687	0.7981	0.9275	0.066
"BRRI dhan36"	0.1894	0.2731	0.3568	0.0427	0.5245	0.653	0.7816	0.0656
"BRRI dhan45"	0.1601	0.257	0.354	0.0495	0.6161	0.7669	0.9178	0.077
"BRRI dhan47"	0.2016	0.3478	0.4941	0.0746	0.5238	0.7051	0.8864	0.0925
"BRRI dhan50"	0.0704	0.1485	0.2266	0.0399	0.571	0.7184	0.8658	0.0752
"BRRI dhan55"	0.1869	0.4357	0.6845	0.1269	0.4353	0.7305	1.0256	0.1506
"BRRI dhan58"	0.1316	0.336	0.5405	0.1043	0.6369	0.9058	1.1747	0.1372
"BRRI dhan59"	0.0877	0.3021	0.5165	0.1094	0.5541	0.8403	1.1266	0.146
"BRRI dhan60"	0.0664	0.2819	0.4973	0.1099	0.5558	0.836	1.1161	0.1429
"BRRI dhan61"	-0.0071	0.0815	0.17	0.0452	0.6228	0.8207	1.0187	0.101
"BRRI dhan63"	0	0	0	NA	0.8417	1.1818	1.5219	0.1735
"BRRI dhan64"	-0.0068	0.2078	0.4224	0.1095	0.3801	0.7135	1.0469	0.1701
"BRRI dhan67"	0	0	0	NA	1.014	1.4807	1.9475	0.2381
"BRRI dhan68"	-0.1887	0.0021	0.193	0.0974	0.1257	0.4602	0.7948	0.1707
"BRRI dhan69"	-0.1627	0.1749	0.5126	0.1723	0.3608	0.8269	1.293	0.2378
