"G"	"component"	"ri"	"sc_ri"
"BR1"	0.02224382	1970	0
"BR12"	0.0000001	1983	3.61
"BR14"	0.00000042	1983	3.61
"BR15"	0.01206931	1983	3.61
"BR16"	4e-08	1983	3.61
"BR17"	0.09869194	1985	3.87
"BR18"	0.0000001	1985	3.87
"BR19"	0.01759358	1985	3.87
"BR2"	0.00000024	1971	1
"BR3"	0.0000001	1973	1.73
"BR6"	0.03955465	1977	2.65
"BR7"	0.00205103	1977	2.65
"BR8"	0.0844898	1978	2.83
"BR9"	0.0000001	1978	2.83
"BRRI dhan28"	3e-08	1994	4.9
"BRRI dhan29"	0.02319747	1994	4.9
"BRRI dhan35"	0.0000001	1998	5.29
"BRRI dhan36"	0.0000001	1998	5.29
"BRRI dhan45"	5e-08	2005	5.92
"BRRI dhan47"	0.0000001	2007	6.08
"BRRI dhan50"	0.0000001	2008	6.16
"BRRI dhan55"	0.0000001	2011	6.4
"BRRI dhan58"	0.00441305	2012	6.48
"BRRI dhan59"	0.07721134	2013	6.56
"BRRI dhan60"	8e-08	2013	6.56
"BRRI dhan61"	0.01319525	2013	6.56
"BRRI dhan63"	0.0000001	2014	6.63
"BRRI dhan64"	0.0000001	2014	6.63
"BRRI dhan67"	0.00000046	2014	6.63
"BRRI dhan68"	0.0000016	2014	6.63
"BRRI dhan69"	0.05924851	2014	6.63
