"Env"	"GG"	"Y"	"tj"	"ri"	"L"	"G"	"Group"	"arimean"	"adjmean"	"se"	"ErrVar"	"w"
"2001-2002-Barisal"	"Long-BR12"	"2001-2002"	2001	1983	"Barisal"	"BR12"	"Long"	7.55666666666667	7.55666666666665	0.247164677153789	0.0610903776325369	16.3691900222826
"2001-2002-Barisal"	"Long-BR14"	"2001-2002"	2001	1983	"Barisal"	"BR14"	"Long"	6.39	6.39	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Long-BR15"	"2001-2002"	2001	1983	"Barisal"	"BR15"	"Long"	6.82	6.82	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Long-BR16"	"2001-2002"	2001	1983	"Barisal"	"BR16"	"Long"	7.07333333333333	7.07333333333333	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Long-BR2"	"2001-2002"	2001	1971	"Barisal"	"BR2"	"Long"	5.90666666666667	5.90666666666667	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Long-BR3"	"2001-2002"	2001	1973	"Barisal"	"BR3"	"Long"	7.95666666666667	7.95666666666667	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Long-BR7"	"2001-2002"	2001	1977	"Barisal"	"BR7"	"Long"	5.40333333333333	5.40333333333333	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Long-BR8"	"2001-2002"	2001	1978	"Barisal"	"BR8"	"Long"	5.88666666666667	5.88666666666667	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Long-BR9"	"2001-2002"	2001	1978	"Barisal"	"BR9"	"Long"	7.63333333333333	7.63333333333333	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Long-BRRI dhan29"	"2001-2002"	2001	1994	"Barisal"	"BRRI dhan29"	"Long"	9.52666666666667	9.52666666666667	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Long-BRRI dhan35"	"2001-2002"	2001	1998	"Barisal"	"BRRI dhan35"	"Long"	7.38666666666667	7.38666666666667	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Short-BR1"	"2001-2002"	2001	1970	"Barisal"	"BR1"	"Short"	6.55666666666667	6.55666666666667	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Short-BR6"	"2001-2002"	2001	1977	"Barisal"	"BR6"	"Short"	5.82	5.82	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Short-BRRI dhan28"	"2001-2002"	2001	1994	"Barisal"	"BRRI dhan28"	"Short"	6.34666666666667	6.34666666666667	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Stress-BR17"	"2001-2002"	2001	1985	"Barisal"	"BR17"	"Stress"	6.4	6.4	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Stress-BR18"	"2001-2002"	2001	1985	"Barisal"	"BR18"	"Stress"	5.27	5.27	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Stress-BR19"	"2001-2002"	2001	1985	"Barisal"	"BR19"	"Stress"	6.6	6.6	0.24716467715379	0.0610903776325371	16.3691900222826
"2001-2002-Barisal"	"Stress-BRRI dhan36"	"2001-2002"	2001	1998	"Barisal"	"BRRI dhan36"	"Stress"	6.62	6.62	0.24716467715379	0.0610903776325371	16.3691900222826
