"riGL"	"riGY"	"tjGY"	"riGYL"	"tjGYL"	"Conv"	"AIC"
""	"-0.00225"	""	"0.00152"	""	FALSE	NA
""	"-0.00056"	"-0.00407"	""	"0.00873"	TRUE	2786.98421782959
""	"-0.00054"	"-0.00381"	""	""	TRUE	2787.0373599154
""	""	"-0.00481"	""	""	TRUE	2787.37186791053
""	""	"-0.00511"	""	"0.0084"	TRUE	2787.48067068473
"0.00103"	"-0.00055"	"-0.00377"	""	""	TRUE	2788.04627598006
"0.00101"	"-0.00058"	"-0.00402"	""	"0.00857"	TRUE	2788.06725351079
"0.00098"	""	"-0.0048"	""	""	TRUE	2788.48474337291
"0.00095"	""	"-0.00509"	""	"0.00822"	TRUE	2788.67179954024
""	""	"-0.00511"	"-0.00157"	"0.00942"	TRUE	2788.79695654347
""	"-0.00063"	"-0.00368"	"0.00086"	""	TRUE	2788.88689242886
""	"-0.00059"	"-0.00403"	"0.00021"	"0.00861"	TRUE	2788.9757647472
""	""	"-0.00479"	"-0.001"	""	TRUE	2789.07838886085
"0.00127"	""	"-0.00507"	"-0.00216"	"0.00957"	TRUE	2789.44778600686
"0.00121"	""	"-0.00475"	"-0.00155"	""	TRUE	2789.80364989336
"0.00108"	"-0.00052"	"-0.0041"	"-0.00049"	"0.00884"	TRUE	2790.0262426392
"0.001"	"-0.00057"	"-0.00374"	"0.00022"	""	TRUE	2790.03725163078
""	"-0.00177"	""	""	""	TRUE	2794.80996211312
"0.00114"	"-0.00176"	""	""	""	TRUE	2795.5699057965
""	"-0.00184"	""	""	"0.00644"	TRUE	2795.61299390334
"0.00114"	"-0.00184"	""	""	"0.00635"	TRUE	2796.40654195237
""	"-0.00196"	""	"0.002"	"0.00544"	TRUE	2796.8224624367
"0.0009"	"-0.00188"	""	"0.00178"	""	TRUE	2796.96231897561
"0.00095"	"-0.00192"	""	"0.00138"	"0.00568"	TRUE	2798.06074259711
""	""	""	""	""	TRUE	2835.38488763725
"0.00105"	""	""	""	""	TRUE	2836.31596427009
""	""	""	"-0.00147"	""	TRUE	2836.87208549667
"0.00139"	""	""	"-0.00231"	""	TRUE	2837.14858417157
""	""	""	""	"0.00088"	TRUE	2837.36268833251
"0.00105"	""	""	""	"0.00072"	TRUE	2838.30096980204
""	""	""	"-0.00161"	"0.00183"	TRUE	2838.7823209993
"0.00141"	""	""	"-0.00248"	"0.00212"	TRUE	2839.02711730436
