"Env"	"GG"	"Y"	"tj"	"ri"	"L"	"G"	"Group"	"arimean"	"adjmean"	"se"	"ErrVar"	"w"	"residFA"
"2001-2002-Barisal"	"Short-BR1"	"2001-2002"	2001	1970	"Barisal"	"BR1"	"Short"	6.55666666666667	6.55666666666667	0.24716467715379	0.0610903776325371	16.3691900222826	-0.00406749234910819
"2001-2002-Bhanga"	"Short-BR1"	"2001-2002"	2001	1970	"Bhanga"	"BR1"	"Short"	5.7	5.7	0.285697556310732	0.0816230936819241	12.2514346723598	-0.086605315998673
"2001-2002-Comilla"	"Short-BR1"	"2001-2002"	2001	1970	"Comilla"	"BR1"	"Short"	6.28666666666667	6.28666666666667	0.161967074843428	0.0262333333333367	38.1194409148617	0.0669941525520121
"2001-2002-Habiganj"	"Short-BR1"	"2001-2002"	2001	1970	"Habiganj"	"BR1"	"Short"	5.53	5.53	0.180123313687115	0.0324444081336268	30.8219523031939	0.0509522171710461
"2001-2002-Rajshahi"	"Short-BR1"	"2001-2002"	2001	1970	"Rajshahi"	"BR1"	"Short"	5.4	5.4	0.362854014149783	0.131663035584611	7.59514616657434	0.0619680750672265
"2001-2002-Rangpur"	"Short-BR1"	"2001-2002"	2001	1970	"Rangpur"	"BR1"	"Short"	5.37333333333333	5.37333333333333	0.303329921693115	0.0920090413943512	10.8684971046921	-0.114725122372252
"2001-2002-Satkhira"	"Short-BR1"	"2001-2002"	2001	1970	"Satkhira"	"BR1"	"Short"	5.23666666666667	5.23666666666667	0.0580189161050427	0.00336619462600399	297.071355374095	-0.0035702923553762
"2002-2003-Barisal"	"Short-BR1"	"2002-2003"	2002	1970	"Barisal"	"BR1"	"Short"	4.47666666666667	4.47666666666667	0.313910433640852	0.098539760348588	10.1481878630764	-0.0124640717898972
"2002-2003-Bhanga"	"Short-BR1"	"2002-2003"	2002	1970	"Bhanga"	"BR1"	"Short"	5.13	5.13	0.30608919532951	0.0936905954974667	10.6734298644418	-0.168506309788169
"2002-2003-Comilla"	"Short-BR1"	"2002-2003"	2002	1970	"Comilla"	"BR1"	"Short"	4.73333333333333	4.73333333333333	0.215096624181339	0.0462665577342084	21.6138837417901	-0.0411658400237345
"2002-2003-Gazipur"	"Short-BR1"	"2002-2003"	2002	1970	"Gazipur"	"BR1"	"Short"	4.42333333333333	4.42333333333333	0.322315233364283	0.103887109658672	9.6258333039158	0.00696829792247922
"2002-2003-Habiganj"	"Short-BR1"	"2002-2003"	2002	1970	"Habiganj"	"BR1"	"Short"	5.26666666666667	5.26666666666667	0.258666557172678	0.0669083877995662	14.9458092309091	0.0348318294161807
"2002-2003-Rajshahi"	"Short-BR1"	"2002-2003"	2002	1970	"Rajshahi"	"BR1"	"Short"	3	3	0.460137052931002	0.211726107480027	4.72308309968024	-0.518957051957833
"2002-2003-Rangpur"	"Short-BR1"	"2002-2003"	2002	1970	"Rangpur"	"BR1"	"Short"	3.33666666666667	3.33666666666667	0.215484372722109	0.0464335148874406	21.5361684857176	-0.0162289085873968
"2002-2003-Satkhira"	"Short-BR1"	"2002-2003"	2002	1970	"Satkhira"	"BR1"	"Short"	4.45	4.45	0.11216121424592	0.0125801379811192	79.4903840880635	-0.00977159798505944
"2003-2004-Barisal"	"Short-BR1"	"2003-2004"	2003	1970	"Barisal"	"BR1"	"Short"	4.76333333333333	4.76333333333333	0.432998446095344	0.187487654320983	5.33368452243783	0.185317573696228
"2003-2004-Bhanga"	"Short-BR1"	"2003-2004"	2003	1970	"Bhanga"	"BR1"	"Short"	3.43	3.43	0.438643805153522	0.192408387799561	5.19727861886009	-0.673188387337385
"2003-2004-Comilla"	"Short-BR1"	"2003-2004"	2003	1970	"Comilla"	"BR1"	"Short"	4.25666666666667	4.25666666666667	0.216915392680404	0.047052287581694	21.2529517988634	-0.0514231674632084
