CovParm	LCL	estimate	UCL	std.error	is_Shuk
BR1	0.185	0.2697	0.3543	0.0432	TRUE
BR12	0.143	0.2119	0.2808	0.0351	TRUE
BR14	0.1151	0.176	0.2369	0.0311	TRUE
BR15	0.2117	0.3035	0.3953	0.0468	TRUE
BR16	0.1933	0.2807	0.368	0.0446	TRUE
BR17	0.2479	0.3543	0.4607	0.0543	TRUE
BR18	0.1647	0.2401	0.3156	0.0385	TRUE
BR19	0.231	0.329	0.427	0.05	TRUE
BR2	0.1771	0.2593	0.3415	0.0419	TRUE
BR3	0.1592	0.2342	0.3092	0.0383	TRUE
BR6	0.2555	0.3637	0.4718	0.0552	TRUE
BR7	0.1962	0.2836	0.3711	0.0446	TRUE
BR8	0.3484	0.4881	0.6277	0.0713	TRUE
BR9	0.1244	0.1876	0.2509	0.0323	TRUE
BRRI dhan28	0.1804	0.2616	0.3428	0.0414	TRUE
BRRI dhan29	0.2022	0.2926	0.383	0.0461	TRUE
BRRI dhan35	0.1509	0.2218	0.2927	0.0362	TRUE
BRRI dhan36	0.1862	0.2704	0.3546	0.043	TRUE
BRRI dhan45	0.1557	0.2513	0.3469	0.0488	TRUE
BRRI dhan47	0.1945	0.3386	0.4826	0.0735	TRUE
BRRI dhan50	0.0701	0.1501	0.2302	0.0409	TRUE
BRRI dhan55	0.1842	0.4341	0.6841	0.1275	TRUE
BRRI dhan58	0.1371	0.3453	0.5535	0.1062	TRUE
BRRI dhan59	0.1044	0.3348	0.5652	0.1176	TRUE
BRRI dhan60	0.0661	0.2832	0.5004	0.1108	TRUE
BRRI dhan61	-0.0047	0.0878	0.1804	0.0472	TRUE
BRRI dhan63	-0.1573	0.0782	0.3138	0.1202	TRUE
BRRI dhan64	-0.0172	0.1904	0.3981	0.1059	TRUE
BRRI dhan67	-0.1637	0.2895	0.7427	0.2312	TRUE
BRRI dhan68	-0.1949	0.0957	0.3863	0.1483	TRUE
BRRI dhan69	-0.1703	0.1598	0.4899	0.1684	TRUE
