Data	Loc	Freq	Lat	Lon
aman	Barisal	804	22.701002	90.353451
aman	Bhanga	179	23.406169	90.018656
aman	Comilla	981	23.460657	91.180906
aman	Gazipur	993	24.095817	90.412518
aman	Kustia	838	23.890700	89.109937
aman	Rajshahi	984	24.363589	88.624135
aman	Rangpur	990	25.743892	89.275227
aman	Satkhira	888	22.315481	89.111453
aman	Sonagazi	978	22.876048	91.385516
boro	Barisal	951	22.701002	90.353451
boro	Bhanga	945	23.406169	90.018656
boro	Comilla	939	23.460657	91.180906
boro	Gazipur	903	24.095817	90.412518
boro	Habiganj	942	24.477124	91.450656
boro	Kustia	774	23.890700	89.109937
boro	Rajshahi	942	24.363589	88.624135
boro	Rangpur	960	25.743892	89.275227
boro	Satkhira	945	22.315481	89.111453
boro	Sonagazi	438	22.876048	91.385516
