"Y"	"t.j"	"r.i"	"L"	"Env"	"G"	"Rep"	"Group"	"GG"	"Yield"
"1"	"2001"	2001	1980	"Barisal"	"2001-Barisal"	"BR10"	"1"	"Long"	"Long-BR10"	3.5
"2"	"2001"	2001	1980	"Comilla"	"2001-Comilla"	"BR10"	"1"	"Long"	"Long-BR10"	5.011046512
"3"	"2001"	2001	1980	"Gazipur"	"2001-Gazipur"	"BR10"	"1"	"Long"	"Long-BR10"	4.280232558
"4"	"2001"	2001	1980	"Rajshahi"	"2001-Rajshahi"	"BR10"	"1"	"Long"	"Long-BR10"	4.48
"5"	"2001"	2001	1980	"Rangpur"	"2001-Rangpur"	"BR10"	"1"	"Long"	"Long-BR10"	3.176418605
"6"	"2001"	2001	1980	"Satkhira"	"2001-Satkhira"	"BR10"	"1"	"Long"	"Long-BR10"	6.885813953
"7"	"2001"	2001	1980	"Sonagazi"	"2001-Sonagazi"	"BR10"	"1"	"Long"	"Long-BR10"	4.238372093
"8"	"2002"	2002	1980	"Barisal"	"2002-Barisal"	"BR10"	"1"	"Long"	"Long-BR10"	4.3
"9"	"2002"	2002	1980	"Comilla"	"2002-Comilla"	"BR10"	"1"	"Long"	"Long-BR10"	4.15
"10"	"2002"	2002	1980	"Gazipur"	"2002-Gazipur"	"BR10"	"1"	"Long"	"Long-BR10"	3.292140698
"11"	"2002"	2002	1980	"Rajshahi"	"2002-Rajshahi"	"BR10"	"1"	"Long"	"Long-BR10"	4.779
"12"	"2002"	2002	1980	"Rangpur"	"2002-Rangpur"	"BR10"	"1"	"Long"	"Long-BR10"	2.62
"13"	"2002"	2002	1980	"Satkhira"	"2002-Satkhira"	"BR10"	"1"	"Long"	"Long-BR10"	6.353023256
"14"	"2002"	2002	1980	"Sonagazi"	"2002-Sonagazi"	"BR10"	"1"	"Long"	"Long-BR10"	4.537372093
"15"	"2003"	2003	1980	"Barisal"	"2003-Barisal"	"BR10"	"1"	"Long"	"Long-BR10"	3.999767442
"16"	"2003"	2003	1980	"Comilla"	"2003-Comilla"	"BR10"	"1"	"Long"	"Long-BR10"	2.303630233
"17"	"2003"	2003	1980	"Gazipur"	"2003-Gazipur"	"BR10"	"1"	"Long"	"Long-BR10"	2.603372093
"18"	"2003"	2003	1980	"Rajshahi"	"2003-Rajshahi"	"BR10"	"1"	"Long"	"Long-BR10"	4.6295
"19"	"2003"	2003	1980	"Rangpur"	"2003-Rangpur"	"BR10"	"1"	"Long"	"Long-BR10"	3.732837209
"20"	"2003"	2003	1980	"Satkhira"	"2003-Satkhira"	"BR10"	"1"	"Long"	"Long-BR10"	7.418604651
