"Y"	"L"	"Env"	"t.j"	"r.i"	"Group"	"G"	"GG"	"ari.mean"	"adj.mean"	"w"
"1"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1983	"Long"	"BR12"	"Long-BR12"	7.55666666666667	7.55666666666667	16.3691900222833
"2"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1983	"Long"	"BR14"	"Long-BR14"	6.39	6.39	16.3691900222832
"3"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1983	"Long"	"BR15"	"Long-BR15"	6.82	6.82	16.3691900222832
"4"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1983	"Long"	"BR16"	"Long-BR16"	7.07333333333333	7.07333333333334	16.3691900222833
"5"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1971	"Long"	"BR2"	"Long-BR2"	5.90666666666667	5.90666666666667	16.3691900222833
"6"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1973	"Long"	"BR3"	"Long-BR3"	7.95666666666667	7.95666666666667	16.3691900222832
"7"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1977	"Long"	"BR7"	"Long-BR7"	5.40333333333333	5.40333333333333	16.3691900222833
"8"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1978	"Long"	"BR8"	"Long-BR8"	5.88666666666667	5.88666666666667	16.3691900222833
"9"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1978	"Long"	"BR9"	"Long-BR9"	7.63333333333333	7.63333333333334	16.3691900222833
"10"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1994	"Long"	"BRRI dhan29"	"Long-BRRI dhan29"	9.52666666666667	9.52666666666667	16.3691900222833
"11"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1998	"Long"	"BRRI dhan35"	"Long-BRRI dhan35"	7.38666666666667	7.38666666666667	16.3691900222833
"12"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1970	"Short"	"BR1"	"Short-BR1"	6.55666666666667	6.55666666666668	16.3691900222833
"13"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1977	"Short"	"BR6"	"Short-BR6"	5.82	5.82	16.3691900222833
"14"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1994	"Short"	"BRRI dhan28"	"Short-BRRI dhan28"	6.34666666666667	6.34666666666667	16.3691900222833
"15"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1985	"Stress"	"BR17"	"Stress-BR17"	6.4	6.4	16.3691900222833
"16"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1985	"Stress"	"BR18"	"Stress-BR18"	5.27	5.27	16.3691900222833
"17"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1985	"Stress"	"BR19"	"Stress-BR19"	6.6	6.6	16.3691900222833
"18"	"2001-2002"	"Barisal"	"2001-2002-Barisal"	2001	1998	"Stress"	"BRRI dhan36"	"Stress-BRRI dhan36"	6.62	6.62	16.3691900222833
"19"	"2001-2002"	"Bhanga"	"2001-2002-Bhanga"	2001	1983	"Long"	"BR12"	"Long-BR12"	6	6	12.2514346723609
