SL	Year	Location	Year of release	Rep	Variety	Group	Yield
1	2001	Barisal	1980	1	BR10	Long	3.50
2	2001	Comilla	1980	1	BR10	Long	5.01
3	2001	Gazipur	1980	1	BR10	Long	4.28
4	2001	Rajshahi	1980	1	BR10	Long	4.48
5	2001	Rangpur	1980	1	BR10	Long	3.18
6	2001	Satkhira	1980	1	BR10	Long	6.89
7	2001	Sonagazi	1980	1	BR10	Long	4.24
8	2002	Barisal	1980	1	BR10	Long	4.30
9	2002	Comilla	1980	1	BR10	Long	4.15
10	2002	Gazipur	1980	1	BR10	Long	3.29
11	2002	Rajshahi	1980	1	BR10	Long	4.78
12	2002	Rangpur	1980	1	BR10	Long	2.62
13	2002	Satkhira	1980	1	BR10	Long	6.35
14	2002	Sonagazi	1980	1	BR10	Long	4.54
15	2003	Barisal	1980	1	BR10	Long	4.00
16	2003	Comilla	1980	1	BR10	Long	2.30
17	2003	Gazipur	1980	1	BR10	Long	2.60
18	2003	Rajshahi	1980	1	BR10	Long	4.63
19	2003	Rangpur	1980	1	BR10	Long	3.73
20	2003	Satkhira	1980	1	BR10	Long	7.42
21	2003	Sonagazi	1980	1	BR10	Long	3.79
22	2004	Barisal	1980	1	BR10	Long	4.34
23	2004	Comilla	1980	1	BR10	Long	2.57
24	2004	Gazipur	1980	1	BR10	Long	4.11
25	2004	Rajshahi	1980	1	BR10	Long	4.62
26	2004	Rangpur	1980	1	BR10	Long	3.38
27	2004	Satkhira	1980	1	BR10	Long	6.30
28	2004	Sonagazi	1980	1	BR10	Long	2.67
29	2004	Kustia	1980	1	BR10	Long	3.20
30	2005	Barisal	1980	1	BR10	Long	5.48
31	2005	Comilla	1980	1	BR10	Long	4.00
32	2005	Gazipur	1980	1	BR10	Long	3.91
33	2005	Rajshahi	1980	1	BR10	Long	6.21
34	2005	Rangpur	1980	1	BR10	Long	2.45
35	2005	Satkhira	1980	1	BR10	Long	6.43
36	2005	Sonagazi	1980	1	BR10	Long	2.94
37	2005	Kustia	1980	1	BR10	Long	5.20
38	2006	Barisal	1980	1	BR10	Long	3.98
39	2006	Comilla	1980	1	BR10	Long	1.06
40	2006	Gazipur	1980	1	BR10	Long	5.00
41	2006	Rajshahi	1980	1	BR10	Long	5.30
42	2006	Rangpur	1980	1	BR10	Long	5.15
43	2006	Satkhira	1980	1	BR10	Long	5.55
44	2006	Sonagazi	1980	1	BR10	Long	4.93
45	2006	Kustia	1980	1	BR10	Long	6.35
46	2007	Barisal	1980	1	BR10	Long	4.03
47	2007	Comilla	1980	1	BR10	Long	3.32
48	2007	Gazipur	1980	1	BR10	Long	4.41
49	2007	Rajshahi	1980	1	BR10	Long	5.60
50	2007	Rangpur	1980	1	BR10	Long	3.30
51	2007	Satkhira	1980	1	BR10	Long	4.00
52	2007	Sonagazi	1980	1	BR10	Long	3.70
