SL	Year	Location	Year of release	Rep	Variety	Group	Yield
7399	2001-2002	Barisal	1970	1	BR1	Short	6.12
7400	2001-2002	Bhanga	1970	1	BR1	Short	5.80
7401	2001-2002	Comilla	1970	1	BR1	Short	6.87
7402	2001-2002	Habiganj	1970	1	BR1	Short	5.67
7403	2001-2002	Rajshahi	1970	1	BR1	Short	6.10
7404	2001-2002	Rangpur	1970	1	BR1	Short	5.17
7405	2001-2002	Satkhira	1970	1	BR1	Short	5.27
7406	2002-2003	Barisal	1970	1	BR1	Short	4.28
7407	2002-2003	Bhanga	1970	1	BR1	Short	5.56
7408	2002-2003	Comilla	1970	1	BR1	Short	4.74
7409	2002-2003	Gazipur	1970	1	BR1	Short	4.57
7410	2002-2003	Habiganj	1970	1	BR1	Short	4.93
7411	2002-2003	Rajshahi	1970	1	BR1	Short	3.70
7412	2002-2003	Rangpur	1970	1	BR1	Short	3.33
7413	2002-2003	Satkhira	1970	1	BR1	Short	4.55
7414	2003-2004	Barisal	1970	1	BR1	Short	4.69
7415	2003-2004	Bhanga	1970	1	BR1	Short	2.79
7416	2003-2004	Comilla	1970	1	BR1	Short	4.02
7417	2003-2004	Gazipur	1970	1	BR1	Short	2.73
7418	2003-2004	Habiganj	1970	1	BR1	Short	3.51
7419	2003-2004	Rajshahi	1970	1	BR1	Short	1.53
7420	2003-2004	Rangpur	1970	1	BR1	Short	4.45
7421	2003-2004	Satkhira	1970	1	BR1	Short	5.40
7422	2004-2005	Barisal	1970	1	BR1	Short	5.69
7423	2004-2005	Bhanga	1970	1	BR1	Short	6.49
7424	2004-2005	Comilla	1970	1	BR1	Short	5.69
7425	2004-2005	Gazipur	1970	1	BR1	Short	4.21
7426	2004-2005	Habiganj	1970	1	BR1	Short	5.03
7427	2004-2005	Rajshahi	1970	1	BR1	Short	5.72
7428	2004-2005	Rangpur	1970	1	BR1	Short	5.29
7429	2004-2005	Satkhira	1970	1	BR1	Short	5.32
7430	2004-2005	Kustia	1970	1	BR1	Short	6.15
7431	2005-2006	Barisal	1970	1	BR1	Short	6.18
7432	2005-2006	Bhanga	1970	1	BR1	Short	5.37
7433	2005-2006	Comilla	1970	1	BR1	Short	6.73
7434	2005-2006	Gazipur	1970	1	BR1	Short	4.76
7435	2005-2006	Habiganj	1970	1	BR1	Short	6.50
7436	2005-2006	Rajshahi	1970	1	BR1	Short	3.78
7437	2005-2006	Rangpur	1970	1	BR1	Short	2.20
7438	2005-2006	Satkhira	1970	1	BR1	Short	5.73
7439	2005-2006	Kustia	1970	1	BR1	Short	7.18
7440	2006-2007	Barisal	1970	1	BR1	Short	6.25
7441	2006-2007	Bhanga	1970	1	BR1	Short	6.43
7442	2006-2007	Comilla	1970	1	BR1	Short	6.25
7443	2006-2007	Gazipur	1970	1	BR1	Short	4.99
7444	2006-2007	Habiganj	1970	1	BR1	Short	4.07
7445	2006-2007	Rajshahi	1970	1	BR1	Short	5.30
7446	2006-2007	Kustia	1970	1	BR1	Short	8.20
7447	2006-2007	Rangpur	1970	1	BR1	Short	5.44
7448	2006-2007	Satkhira	1970	1	BR1	Short	5.50
7449	2007-2008	Barisal	1970	1	BR1	Short	6.21
7450	2007-2008	Bhanga	1970	1	BR1	Short	5.83
7451	2007-2008	Comilla	1970	1	BR1	Short	6.54
7452	2007-2008	Gazipur	1970	1	BR1	Short	4.70
7453	2007-2008	Habiganj	1970	1	BR1	Short	4.07
7454	2007-2008	Rangpur	1970	1	BR1	Short	2.80
7455	2007-2008	Satkhira	1970	1	BR1	Short	8.00
7456	2007-2008	Kustia	1970	1	BR1	Short	6.67
7457	2007-2008	Rajshahi	1970	1	BR1	Short	4.88
7458	2008-2009	Barisal	1970	1	BR1	Short	5.51
7459	2008-2009	Bhanga	1970	1	BR1	Short	6.13
7460	2008-2009	Comilla	1970	1	BR1	Short	5.01
7461	2008-2009	Gazipur	1970	1	BR1	Short	4.65
7462	2008-2009	Habiganj	1970	1	BR1	Short	6.30
7463	2008-2009	Rajshahi	1970	1	BR1	Short	4.46
7464	2008-2009	Rangpur	1970	1	BR1	Short	2.90
7465	2008-2009	Kustia	1970	1	BR1	Short	7.20
7466	2008-2009	Satkhira	1970	1	BR1	Short	6.75
7467	2009-2010	Barisal	1970	1	BR1	Short	4.80
7468	2009-2010	Bhanga	1970	1	BR1	Short	6.13
7469	2009-2010	Comilla	1970	1	BR1	Short	5.76
7470	2009-2010	Gazipur	1970	1	BR1	Short	3.95
7471	2009-2010	Habiganj	1970	1	BR1	Short	6.10
7472	2009-2010	Rajshahi	1970	1	BR1	Short	4.67
7473	2009-2010	Rangpur	1970	1	BR1	Short	2.70
7474	2009-2010	Satkhira	1970	1	BR1	Short	6.63
7475	2009-2010	Kustia	1970	1	BR1	Short	5.93
7476	2010-2011	Barisal	1970	1	BR1	Short	5.84
7477	2010-2011	Bhanga	1970	1	BR1	Short	6.13
7478	2010-2011	Comilla	1970	1	BR1	Short	5.58
7479	2010-2011	Gazipur	1970	1	BR1	Short	2.75
7480	2010-2011	Habiganj	1970	1	BR1	Short	5.90
7481	2010-2011	Rangpur	1970	1	BR1	Short	2.30
7482	2010-2011	Satkhira	1970	1	BR1	Short	6.51
7483	2010-2011	Sonagazi	1970	1	BR1	Short	5.20
7484	2010-2011	Kustia	1970	1	BR1	Short	4.65
7485	2010-2011	Rajshahi	1970	1	BR1	Short	5.40
7486	2011-2012	Barisal	1970	1	BR1	Short	5.84
7487	2011-2012	Bhanga	1970	1	BR1	Short	6.13
7488	2011-2012	Comilla	1970	1	BR1	Short	5.15
7489	2011-2012	Gazipur	1970	1	BR1	Short	5.02
7490	2011-2012	Habiganj	1970	1	BR1	Short	5.90
7491	2011-2012	Rangpur	1970	1	BR1	Short	2.30
7492	2011-2012	Satkhira	1970	1	BR1	Short	6.20
7493	2011-2012	Sonagazi	1970	1	BR1	Short	5.20
7494	2011-2012	Kustia	1970	1	BR1	Short	4.65
7495	2011-2012	Rajshahi	1970	1	BR1	Short	6.13
7496	2012-2013	Barisal	1970	1	BR1	Short	5.57
7497	2012-2013	Bhanga	1970	1	BR1	Short	6.85
7498	2012-2013	Comilla	1970	1	BR1	Short	5.61
7499	2012-2013	Gazipur	1970	1	BR1	Short	7.11
7500	2012-2013	Habiganj	1970	1	BR1	Short	6.10
7501	2012-2013	Rangpur	1970	1	BR1	Short	6.35
7502	2012-2013	Satkhira	1970	1	BR1	Short	6.60
7503	2012-2013	Sonagazi	1970	1	BR1	Short	3.92
7504	2012-2013	Kustia	1970	1	BR1	Short	6.29
7505	2012-2013	Rajshahi	1970	1	BR1	Short	5.16
7506	2013-2014	Barisal	1970	1	BR1	Short	4.78
7507	2013-2014	Bhanga	1970	1	BR1	Short	5.80
7508	2013-2014	Comilla	1970	1	BR1	Short	5.12
7509	2013-2014	Gazipur	1970	1	BR1	Short	7.02
7510	2013-2014	Habiganj	1970	1	BR1	Short	5.51
7511	2013-2014	Rangpur	1970	1	BR1	Short	5.70
7512	2013-2014	Satkhira	1970	1	BR1	Short	5.79
7513	2013-2014	Sonagazi	1970	1	BR1	Short	5.32
7514	2013-2014	Kustia	1970	1	BR1	Short	5.62
7515	2013-2014	Rajshahi	1970	1	BR1	Short	5.23
7516	2014-2015	Barisal	1970	1	BR1	Short	4.02
7517	2014-2015	Bhanga	1970	1	BR1	Short	7.31
7518	2014-2015	Comilla	1970	1	BR1	Short	4.76
7519	2014-2015	Gazipur	1970	1	BR1	Short	6.20
7520	2014-2015	Habiganj	1970	1	BR1	Short	5.58
7521	2014-2015	Rangpur	1970	1	BR1	Short	2.55
7522	2014-2015	Satkhira	1970	1	BR1	Short	5.89
7523	2014-2015	Sonagazi	1970	1	BR1	Short	5.14
7524	2014-2015	Kustia	1970	1	BR1	Short	4.95
7525	2014-2015	Rajshahi	1970	1	BR1	Short	5.30
7526	2015-2016	Barisal	1970	1	BR1	Short	4.33
7527	2015-2016	Bhanga	1970	1	BR1	Short	7.01
7528	2015-2016	Comilla	1970	1	BR1	Short	4.32
7529	2015-2016	Gazipur	1970	1	BR1	Short	5.87
7530	2015-2016	Habiganj	1970	1	BR1	Short	6.40
7531	2015-2016	Rangpur	1970	1	BR1	Short	4.77
7532	2015-2016	Satkhira	1970	1	BR1	Short	5.64
7533	2015-2016	Sonagazi	1970	1	BR1	Short	5.63
7534	2015-2016	Kustia	1970	1	BR1	Short	6.73
7535	2015-2016	Rajshahi	1970	1	BR1	Short	6.09
7536	2001-2002	Barisal	1970	2	BR1	Short	6.72
7537	2001-2002	Bhanga	1970	2	BR1	Short	5.30
7538	2001-2002	Comilla	1970	2	BR1	Short	6.03
7539	2001-2002	Habiganj	1970	2	BR1	Short	5.65
7540	2001-2002	Rajshahi	1970	2	BR1	Short	4.60
7541	2001-2002	Rangpur	1970	2	BR1	Short	6.13
7542	2001-2002	Satkhira	1970	2	BR1	Short	5.12
7543	2002-2003	Barisal	1970	2	BR1	Short	3.91
7544	2002-2003	Bhanga	1970	2	BR1	Short	5.59
7545	2002-2003	Comilla	1970	2	BR1	Short	4.88
7546	2002-2003	Gazipur	1970	2	BR1	Short	4.46
7547	2002-2003	Habiganj	1970	2	BR1	Short	5.32
7548	2002-2003	Rajshahi	1970	2	BR1	Short	2.90
7549	2002-2003	Rangpur	1970	2	BR1	Short	3.54
7550	2002-2003	Satkhira	1970	2	BR1	Short	4.45
7551	2003-2004	Barisal	1970	2	BR1	Short	4.47
7552	2003-2004	Bhanga	1970	2	BR1	Short	2.33
7553	2003-2004	Comilla	1970	2	BR1	Short	4.22
7554	2003-2004	Gazipur	1970	2	BR1	Short	2.42
7555	2003-2004	Habiganj	1970	2	BR1	Short	4.03
7556	2003-2004	Rajshahi	1970	2	BR1	Short	1.11
7557	2003-2004	Rangpur	1970	2	BR1	Short	4.09
7558	2003-2004	Satkhira	1970	2	BR1	Short	5.24
7559	2004-2005	Barisal	1970	2	BR1	Short	4.76
7560	2004-2005	Bhanga	1970	2	BR1	Short	6.24
7561	2004-2005	Comilla	1970	2	BR1	Short	6.26
7562	2004-2005	Gazipur	1970	2	BR1	Short	4.75
7563	2004-2005	Habiganj	1970	2	BR1	Short	4.51
7564	2004-2005	Rajshahi	1970	2	BR1	Short	6.18
7565	2004-2005	Rangpur	1970	2	BR1	Short	5.27
7566	2004-2005	Satkhira	1970	2	BR1	Short	5.43
7567	2004-2005	Kustia	1970	2	BR1	Short	6.04
7568	2005-2006	Barisal	1970	2	BR1	Short	5.03
7569	2005-2006	Bhanga	1970	2	BR1	Short	5.44
7570	2005-2006	Comilla	1970	2	BR1	Short	6.51
7571	2005-2006	Gazipur	1970	2	BR1	Short	6.37
7572	2005-2006	Habiganj	1970	2	BR1	Short	6.40
7573	2005-2006	Rajshahi	1970	2	BR1	Short	2.87
7574	2005-2006	Rangpur	1970	2	BR1	Short	2.61
7575	2005-2006	Satkhira	1970	2	BR1	Short	5.91
7576	2005-2006	Kustia	1970	2	BR1	Short	7.10
7577	2006-2007	Barisal	1970	2	BR1	Short	6.23
7578	2006-2007	Bhanga	1970	2	BR1	Short	6.62
7579	2006-2007	Comilla	1970	2	BR1	Short	6.37
7580	2006-2007	Gazipur	1970	2	BR1	Short	5.29
7581	2006-2007	Habiganj	1970	2	BR1	Short	3.90
7582	2006-2007	Rajshahi	1970	2	BR1	Short	4.60
7583	2006-2007	Kustia	1970	2	BR1	Short	8.16
7584	2006-2007	Rangpur	1970	2	BR1	Short	5.64
7585	2006-2007	Satkhira	1970	2	BR1	Short	5.67
7586	2007-2008	Barisal	1970	2	BR1	Short	5.63
7587	2007-2008	Bhanga	1970	2	BR1	Short	5.64
7588	2007-2008	Comilla	1970	2	BR1	Short	6.29
7589	2007-2008	Gazipur	1970	2	BR1	Short	4.70
7590	2007-2008	Habiganj	1970	2	BR1	Short	3.90
7591	2007-2008	Rangpur	1970	2	BR1	Short	2.30
7592	2007-2008	Satkhira	1970	2	BR1	Short	4.00
7593	2007-2008	Kustia	1970	2	BR1	Short	6.52
7594	2007-2008	Rajshahi	1970	2	BR1	Short	5.02
7595	2008-2009	Barisal	1970	2	BR1	Short	5.19
7596	2008-2009	Bhanga	1970	2	BR1	Short	6.13
7597	2008-2009	Comilla	1970	2	BR1	Short	4.90
7598	2008-2009	Gazipur	1970	2	BR1	Short	5.35
7599	2008-2009	Habiganj	1970	2	BR1	Short	6.60
7600	2008-2009	Rajshahi	1970	2	BR1	Short	5.43
7601	2008-2009	Rangpur	1970	2	BR1	Short	2.50
7602	2008-2009	Kustia	1970	2	BR1	Short	6.75
7603	2008-2009	Satkhira	1970	2	BR1	Short	4.84
7604	2009-2010	Barisal	1970	2	BR1	Short	4.75
7605	2009-2010	Bhanga	1970	2	BR1	Short	5.55
7606	2009-2010	Comilla	1970	2	BR1	Short	5.75
7607	2009-2010	Gazipur	1970	2	BR1	Short	3.15
7608	2009-2010	Habiganj	1970	2	BR1	Short	6.05
7609	2009-2010	Rajshahi	1970	2	BR1	Short	5.22
7610	2009-2010	Rangpur	1970	2	BR1	Short	2.50
7611	2009-2010	Satkhira	1970	2	BR1	Short	4.67
7612	2009-2010	Kustia	1970	2	BR1	Short	5.71
7613	2010-2011	Barisal	1970	2	BR1	Short	4.76
7614	2010-2011	Bhanga	1970	2	BR1	Short	4.97
7615	2010-2011	Comilla	1970	2	BR1	Short	5.43
7616	2010-2011	Gazipur	1970	2	BR1	Short	2.80
7617	2010-2011	Habiganj	1970	2	BR1	Short	5.50
7618	2010-2011	Rangpur	1970	2	BR1	Short	2.60
7619	2010-2011	Satkhira	1970	2	BR1	Short	4.50
7620	2010-2011	Sonagazi	1970	2	BR1	Short	5.30
7621	2010-2011	Kustia	1970	2	BR1	Short	4.67
7622	2010-2011	Rajshahi	1970	2	BR1	Short	6.00
7623	2011-2012	Barisal	1970	2	BR1	Short	4.76
7624	2011-2012	Bhanga	1970	2	BR1	Short	4.97
7625	2011-2012	Comilla	1970	2	BR1	Short	5.24
7626	2011-2012	Gazipur	1970	2	BR1	Short	4.93
7627	2011-2012	Habiganj	1970	2	BR1	Short	5.50
7628	2011-2012	Rangpur	1970	2	BR1	Short	2.60
7629	2011-2012	Satkhira	1970	2	BR1	Short	6.66
7630	2011-2012	Sonagazi	1970	2	BR1	Short	5.30
7631	2011-2012	Kustia	1970	2	BR1	Short	4.67
7632	2011-2012	Rajshahi	1970	2	BR1	Short	6.77
7633	2012-2013	Barisal	1970	2	BR1	Short	4.83
7634	2012-2013	Bhanga	1970	2	BR1	Short	6.38
7635	2012-2013	Comilla	1970	2	BR1	Short	5.58
7636	2012-2013	Gazipur	1970	2	BR1	Short	6.35
7637	2012-2013	Habiganj	1970	2	BR1	Short	5.90
7638	2012-2013	Rangpur	1970	2	BR1	Short	6.20
7639	2012-2013	Satkhira	1970	2	BR1	Short	7.00
7640	2012-2013	Sonagazi	1970	2	BR1	Short	3.70
7641	2012-2013	Kustia	1970	2	BR1	Short	6.45
7642	2012-2013	Rajshahi	1970	2	BR1	Short	5.26
7643	2013-2014	Barisal	1970	2	BR1	Short	4.55
7644	2013-2014	Bhanga	1970	2	BR1	Short	5.70
7645	2013-2014	Comilla	1970	2	BR1	Short	5.25
7646	2013-2014	Gazipur	1970	2	BR1	Short	6.80
7647	2013-2014	Habiganj	1970	2	BR1	Short	5.80
7648	2013-2014	Rangpur	1970	2	BR1	Short	5.60
7649	2013-2014	Satkhira	1970	2	BR1	Short	6.31
7650	2013-2014	Sonagazi	1970	2	BR1	Short	5.25
7651	2013-2014	Kustia	1970	2	BR1	Short	6.33
7652	2013-2014	Rajshahi	1970	2	BR1	Short	5.24
7653	2014-2015	Barisal	1970	2	BR1	Short	4.26
7654	2014-2015	Bhanga	1970	2	BR1	Short	7.67
7655	2014-2015	Comilla	1970	2	BR1	Short	4.92
7656	2014-2015	Gazipur	1970	2	BR1	Short	6.10
7657	2014-2015	Habiganj	1970	2	BR1	Short	5.87
7658	2014-2015	Rangpur	1970	2	BR1	Short	3.05
7659	2014-2015	Satkhira	1970	2	BR1	Short	6.04
7660	2014-2015	Sonagazi	1970	2	BR1	Short	5.37
7661	2014-2015	Kustia	1970	2	BR1	Short	6.21
7662	2014-2015	Rajshahi	1970	2	BR1	Short	5.21
7663	2015-2016	Barisal	1970	2	BR1	Short	4.29
7664	2015-2016	Bhanga	1970	2	BR1	Short	7.34
7665	2015-2016	Comilla	1970	2	BR1	Short	5.36
7666	2015-2016	Gazipur	1970	2	BR1	Short	6.06
7667	2015-2016	Habiganj	1970	2	BR1	Short	6.30
7668	2015-2016	Rangpur	1970	2	BR1	Short	4.88
7669	2015-2016	Satkhira	1970	2	BR1	Short	6.41
7670	2015-2016	Sonagazi	1970	2	BR1	Short	5.55
7671	2015-2016	Kustia	1970	2	BR1	Short	6.69
7672	2015-2016	Rajshahi	1970	2	BR1	Short	5.98
7673	2001-2002	Barisal	1970	3	BR1	Short	6.83
7674	2001-2002	Bhanga	1970	3	BR1	Short	6.00
7675	2001-2002	Comilla	1970	3	BR1	Short	5.96
7676	2001-2002	Habiganj	1970	3	BR1	Short	5.27
7677	2001-2002	Rajshahi	1970	3	BR1	Short	5.50
7678	2001-2002	Rangpur	1970	3	BR1	Short	4.82
7679	2001-2002	Satkhira	1970	3	BR1	Short	5.32
