VGL	VGY	VGLY	VE	Locs	Years	Reps	SED (t/ha)
0.2966	0.032	0.2657	0.0625	1	1	1	1.15
0.2966	0.032	0.2657	0.0625	1	1	2	1.12
0.2966	0.032	0.2657	0.0625	1	1	4	1.10
0.2966	0.032	0.2657	0.0625	1	2	1	0.98
0.2966	0.032	0.2657	0.0625	1	2	2	0.96
0.2966	0.032	0.2657	0.0625	1	2	4	0.95
0.2966	0.032	0.2657	0.0625	1	3	1	0.91
0.2966	0.032	0.2657	0.0625	1	3	2	0.90
0.2966	0.032	0.2657	0.0625	1	3	4	0.90
0.2966	0.032	0.2657	0.0625	2	1	1	0.83
0.2966	0.032	0.2657	0.0625	2	1	2	0.81
0.2966	0.032	0.2657	0.0625	2	1	4	0.80
0.2966	0.032	0.2657	0.0625	3	1	1	0.69
0.2966	0.032	0.2657	0.0625	3	1	2	0.68
0.2966	0.032	0.2657	0.0625	3	1	4	0.67
0.2966	0.032	0.2657	0.0625	3	2	1	0.58
0.2966	0.032	0.2657	0.0625	3	2	2	0.57
0.2966	0.032	0.2657	0.0625	3	2	4	0.57
0.2966	0.032	0.2657	0.0625	3	3	1	0.54
0.2966	0.032	0.2657	0.0625	3	3	2	0.53
0.2966	0.032	0.2657	0.0625	3	3	4	0.53
0.2966	0.032	0.2657	0.0625	5	1	1	0.56
0.2966	0.032	0.2657	0.0625	5	1	2	0.55
0.2966	0.032	0.2657	0.0625	5	1	4	0.54
0.2966	0.032	0.2657	0.0625	5	2	1	0.47
0.2966	0.032	0.2657	0.0625	5	2	2	0.46
0.2966	0.032	0.2657	0.0625	5	2	4	0.45
0.2966	0.032	0.2657	0.0625	5	3	1	0.43
0.2966	0.032	0.2657	0.0625	5	3	2	0.42
0.2966	0.032	0.2657	0.0625	5	3	4	0.42
0.2966	0.032	0.2657	0.0625	10	1	1	0.43
0.2966	0.032	0.2657	0.0625	10	1	2	0.43
0.2966	0.032	0.2657	0.0625	10	1	4	0.42
0.2966	0.032	0.2657	0.0625	10	2	1	0.35
0.2966	0.032	0.2657	0.0625	10	2	2	0.35
0.2966	0.032	0.2657	0.0625	10	2	4	0.35
0.2966	0.032	0.2657	0.0625	10	3	1	0.32
0.2966	0.032	0.2657	0.0625	10	3	2	0.32
0.2966	0.032	0.2657	0.0625	10	3	4	0.32
0.2966	0.032	0.2657	0.0625	20	1	1	0.36
0.2966	0.032	0.2657	0.0625	20	1	2	0.35
0.2966	0.032	0.2657	0.0625	20	1	4	0.35
0.2966	0.032	0.2657	0.0625	20	2	1	0.28
0.2966	0.032	0.2657	0.0625	20	2	2	0.28
0.2966	0.032	0.2657	0.0625	20	2	4	0.28
0.2966	0.032	0.2657	0.0625	20	3	1	0.25
0.2966	0.032	0.2657	0.0625	20	3	2	0.25
0.2966	0.032	0.2657	0.0625	20	3	4	0.25
