Year	Station	Variety	Rep	Yield (t/ha)	GD (Days)	Category
2015	Rangpur	BRRI dhan62	1	4.40	98	Short
2015	Rangpur	BRRI dhan62	2	5.20	98	Short
2015	Rangpur	BRRI dhan62	3	5.00	98	Short
2015	Rajshahi	BRRI dhan62	2	5.73	100	Short
2015	Rajshahi	BRRI dhan62	3	6.04	100	Short
2016	Rajshahi	BRRI dhan62	1	3.45	100	Short
2016	Rajshahi	BRRI dhan62	2	4.60	100	Short
2016	Rajshahi	BRRI dhan62	3	4.65	100	Short
2017	Rajshahi	BRRI dhan62	2	4.34	100	Short
2017	Rajshahi	BRRI dhan62	3	5.14	100	Short
2015	Rajshahi	BRRI dhan62	1	4.82	101	Short
2017	Rajshahi	BRRI dhan62	1	3.10	101	Short
2017	Satkhira	BRRI dhan62	2	5.04	102	Short
2017	Satkhira	BRRI dhan57	3	3.19	102	Short
2015	Satkhira	BRRI dhan62	1	3.04	103	Short
2015	Satkhira	BRRI dhan62	2	3.83	103	Short
2015	Satkhira	BRRI dhan62	3	3.08	103	Short
2016	Gazipur	BRRI dhan62	1	2.95	103	Short
2016	Gazipur	BRRI dhan62	2	2.54	103	Short
2016	Gazipur	BRRI dhan62	3	2.74	103	Short
2016	Satkhira	BRRI dhan62	3	2.92	103	Short
2017	Gazipur	BRRI dhan62	1	1.12	103	Short
2017	Gazipur	BRRI dhan62	2	1.14	103	Short
2017	Gazipur	BRRI dhan62	3	1.40	103	Short
2017	Sonagazi	BRRI dhan62	1	4.74	103	Short
2017	Sonagazi	BRRI dhan62	2	5.69	103	Short
2017	Sonagazi	BRRI dhan62	3	4.94	103	Short
2016	Rangpur	BRRI dhan62	2	2.13	104	Short
2016	Satkhira	BRRI dhan62	2	2.88	104	Short
2016	Satkhira	BRRI dhan57	3	2.42	104	Short
2017	Satkhira	BRRI dhan57	1	3.70	104	Short
2017	Satkhira	BRRI dhan62	1	4.71	104	Short
2017	Satkhira	BRRI dhan62	3	4.35	104	Short
2015	Rajshahi	BRRI dhan57	2	3.35	105	Short
2015	Rajshahi	BRRI dhan57	3	4.95	105	Short
2016	Cumilla	BRRI dhan57	3	3.39	105	Short
2016	Rajshahi	BRRI dhan57	1	5.59	105	Short
2016	Rajshahi	BRRI dhan57	2	4.12	105	Short
2016	Rangpur	BRRI dhan62	1	3.13	105	Short
2016	Rangpur	BRRI dhan62	3	2.13	105	Short
2017	Rajshahi	BRRI dhan57	2	3.53	105	Short
2017	Rajshahi	BRRI dhan57	3	3.68	105	Short
2015	Rajshahi	BRRI dhan57	1	4.42	106	Short
2015	Rangpur	BRRI dhan57	1	3.00	106	Short
2015	Rangpur	BRRI dhan57	2	3.30	106	Short
2015	Rangpur	BRRI dhan57	3	3.10	106	Short
2016	Cumilla	BRRI dhan57	2	3.78	106	Short
2016	Gazipur	BRRI dhan57	1	2.89	106	Short
2016	Gazipur	BRRI dhan57	2	2.35	106	Short
2016	Gazipur	BRRI dhan57	3	2.59	106	Short
2016	Rajshahi	BRRI dhan57	3	4.40	106	Short
2016	Satkhira	BRRI dhan57	1	1.94	106	Short
2016	Satkhira	BRRI dhan62	1	3.81	106	Short
2016	Satkhira	BRRI dhan66	1	5.12	106	Short
2016	Satkhira	BRRI dhan57	2	2.91	106	Short
2016	Satkhira	BRRI dhan66	2	4.23	106	Short
2016	Satkhira	BRRI dhan66	3	5.24	106	Short
2017	Rajshahi	BRRI dhan57	1	3.33	106	Short
2017	Satkhira	BRRI dhan57	2	3.38	106	Short
2017	Sonagazi	BRRI dhan57	1	4.69	106	Short
2017	Sonagazi	BRRI dhan57	2	5.29	106	Short
2017	Sonagazi	BRRI dhan57	3	5.30	106	Short
2016	Cumilla	BRRI dhan57	1	3.66	107	Short
2017	Barishal	BRRI dhan56	1	3.89	107	Short
2017	Barishal	BRRI dhan56	2	4.56	107	Short
2017	Cumilla	BRRI dhan57	1	0.81	107	Short
2017	Rangpur	BRRI dhan62	1	3.97	107	Short
2017	Rangpur	BRRI dhan62	2	4.16	107	Short
2017	Rangpur	BRRI dhan56	3	3.47	107	Short
2017	Rangpur	BRRI dhan62	3	4.21	107	Short
2015	Cumilla	BRRI dhan62	1	2.05	108	Short
2017	Barishal	BRRI dhan56	3	4.36	108	Short
2017	Barishal	BRRI dhan57	3	2.32	108	Short
2017	Cumilla	BRRI dhan62	1	1.45	108	Short
2017	Cumilla	BRRI dhan57	2	0.49	108	Short
2017	Cumilla	BRRI dhan57	3	0.65	108	Short
2017	Cumilla	BRRI dhan62	3	0.88	108	Short
2017	Gazipur	BRRI dhan57	1	1.37	108	Short
2017	Gazipur	BRRI dhan57	2	3.21	108	Short
2017	Gazipur	BRRI dhan57	3	1.80	108	Short
2017	Rangpur	BRRI dhan57	1	2.65	108	Short
2017	Rangpur	BRRI dhan57	2	3.02	108	Short
2017	Rangpur	BRRI dhan57	3	3.00	108	Short
2015	Cumilla	BRRI dhan57	1	1.25	109	Short
2015	Cumilla	BRRI dhan57	2	1.66	109	Short
2015	Cumilla	BRRI dhan62	2	3.16	109	Short
2015	Cumilla	BRRI dhan57	3	2.20	109	Short
2015	Satkhira	BRRI dhan57	2	3.63	109	Short
2016	Gazipur	BRRI dhan75	1	4.67	109	Short
2016	Gazipur	BRRI dhan75	2	5.00	109	Short
2016	Gazipur	BRRI dhan75	3	3.84	109	Short
2016	Rajshahi	BRRI dhan56	3	4.56	109	Short
2016	Rangpur	BRRI dhan57	1	2.30	109	Short
2016	Rangpur	BRRI dhan57	2	2.74	109	Short
2016	Rangpur	BRRI dhan57	3	2.91	109	Short
2016	Satkhira	BRRI dhan56	1	3.87	109	Short
2016	Satkhira	BRRI dhan56	2	4.36	109	Short
2016	Satkhira	BRRI dhan56	3	3.71	109	Short
2017	Barishal	BRRI dhan71	1	2.91	109	Short
2017	Barishal	BRRI dhan57	2	2.26	109	Short
2017	Barishal	BRRI dhan66	2	4.38	109	Short
2017	Barishal	BRRI dhan71	2	3.73	109	Short
2017	Barishal	BRRI dhan33	3	3.18	109	Short
2017	Barishal	BRRI dhan66	3	4.02	109	Short
2017	Bhanga	BRRI dhan33	1	3.98	109	Short
2017	Cumilla	BRRI dhan62	2	1.28	109	Short
2017	Rangpur	BRRI dhan75	1	3.81	109	Short
2017	Rangpur	BRRI dhan75	2	2.98	109	Short
2017	Rangpur	BRRI dhan75	3	3.75	109	Short
2017	Satkhira	BRRI dhan56	3	5.56	109	Short
2015	Cumilla	BRRI dhan62	3	2.59	110	Short
2015	Gazipur	BRRI dhan62	1	0.52	110	Short
2015	Gazipur	BRRI dhan62	2	0.43	110	Short
2015	Gazipur	BRRI dhan62	3	1.56	110	Short
2015	Rajshahi	BRRI dhan56	1	5.19	110	Short
2015	Rajshahi	BRRI dhan56	2	4.60	110	Short
2015	Rajshahi	BRRI dhan56	3	4.80	110	Short
2015	Rangpur	BRRI dhan56	1	5.00	110	Short
2015	Rangpur	BRRI dhan56	2	5.10	110	Short
2015	Rangpur	BRRI dhan56	3	4.90	110	Short
2015	Satkhira	BRRI dhan57	1	3.71	110	Short
2016	Cumilla	BRRI dhan56	1	4.33	110	Short
2016	Cumilla	BRRI dhan56	3	4.00	110	Short
2016	Rajshahi	BRRI dhan56	1	5.11	110	Short
2016	Rajshahi	BRRI dhan56	2	4.33	110	Short
2017	Barishal	BRRI dhan33	1	3.39	110	Short
2017	Barishal	BRRI dhan66	1	4.36	110	Short
2017	Barishal	BRRI dhan33	2	3.12	110	Short
2017	Barishal	BRRI dhan71	3	3.54	110	Short
2017	Gazipur	BRRI dhan75	1	4.16	110	Short
2017	Gazipur	BRRI dhan75	2	4.00	110	Short
2017	Gazipur	BRRI dhan75	3	4.63	110	Short
2017	Rajshahi	BRRI dhan56	1	3.84	110	Short
2017	Rajshahi	BRRI dhan56	2	3.03	110	Short
2017	Rajshahi	BRRI dhan56	3	3.78	110	Short
2017	Rangpur	BRRI dhan56	1	3.68	110	Short
2017	Rangpur	BRRI dhan56	2	3.37	110	Short
2017	Satkhira	BRRI dhan56	1	5.40	110	Short
2017	Satkhira	BRRI dhan56	2	4.27	110	Short
2016	Rangpur	BRRI dhan75	3	4.31	111	Short
2015	Kushtia	BRRI Dhan57	1	5.11	111	Short
2015	Kushtia	BRRI Dhan57	2	4.77	111	Short
2015	Kushtia	BRRI Dhan57	3	4.67	111	Short
2015	Rangpur	BRRI dhan33	1	3.00	111	Short
2015	Rangpur	BRRI dhan66	1	4.20	111	Short
2015	Rangpur	BRRI dhan33	2	2.60	111	Short
2015	Rangpur	BRRI dhan66	2	5.20	111	Short
2015	Rangpur	BRRI dhan33	3	2.40	111	Short
2015	Rangpur	BRRI dhan66	3	4.40	111	Short
2016	Cumilla	BRRI dhan62	1	4.05	111	Short
2016	Cumilla	BRRI dhan56	2	4.30	111	Short
2016	Cumilla	BRRI dhan62	3	3.97	111	Short
2016	Rangpur	BRRI dhan75	1	3.78	111	Short
2016	Rangpur	BRRI dhan75	2	2.50	111	Short
2017	Barishal	BRRI dhan73	1	3.10	111	Medium
2017	Barishal	BRRI dhan75	1	3.53	111	Short
2017	Barishal	BRRI dhan73	2	3.12	111	Medium
2017	Barishal	BRRI dhan39	3	2.93	111	Medium
2017	Barishal	BRRI dhan73	3	3.02	111	Medium
2017	Barishal	BRRI dhan75	3	3.48	111	Short
2017	Bhanga	BRRI dhan57	1	3.73	111	Short
2017	Rangpur	BRRI dhan66	1	4.38	111	Short
2017	Rangpur	BRRI dhan66	2	3.41	111	Short
2017	Rangpur	BRRI dhan66	3	3.69	111	Short
2015	Gazipur	BRRI dhan57	1	3.49	112	Short
2015	Gazipur	BRRI dhan57	2	0.43	112	Short
2015	Gazipur	BRRI dhan57	3	4.77	112	Short
2015	Satkhira	BRRI dhan57	3	3.70	112	Short
2016	Cumilla	BRRI dhan62	2	4.26	112	Short
2016	Cumilla	BRRI dhan71	2	5.58	112	Short
2016	Rangpur	BRRI dhan33	1	2.51	112	Short
2016	Rangpur	BRRI dhan33	2	2.45	112	Short
2016	Rangpur	BRRI dhan33	3	2.10	112	Short
2017	Barishal	BRRI dhan53	1	3.04	112	Medium
2017	Barishal	BRRI dhan39	2	3.20	112	Medium
2017	Bhanga	BRRI dhan56	1	4.69	112	Short
2017	Bhanga	BRRI dhan62	1	2.56	112	Short
2017	Bhanga	BRRI dhan56	2	3.55	112	Short
2017	Sonagazi	BRRI dhan56	1	4.91	112	Short
2017	Sonagazi	BRRI dhan56	2	4.58	112	Short
2017	Sonagazi	BRRI dhan56	3	4.91	112	Short
2015	Rangpur	BRRI dhan39	1	4.10	113	Medium
2015	Rangpur	BRRI dhan39	2	3.80	113	Medium
2015	Rangpur	BRRI dhan39	3	3.60	113	Medium
2016	Cumilla	BRRI dhan71	1	7.59	113	Short
2016	Cumilla	BRRI dhan66	2	4.20	113	Short
2016	Cumilla	BRRI dhan71	3	5.34	113	Short
2017	Barishal	BRRI dhan53	2	2.98	113	Medium
2017	Barishal	BRRI dhan53	3	2.94	113	Medium
2017	Bhanga	BRRI dhan62	2	2.64	113	Short
2017	Rangpur	BRRI dhan33	1	3.18	113	Short
2017	Rangpur	BRRI dhan33	2	2.48	113	Short
2017	Rangpur	BRRI dhan33	3	3.66	113	Short
2017	Sonagazi	BRRI dhan75	1	5.50	113	Short
2017	Sonagazi	BRRI dhan75	2	5.66	113	Short
2017	Sonagazi	BRRI dhan75	3	5.81	113	Short
2015	Cumilla	BRRI dhan56	3	5.27	114	Short
2015	Rangpur	BRRI dhan53	1	4.00	114	Medium
2015	Rangpur	BRRI dhan53	2	3.40	114	Medium
2015	Rangpur	BRRI dhan53	3	4.50	114	Medium
2016	Rangpur	BRRI dhan66	1	4.99	114	Short
2016	Rangpur	BRRI dhan66	2	4.42	114	Short
2016	Rangpur	BRRI dhan66	3	4.37	114	Short
2017	Barishal	BRRI dhan39	1	3.06	114	Medium
2017	Barishal	BRRI dhan75	2	4.99	114	Short
2017	Bhanga	BRRI dhan39	1	3.83	114	Medium
2017	Bhanga	BRRI dhan66	1	3.98	114	Short
2017	Bhanga	BRRI dhan66	2	3.41	114	Short
2017	Bhanga	BRRI dhan75	2	2.30	114	Short
2017	Bhanga	BRRI dhan62	3	2.41	114	Short
2017	Bhanga	BRRI dhan75	3	2.44	114	Short
2017	Rajshahi	BRRI dhan66	1	3.74	114	Short
2017	Satkhira	BRRI dhan71	3	4.83	114	Short
2017	Sonagazi	BRRI dhan66	1	4.98	114	Short
2017	Sonagazi	BRRI dhan66	2	5.28	114	Short
2017	Sonagazi	BRRI dhan66	3	4.88	114	Short
2015	Bhanga	BRRI dhan66	1	5.06	115	Short
2015	Cumilla	BRRI dhan56	1	4.59	115	Short
2015	Rajshahi	BRRI dhan66	1	4.39	115	Short
2015	Rajshahi	BRRI dhan66	2	4.22	115	Short
2015	Satkhira	BRRI dhan56	3	4.84	115	Short
2016	Bhanga	BRRI dhan53	2	5.52	115	Medium
2016	Bhanga	BRRI dhan66	3	6.04	115	Short
2016	Cumilla	BRRI dhan66	3	3.85	115	Short
2016	Gazipur	BRRI dhan56	1	3.74	115	Short
2016	Gazipur	BRRI dhan66	1	5.85	115	Short
2016	Gazipur	BRRI dhan56	2	4.81	115	Short
2016	Gazipur	BRRI dhan66	2	6.02	115	Short
2016	Gazipur	BRRI dhan56	3	3.52	115	Short
2016	Gazipur	BRRI dhan66	3	6.18	115	Short
2016	Rajshahi	BRRI dhan75	2	3.60	115	Short
2016	Rangpur	BRRI dhan53	1	1.96	115	Medium
2016	Rangpur	BRRI dhan56	1	3.62	115	Short
2016	Rangpur	BRRI dhan53	2	3.97	115	Medium
2016	Rangpur	BRRI dhan56	2	4.14	115	Short
2016	Rangpur	BRRI dhan53	3	3.97	115	Medium
2016	Rangpur	BRRI dhan56	3	4.12	115	Short
2017	Barishal	BRRI dhan32	1	3.12	115	Medium
2017	Barishal	BRRI dhan57	1	2.31	115	Short
2017	Barishal	BRRI dhan32	3	3.25	115	Medium
2017	Bhanga	BRRI dhan75	1	2.36	115	Short
2017	Bhanga	BRRI dhan33	2	3.69	115	Short
2017	Cumilla	BRRI dhan56	1	3.39	115	Short
2017	Cumilla	BRRI dhan66	3	2.33	115	Short
2017	Gazipur	BRRI dhan56	1	1.89	115	Short
2017	Gazipur	BRRI dhan56	2	1.75	115	Short
2017	Gazipur	BRRI dhan56	3	2.86	115	Short
2017	Rajshahi	BRRI dhan71	1	4.76	115	Short
2017	Rangpur	BRRI dhan32	1	3.16	115	Medium
2017	Rangpur	BRRI dhan53	1	3.41	115	Medium
2017	Rangpur	BRRI dhan73	1	4.51	115	Medium
2017	Rangpur	BRRI dhan32	2	4.46	115	Medium
2017	Rangpur	BRRI dhan53	2	3.68	115	Medium
2017	Rangpur	BRRI dhan73	2	3.59	115	Medium
2017	Rangpur	BRRI dhan32	3	4.20	115	Medium
2017	Rangpur	BRRI dhan53	3	3.57	115	Medium
2017	Rangpur	BRRI dhan73	3	3.11	115	Medium
2017	Satkhira	BRRI dhan75	1	4.99	115	Short
2015	Bhanga	BRRI dhan66	2	5.36	116	Short
2015	Bhanga	BRRI dhan66	3	5.10	116	Short
2015	Cumilla	BRRI dhan56	2	5.04	116	Short
2015	Rajshahi	BRRI dhan66	3	4.93	116	Short
2015	Satkhira	BRRI dhan33	2	5.21	116	Short
2016	Bhanga	BRRI dhan66	1	6.14	116	Short
2016	Bhanga	BRRI dhan53	3	5.55	116	Medium
2016	Gazipur	BRRI dhan33	1	4.93	116	Short
2016	Gazipur	BRRI dhan53	1	4.48	116	Medium
2016	Gazipur	BRRI dhan73	1	6.07	116	Medium
2016	Gazipur	BRRI dhan33	2	3.53	116	Short
2016	Gazipur	BRRI dhan53	2	5.39	116	Medium
2016	Gazipur	BRRI dhan73	2	6.33	116	Medium
2016	Gazipur	BRRI dhan33	3	4.68	116	Short
2016	Gazipur	BRRI dhan53	3	4.93	116	Medium
2016	Gazipur	BRRI dhan73	3	6.20	116	Medium
2016	Rajshahi	BRRI dhan66	1	6.13	116	Short
2016	Rajshahi	BRRI dhan71	1	5.36	116	Short
2016	Rajshahi	BRRI dhan75	1	3.80	116	Short
2016	Rajshahi	BRRI dhan66	2	5.86	116	Short
2016	Rajshahi	BRRI dhan71	2	5.33	116	Short
2017	Bhanga	BRRI dhan56	3	3.73	116	Short
2017	Cumilla	BRRI dhan66	2	3.10	116	Short
2017	Gazipur	BRRI dhan33	1	3.23	116	Short
2017	Gazipur	BRRI dhan66	1	3.94	116	Short
2017	Gazipur	BRRI dhan73	1	3.23	116	Medium
2017	Gazipur	BRRI dhan33	2	3.14	116	Short
2017	Gazipur	BRRI dhan66	2	3.19	116	Short
2017	Gazipur	BRRI dhan73	2	2.60	116	Medium
2017	Gazipur	BRRI dhan33	3	3.39	116	Short
2017	Gazipur	BRRI dhan66	3	4.20	116	Short
2017	Gazipur	BRRI dhan73	3	3.53	116	Medium
2017	Kushtia	BR11	1	3.50	116	Long
2017	Rajshahi	BRRI dhan75	1	3.50	116	Short
2017	Rajshahi	BRRI dhan66	2	3.33	116	Short
2017	Rajshahi	BRRI dhan71	2	3.14	116	Short
2017	Rajshahi	BRRI dhan66	3	3.57	116	Short
2017	Rajshahi	BRRI dhan71	3	3.62	116	Short
2017	Rajshahi	BRRI dhan75	3	4.66	116	Short
2017	Rangpur	BRRI dhan71	3	2.98	116	Short
2017	Satkhira	BRRI dhan66	1	4.86	116	Short
2017	Satkhira	BRRI dhan66	2	5.42	116	Short
2017	Satkhira	BRRI dhan33	3	5.65	116	Short
2015	Kushtia	BRRI Dhan62	1	4.67	117	Short
2015	Kushtia	BRRI Dhan62	2	4.62	117	Short
2015	Kushtia	BRRI Dhan62	3	5.01	117	Short
2015	Rajshahi	BRRI dhan33	1	5.39	117	Short
2015	Rajshahi	BRRI dhan39	1	5.58	117	Medium
2015	Rajshahi	BRRI dhan33	2	4.72	117	Short
2015	Satkhira	BRRI dhan56	2	3.90	117	Short
2015	Satkhira	BRRI dhan33	3	4.74	117	Short
2016	Bhanga	BRRI dhan56	1	7.08	117	Short
2016	Bhanga	BRRI dhan56	2	6.32	117	Short
2016	Bhanga	BRRI dhan66	2	7.31	117	Short
2016	Cumilla	BRRI dhan33	1	4.25	117	Short
2016	Cumilla	BRRI dhan66	1	4.41	117	Short
2016	Cumilla	BRRI dhan75	1	5.45	117	Short
2016	Cumilla	BRRI dhan75	3	5.09	117	Short
