Year	Station	Variety	Rep	Yield (t/ha)	GD (Days)	Category
2015-16	Barishal	BRRI dhan45	1	3.48	123	Short
2015-16	Barishal	BRRI dhan45	2	3.27	123	Short
2015-16	Barishal	BRRI dhan45	3	3.91	123	Short
2015-16	Barishal	BRRI dhan63	1	3.37	127	Short
2015-16	Barishal	BRRI dhan63	2	3.52	127	Short
2015-16	Barishal	BRRI dhan63	3	4.53	127	Short
2015-16	Barishal	BR26	1	3.91	128	Short
2015-16	Barishal	BR26	2	3.62	128	Short
2015-16	Barishal	BR26	3	3.63	128	Short
2015-16	Barishal	BRRI dhan28	1	3.55	128	Short
2015-16	Barishal	BRRI dhan28	2	4.08	128	Short
2015-16	Barishal	BRRI dhan28	3	4.69	128	Short
2015-16	Satkhira	BRRI dhan60	2	6.25	129	Short
2016-17	Bhanga	BR19	2	6.18	130	Long
2016-17	Bhanga	BR2	2	6.67	130	Long
2016-17	Bhanga	BR2	3	6.17	130	Long
2015-16	Barishal	BR6	1	4.19	130	Short
2015-16	Barishal	BR6	2	4.89	130	Short
2015-16	Barishal	BR6	3	4.74	130	Short
2015-16	Barishal	BRRI dhan36	1	4.02	130	Short
2015-16	Barishal	BRRI dhan36	2	4.51	130	Short
2015-16	Barishal	BRRI dhan36	3	4.03	130	Short
2015-16	Satkhira	BRRI dhan58	2	5.01	130	Medium
2015-16	Satkhira	BRRI dhan59	2	5.26	130	Medium
2016-17	Bhanga	BR2	1	6.41	131	Long
2015-16	Barishal	BRRI dhan67	1	4.62	131	Short
2015-16	Barishal	BRRI dhan67	2	3.44	131	Short
2015-16	Barishal	BRRI dhan67	3	3.91	131	Short
2015-16	Barishal	BR12	1	3.76	132	Long
2015-16	Barishal	BR12	2	4.10	132	Long
2015-16	Barishal	BR12	3	4.54	132	Long
2015-16	Barishal	BR18	1	4.74	132	Long
2015-16	Barishal	BR18	2	4.17	132	Long
2015-16	Barishal	BR18	3	4.83	132	Long
2016-17	Bhanga	BR19	1	6.80	132	Long
2016-17	Bhanga	BR19	3	6.65	132	Long
