Year,Station,Variety,Category,Rep,Yield,GD
2015,Rangpur,BRRI dhan62,Short,1,4.4,98
2015,Rangpur,BRRI dhan62,Short,2,5.2,98
2015,Rangpur,BRRI dhan62,Short,3,5,98
2015,Rajshahi,BRRI dhan62,Short,2,5.73,100
2015,Rajshahi,BRRI dhan62,Short,3,6.04,100
2016,Rajshahi,BRRI dhan62,Short,1,3.45,100
2016,Rajshahi,BRRI dhan62,Short,2,4.6,100
2016,Rajshahi,BRRI dhan62,Short,3,4.65,100
2017,Rajshahi,BRRI dhan62,Short,2,4.34,100
2017,Rajshahi,BRRI dhan62,Short,3,5.14,100
2015,Rajshahi,BRRI dhan62,Short,1,4.82,101
2017,Rajshahi,BRRI dhan62,Short,1,3.1,101
2017,Satkhira,BRRI dhan62,Short,2,5.04,102
2017,Satkhira,BRRI dhan57,Short,3,3.19,102
2015,Satkhira,BRRI dhan62,Short,1,3.04,103
2015,Satkhira,BRRI dhan62,Short,2,3.83,103
2015,Satkhira,BRRI dhan62,Short,3,3.08,103
2016,Gazipur,BRRI dhan62,Short,1,2.95,103
2016,Gazipur,BRRI dhan62,Short,2,2.54,103
2016,Gazipur,BRRI dhan62,Short,3,2.74,103
2016,Satkhira,BRRI dhan62,Short,3,2.92,103
2017,Gazipur,BRRI dhan62,Short,1,1.12,103
2017,Gazipur,BRRI dhan62,Short,2,1.14,103
2017,Gazipur,BRRI dhan62,Short,3,1.4,103
2017,Sonagazi,BRRI dhan62,Short,1,4.74,103
2017,Sonagazi,BRRI dhan62,Short,2,5.69,103
2017,Sonagazi,BRRI dhan62,Short,3,4.94,103
2016,Rangpur,BRRI dhan62,Short,2,2.13,104
2016,Satkhira,BRRI dhan62,Short,2,2.88,104
2016,Satkhira,BRRI dhan57,Short,3,2.42,104
2017,Satkhira,BRRI dhan57,Short,1,3.7,104
2017,Satkhira,BRRI dhan62,Short,1,4.71,104
2017,Satkhira,BRRI dhan62,Short,3,4.35,104
2015,Rajshahi,BRRI dhan57,Short,2,3.35,105
2015,Rajshahi,BRRI dhan57,Short,3,4.95,105
2016,Cumilla,BRRI dhan57,Short,3,3.39,105
2016,Rajshahi,BRRI dhan57,Short,1,5.59,105
2016,Rajshahi,BRRI dhan57,Short,2,4.12,105
2016,Rangpur,BRRI dhan62,Short,1,3.13,105
2016,Rangpur,BRRI dhan62,Short,3,2.13,105
2017,Rajshahi,BRRI dhan57,Short,2,3.53,105
2017,Rajshahi,BRRI dhan57,Short,3,3.68,105
2015,Rajshahi,BRRI dhan57,Short,1,4.42,106
2015,Rangpur,BRRI dhan57,Short,1,3,106
2015,Rangpur,BRRI dhan57,Short,2,3.3,106
2015,Rangpur,BRRI dhan57,Short,3,3.1,106
2016,Cumilla,BRRI dhan57,Short,2,3.78,106
2016,Gazipur,BRRI dhan57,Short,1,2.89,106
2016,Gazipur,BRRI dhan57,Short,2,2.35,106
2016,Gazipur,BRRI dhan57,Short,3,2.59,106
2016,Rajshahi,BRRI dhan57,Short,3,4.4,106
2016,Satkhira,BRRI dhan57,Short,1,1.94,106
2016,Satkhira,BRRI dhan62,Short,1,3.81,106
2016,Satkhira,BRRI dhan66,Short,1,5.12,106
2016,Satkhira,BRRI dhan57,Short,2,2.91,106
2016,Satkhira,BRRI dhan66,Short,2,4.23,106
2016,Satkhira,BRRI dhan66,Short,3,5.24,106
2017,Rajshahi,BRRI dhan57,Short,1,3.33,106
2017,Satkhira,BRRI dhan57,Short,2,3.38,106
2017,Sonagazi,BRRI dhan57,Short,1,4.69,106
2017,Sonagazi,BRRI dhan57,Short,2,5.29,106
2017,Sonagazi,BRRI dhan57,Short,3,5.3,106
2016,Cumilla,BRRI dhan57,Short,1,3.66,107
2017,Barishal,BRRI dhan56,Short,1,3.89,107
2017,Barishal,BRRI dhan56,Short,2,4.56,107
2017,Cumilla,BRRI dhan57,Short,1,0.81,107
2017,Rangpur,BRRI dhan62,Short,1,3.97,107
2017,Rangpur,BRRI dhan62,Short,2,4.16,107
2017,Rangpur,BRRI dhan56,Short,3,3.47,107
2017,Rangpur,BRRI dhan62,Short,3,4.21,107
2015,Cumilla,BRRI dhan62,Short,1,2.05,108
2017,Barishal,BRRI dhan56,Short,3,4.36,108
2017,Barishal,BRRI dhan57,Short,3,2.32,108
2017,Cumilla,BRRI dhan62,Short,1,1.45,108
2017,Cumilla,BRRI dhan57,Short,2,0.49,108
2017,Cumilla,BRRI dhan57,Short,3,0.65,108
2017,Cumilla,BRRI dhan62,Short,3,0.88,108
