Year,Station,Variety,Category,Rep,Yield,GD
2015-16,Barishal,BRRI dhan45,Short,1,3.48,123
2015-16,Barishal,BRRI dhan45,Short,2,3.27,123
2015-16,Barishal,BRRI dhan45,Short,3,3.91,123
2015-16,Barishal,BRRI dhan63,Short,1,3.37,127
2015-16,Barishal,BRRI dhan63,Short,2,3.52,127
2015-16,Barishal,BRRI dhan63,Short,3,4.53,127
2015-16,Barishal,BR26,Short,1,3.91,128
2015-16,Barishal,BR26,Short,2,3.62,128
2015-16,Barishal,BR26,Short,3,3.63,128
2015-16,Barishal,BRRI dhan28,Short,1,3.55,128
2015-16,Barishal,BRRI dhan28,Short,2,4.08,128
2015-16,Barishal,BRRI dhan28,Short,3,4.69,128
2015-16,Satkhira,BRRI dhan60,Short,2,6.25,129
2016-17,Bhanga,BR19,Long,2,6.18,130
2016-17,Bhanga,BR2,Long,2,6.67,130
2016-17,Bhanga,BR2,Long,3,6.17,130
2015-16,Barishal,BR6,Short,1,4.19,130
2015-16,Barishal,BR6,Short,2,4.89,130
2015-16,Barishal,BR6,Short,3,4.74,130
2015-16,Barishal,BRRI dhan36,Short,1,4.02,130
2015-16,Barishal,BRRI dhan36,Short,2,4.51,130
2015-16,Barishal,BRRI dhan36,Short,3,4.03,130
2015-16,Satkhira,BRRI dhan58,Medium,2,5.01,130
2015-16,Satkhira,BRRI dhan59,Medium,2,5.26,130
2016-17,Bhanga,BR2,Long,1,6.41,131
2015-16,Barishal,BRRI dhan67,Short,1,4.62,131
2015-16,Barishal,BRRI dhan67,Short,2,3.44,131
2015-16,Barishal,BRRI dhan67,Short,3,3.91,131
2015-16,Barishal,BR12,Long,1,3.76,132
2015-16,Barishal,BR12,Long,2,4.1,132
2015-16,Barishal,BR12,Long,3,4.54,132
2015-16,Barishal,BR18,Long,1,4.74,132
2015-16,Barishal,BR18,Long,2,4.17,132
2015-16,Barishal,BR18,Long,3,4.83,132
2016-17,Bhanga,BR19,Long,1,6.8,132
2016-17,Bhanga,BR19,Long,3,6.65,132
2016-17,Bhanga,BRRI dhan47,Short,2,5.73,132
2015-16,Barishal,BRRI dhan55,Short,1,4.97,132
2015-16,Barishal,BRRI dhan55,Short,2,4.36,132
2015-16,Barishal,BRRI dhan55,Short,3,5.43,132
2015-16,Satkhira,BRRI dhan55,Short,2,6.66,132
2015-16,Barishal,BRRI dhan61,Medium,1,4.47,132
2015-16,Barishal,BRRI dhan61,Medium,2,5.21,132
2015-16,Barishal,BRRI dhan61,Medium,3,4.16,132
2015-16,Barishal,BRRI dhan64,Medium,1,4.59,132
2015-16,Barishal,BRRI dhan64,Medium,2,3.84,132
2015-16,Barishal,BRRI dhan64,Medium,3,4.1,132
2016-17,Bhanga,BR1,Medium,2,5.74,133
2015-16,Barishal,BR14,Long,1,4.2,133
2015-16,Barishal,BR14,Long,2,5.26,133
2015-16,Barishal,BR14,Long,3,4.47,133
2017-18,Sonagazi,BR6,Short,1,4.37,133
2017-18,Sonagazi,BR6,Short,2,4.25,133
2017-18,Sonagazi,BR6,Short,3,4.47,133
2017-18,Sonagazi,BRRI dhan28,Short,1,4.88,133
2017-18,Sonagazi,BRRI dhan28,Short,2,4.83,133
2017-18,Sonagazi,BRRI dhan28,Short,3,5.33,133
2016-17,Bhanga,BR1,Medium,1,5.78,134
2016-17,Bhanga,BR1,Medium,3,6.28,134
2015-16,Satkhira,BR15,Long,1,6.85,134
2015-16,Satkhira,BR16,Long,1,6.53,134
2015-16,Satkhira,BR19,Long,2,6.32,134
2015-16,Barishal,BR2,Long,1,4.51,134
