"","Y","L","Env","G","tj","ri","Rep","Group","Yield","GD"
"1",2001,"Barisal","2001-Barisal","BR10",2001,1980,1,"Long",3.5,NA
"2",2001,"Comilla","2001-Comilla","BR10",2001,1980,1,"Long",5.011046512,NA
"3",2001,"Gazipur","2001-Gazipur","BR10",2001,1980,1,"Long",4.280232558,NA
"4",2001,"Rajshahi","2001-Rajshahi","BR10",2001,1980,1,"Long",4.48,NA
"5",2001,"Rangpur","2001-Rangpur","BR10",2001,1980,1,"Long",3.176418605,NA
"6",2001,"Satkhira","2001-Satkhira","BR10",2001,1980,1,"Long",6.885813953,NA
"7",2001,"Sonagazi","2001-Sonagazi","BR10",2001,1980,1,"Long",4.238372093,NA
"8",2002,"Barisal","2002-Barisal","BR10",2002,1980,1,"Long",4.3,NA
"9",2002,"Comilla","2002-Comilla","BR10",2002,1980,1,"Long",4.15,NA
"10",2002,"Gazipur","2002-Gazipur","BR10",2002,1980,1,"Long",3.292140698,NA
"11",2002,"Rajshahi","2002-Rajshahi","BR10",2002,1980,1,"Long",4.779,NA
"12",2002,"Rangpur","2002-Rangpur","BR10",2002,1980,1,"Long",2.62,NA
"13",2002,"Satkhira","2002-Satkhira","BR10",2002,1980,1,"Long",6.353023256,NA
"14",2002,"Sonagazi","2002-Sonagazi","BR10",2002,1980,1,"Long",4.537372093,NA
"15",2003,"Barisal","2003-Barisal","BR10",2003,1980,1,"Long",3.999767442,NA
"16",2003,"Comilla","2003-Comilla","BR10",2003,1980,1,"Long",2.303630233,NA
"17",2003,"Gazipur","2003-Gazipur","BR10",2003,1980,1,"Long",2.603372093,NA
"18",2003,"Rajshahi","2003-Rajshahi","BR10",2003,1980,1,"Long",4.6295,NA
"19",2003,"Rangpur","2003-Rangpur","BR10",2003,1980,1,"Long",3.732837209,NA
"20",2003,"Satkhira","2003-Satkhira","BR10",2003,1980,1,"Long",7.418604651,NA
"21",2003,"Sonagazi","2003-Sonagazi","BR10",2003,1980,1,"Long",3.79,NA
"22",2004,"Barisal","2004-Barisal","BR10",2004,1980,1,"Long",4.344192366,NA
"23",2004,"Comilla","2004-Comilla","BR10",2004,1980,1,"Long",2.565302326,NA
"24",2004,"Gazipur","2004-Gazipur","BR10",2004,1980,1,"Long",4.109534884,NA
"25",2004,"Rajshahi","2004-Rajshahi","BR10",2004,1980,1,"Long",4.620511628,NA
"26",2004,"Rangpur","2004-Rangpur","BR10",2004,1980,1,"Long",3.38,NA
"27",2004,"Satkhira","2004-Satkhira","BR10",2004,1980,1,"Long",6.303255814,NA
"28",2004,"Sonagazi","2004-Sonagazi","BR10",2004,1980,1,"Long",2.667019027,NA
"29",2004,"Kustia","2004-Kustia","BR10",2004,1980,1,"Long",3.201337209,NA
"30",2005,"Barisal","2005-Barisal","BR10",2005,1980,1,"Long",5.48,NA
"31",2005,"Comilla","2005-Comilla","BR10",2005,1980,1,"Long",3.995348837,NA
"32",2005,"Gazipur","2005-Gazipur","BR10",2005,1980,1,"Long",3.913604651,NA
"33",2005,"Rajshahi","2005-Rajshahi","BR10",2005,1980,1,"Long",6.212790698,NA
"34",2005,"Rangpur","2005-Rangpur","BR10",2005,1980,1,"Long",2.451677469,NA
"35",2005,"Satkhira","2005-Satkhira","BR10",2005,1980,1,"Long",6.426046512,NA
"36",2005,"Sonagazi","2005-Sonagazi","BR10",2005,1980,1,"Long",2.94,NA
"37",2005,"Kustia","2005-Kustia","BR10",2005,1980,1,"Long",5.198581395,NA
"38",2006,"Barisal","2006-Barisal","BR10",2006,1980,1,"Long",3.976,NA
"39",2006,"Comilla","2006-Comilla","BR10",2006,1980,1,"Long",1.06,NA
"40",2006,"Gazipur","2006-Gazipur","BR10",2006,1980,1,"Long",5,NA
"41",2006,"Rajshahi","2006-Rajshahi","BR10",2006,1980,1,"Long",5.3,NA
"42",2006,"Rangpur","2006-Rangpur","BR10",2006,1980,1,"Long",5.15,NA
"43",2006,"Satkhira","2006-Satkhira","BR10",2006,1980,1,"Long",5.55,NA
"44",2006,"Sonagazi","2006-Sonagazi","BR10",2006,1980,1,"Long",4.93,NA
"45",2006,"Kustia","2006-Kustia","BR10",2006,1980,1,"Long",6.35,NA
"46",2007,"Barisal","2007-Barisal","BR10",2007,1980,1,"Long",4.0335,NA
"47",2007,"Comilla","2007-Comilla","BR10",2007,1980,1,"Long",3.32,NA
"48",2007,"Gazipur","2007-Gazipur","BR10",2007,1980,1,"Long",4.41,NA
"49",2007,"Rajshahi","2007-Rajshahi","BR10",2007,1980,1,"Long",5.6,NA
"50",2007,"Rangpur","2007-Rangpur","BR10",2007,1980,1,"Long",3.3,NA
"51",2007,"Satkhira","2007-Satkhira","BR10",2007,1980,1,"Long",4,NA
"52",2007,"Sonagazi","2007-Sonagazi","BR10",2007,1980,1,"Long",3.7,NA
"53",2007,"Kustia","2007-Kustia","BR10",2007,1980,1,"Long",5.05,NA
"54",2008,"Barisal","2008-Barisal","BR10",2008,1980,1,"Long",3.36675,NA
"55",2008,"Comilla","2008-Comilla","BR10",2008,1980,1,"Long",2.175,NA
"56",2008,"Gazipur","2008-Gazipur","BR10",2008,1980,1,"Long",5,NA
"57",2008,"Rajshahi","2008-Rajshahi","BR10",2008,1980,1,"Long",4.25,NA
"58",2008,"Rangpur","2008-Rangpur","BR10",2008,1980,1,"Long",4.75,NA
"59",2008,"Satkhira","2008-Satkhira","BR10",2008,1980,1,"Long",4.775,NA
"60",2008,"Sonagazi","2008-Sonagazi","BR10",2008,1980,1,"Long",1.7,NA
"61",2008,"Kustia","2008-Kustia","BR10",2008,1980,1,"Long",5.125,NA
"62",2009,"Barisal","2009-Barisal","BR10",2009,1980,1,"Long",2.7,NA
"63",2009,"Comilla","2009-Comilla","BR10",2009,1980,1,"Long",3.4625,NA
"64",2009,"Gazipur","2009-Gazipur","BR10",2009,1980,1,"Long",4,NA
"65",2009,"Rajshahi","2009-Rajshahi","BR10",2009,1980,1,"Long",4.925,NA
"66",2009,"Rangpur","2009-Rangpur","BR10",2009,1980,1,"Long",5,NA
"67",2009,"Satkhira","2009-Satkhira","BR10",2009,1980,1,"Long",4.3875,NA
"68",2009,"Sonagazi","2009-Sonagazi","BR10",2009,1980,1,"Long",1.7,NA
"69",2009,"Kustia","2009-Kustia","BR10",2009,1980,1,"Long",5.2,NA
"70",2010,"Barisal","2010-Barisal","BR10",2010,1980,1,"Long",3.27,NA
"71",2010,"Comilla","2010-Comilla","BR10",2010,1980,1,"Long",4.75,NA
"72",2010,"Gazipur","2010-Gazipur","BR10",2010,1980,1,"Long",4.9,NA
"73",2010,"Rajshahi","2010-Rajshahi","BR10",2010,1980,1,"Long",6.3125,NA
"74",2010,"Rangpur","2010-Rangpur","BR10",2010,1980,1,"Long",5.2,NA
"75",2010,"Satkhira","2010-Satkhira","BR10",2010,1980,1,"Long",4.58125,NA
"76",2010,"Sonagazi","2010-Sonagazi","BR10",2010,1980,1,"Long",4.65,NA
"77",2010,"Kustia","2010-Kustia","BR10",2010,1980,1,"Long",6,NA
"78",2011,"Barisal","2011-Barisal","BR10",2011,1980,1,"Long",3.84,NA
"79",2011,"Comilla","2011-Comilla","BR10",2011,1980,1,"Long",1.5,NA
"80",2011,"Gazipur","2011-Gazipur","BR10",2011,1980,1,"Long",5,NA
"81",2011,"Rajshahi","2011-Rajshahi","BR10",2011,1980,1,"Long",7.7,NA
"82",2011,"Rangpur","2011-Rangpur","BR10",2011,1980,1,"Long",3.1,NA
"83",2011,"Satkhira","2011-Satkhira","BR10",2011,1980,1,"Long",4.484375,NA
"84",2011,"Sonagazi","2011-Sonagazi","BR10",2011,1980,1,"Long",5.8,NA
"85",2011,"Kustia","2011-Kustia","BR10",2011,1980,1,"Long",4.66,NA
"86",2012,"Kustia","2012-Kustia","BR10",2012,1980,1,"Long",5.5,NA
"87",2012,"Sonagazi","2012-Sonagazi","BR10",2012,1980,1,"Long",4.95,NA
"88",2012,"Comilla","2012-Comilla","BR10",2012,1980,1,"Long",5.4,NA
"89",2012,"Gazipur","2012-Gazipur","BR10",2012,1980,1,"Long",4.45,NA
"90",2012,"Rajshahi","2012-Rajshahi","BR10",2012,1980,1,"Long",4.82,NA
"91",2012,"Rangpur","2012-Rangpur","BR10",2012,1980,1,"Long",2.5,NA
"92",2012,"Satkhira","2012-Satkhira","BR10",2012,1980,1,"Long",3.005,NA
"93",2012,"Barisal","2012-Barisal","BR10",2012,1980,1,"Long",3.51,NA
"94",2013,"Kustia","2013-Kustia","BR10",2013,1980,1,"Long",5.7,NA
"95",2013,"Sonagazi","2013-Sonagazi","BR10",2013,1980,1,"Long",4.75,NA
"96",2013,"Comilla","2013-Comilla","BR10",2013,1980,1,"Long",5.055,NA
"97",2013,"Gazipur","2013-Gazipur","BR10",2013,1980,1,"Long",7,NA
"98",2013,"Rajshahi","2013-Rajshahi","BR10",2013,1980,1,"Long",5.17,NA
"99",2013,"Rangpur","2013-Rangpur","BR10",2013,1980,1,"Long",3.5,NA
"100",2013,"Barisal","2013-Barisal","BR10",2013,1980,1,"Long",5.57,NA
"101",2014,"Kustia","2014-Kustia","BR10",2014,1980,1,"Long",4.83,NA
"102",2014,"Sonagazi","2014-Sonagazi","BR10",2014,1980,1,"Long",3.23,NA
"103",2014,"Comilla","2014-Comilla","BR10",2014,1980,1,"Long",4.71,NA
"104",2014,"Gazipur","2014-Gazipur","BR10",2014,1980,1,"Long",7,NA
"105",2014,"Rajshahi","2014-Rajshahi","BR10",2014,1980,1,"Long",6.822627907,NA
"106",2014,"Rangpur","2014-Rangpur","BR10",2014,1980,1,"Long",5.6,NA
"107",2014,"Satkhira","2014-Satkhira","BR10",2014,1980,1,"Long",5.23,NA
"108",2014,"Bhanga","2014-Bhanga","BR10",2014,1980,1,"Long",3.75,NA
"117",2001,"Barisal","2001-Barisal","BR10",2001,1980,2,"Long",3.75,NA
"118",2001,"Comilla","2001-Comilla","BR10",2001,1980,2,"Long",4.543255814,NA
"119",2001,"Gazipur","2001-Gazipur","BR10",2001,1980,2,"Long",3.994883721,NA
"120",2001,"Rajshahi","2001-Rajshahi","BR10",2001,1980,2,"Long",3.77,NA
"121",2001,"Rangpur","2001-Rangpur","BR10",2001,1980,2,"Long",3.660377907,NA
"122",2001,"Satkhira","2001-Satkhira","BR10",2001,1980,2,"Long",6.920813953,NA
"123",2001,"Sonagazi","2001-Sonagazi","BR10",2001,1980,2,"Long",3.994883721,NA
"124",2002,"Barisal","2002-Barisal","BR10",2002,1980,2,"Long",4.7,NA
"125",2002,"Comilla","2002-Comilla","BR10",2002,1980,2,"Long",6.05,NA
"126",2002,"Gazipur","2002-Gazipur","BR10",2002,1980,2,"Long",4.017385465,NA
"127",2002,"Rajshahi","2002-Rajshahi","BR10",2002,1980,2,"Long",4.069,NA
"128",2002,"Rangpur","2002-Rangpur","BR10",2002,1980,2,"Long",3.52,NA
"129",2002,"Satkhira","2002-Satkhira","BR10",2002,1980,2,"Long",6.494651163,NA
"130",2002,"Sonagazi","2002-Sonagazi","BR10",2002,1980,2,"Long",4.293883721,NA
"131",2003,"Barisal","2003-Barisal","BR10",2003,1980,2,"Long",4.52244186,NA
"132",2003,"Comilla","2003-Comilla","BR10",2003,1980,2,"Long",2.810244186,NA
"133",2003,"Gazipur","2003-Gazipur","BR10",2003,1980,2,"Long",2.258232558,NA
"134",2003,"Rajshahi","2003-Rajshahi","BR10",2003,1980,2,"Long",3.9195,NA
"135",2003,"Rangpur","2003-Rangpur","BR10",2003,1980,2,"Long",3.800755814,NA
"136",2003,"Satkhira","2003-Satkhira","BR10",2003,1980,2,"Long",7.346976744,NA
"137",2003,"Sonagazi","2003-Sonagazi","BR10",2003,1980,2,"Long",3.15,NA
"138",2004,"Barisal","2004-Barisal","BR10",2004,1980,2,"Long",3.811678463,NA
"139",2004,"Comilla","2004-Comilla","BR10",2004,1980,2,"Long",2.277331395,NA
"140",2004,"Gazipur","2004-Gazipur","BR10",2004,1980,2,"Long",4.632093023,NA
"141",2004,"Rajshahi","2004-Rajshahi","BR10",2004,1980,2,"Long",4.023069767,NA
"142",2004,"Rangpur","2004-Rangpur","BR10",2004,1980,2,"Long",3.6,NA
"143",2004,"Satkhira","2004-Satkhira","BR10",2004,1980,2,"Long",6.190697674,NA
"144",2004,"Sonagazi","2004-Sonagazi","BR10",2004,1980,2,"Long",2.778012685,NA
"145",2004,"Kustia","2004-Kustia","BR10",2004,1980,2,"Long",3.367601163,NA
"146",2005,"Barisal","2005-Barisal","BR10",2005,1980,2,"Long",5.14,NA
"147",2005,"Comilla","2005-Comilla","BR10",2005,1980,2,"Long",3.682790698,NA
"148",2005,"Gazipur","2005-Gazipur","BR10",2005,1980,2,"Long",3.75872093,NA
"149",2005,"Rajshahi","2005-Rajshahi","BR10",2005,1980,2,"Long",6.560465116,NA
"150",2005,"Rangpur","2005-Rangpur","BR10",2005,1980,2,"Long",1.60065407,NA
"151",2005,"Satkhira","2005-Satkhira","BR10",2005,1980,2,"Long",6.497674419,NA
"152",2005,"Sonagazi","2005-Sonagazi","BR10",2005,1980,2,"Long",3.2,NA
"153",2005,"Kustia","2005-Kustia","BR10",2005,1980,2,"Long",5.043953488,NA
"154",2006,"Barisal","2006-Barisal","BR10",2006,1980,2,"Long",4.55,NA
"155",2006,"Comilla","2006-Comilla","BR10",2006,1980,2,"Long",1.15,NA
"156",2006,"Gazipur","2006-Gazipur","BR10",2006,1980,2,"Long",5.1,NA
"157",2006,"Rajshahi","2006-Rajshahi","BR10",2006,1980,2,"Long",5.1,NA
"158",2006,"Rangpur","2006-Rangpur","BR10",2006,1980,2,"Long",4.6,NA
"159",2006,"Satkhira","2006-Satkhira","BR10",2006,1980,2,"Long",5.8,NA
"160",2006,"Sonagazi","2006-Sonagazi","BR10",2006,1980,2,"Long",5.17,NA
"161",2006,"Kustia","2006-Kustia","BR10",2006,1980,2,"Long",6.1,NA
"162",2007,"Barisal","2007-Barisal","BR10",2007,1980,2,"Long",3.636,NA
"163",2007,"Comilla","2007-Comilla","BR10",2007,1980,2,"Long",3.18,NA
"164",2007,"Gazipur","2007-Gazipur","BR10",2007,1980,2,"Long",4.15,NA
"165",2007,"Rajshahi","2007-Rajshahi","BR10",2007,1980,2,"Long",5.2,NA
"166",2007,"Rangpur","2007-Rangpur","BR10",2007,1980,2,"Long",2.4,NA
"167",2007,"Satkhira","2007-Satkhira","BR10",2007,1980,2,"Long",3.75,NA
"168",2007,"Sonagazi","2007-Sonagazi","BR10",2007,1980,2,"Long",3.48,NA
"169",2007,"Kustia","2007-Kustia","BR10",2007,1980,2,"Long",4.65,NA
"170",2008,"Barisal","2008-Barisal","BR10",2008,1980,2,"Long",3.443,NA
"171",2008,"Comilla","2008-Comilla","BR10",2008,1980,2,"Long",2.075,NA
"172",2008,"Gazipur","2008-Gazipur","BR10",2008,1980,2,"Long",5.1,NA
"173",2008,"Rajshahi","2008-Rajshahi","BR10",2008,1980,2,"Long",3.81,NA
"174",2008,"Rangpur","2008-Rangpur","BR10",2008,1980,2,"Long",4.3,NA
"175",2008,"Satkhira","2008-Satkhira","BR10",2008,1980,2,"Long",4.775,NA
"176",2008,"Sonagazi","2008-Sonagazi","BR10",2008,1980,2,"Long",1.5,NA
"177",2008,"Kustia","2008-Kustia","BR10",2008,1980,2,"Long",5.025,NA
"178",2009,"Barisal","2009-Barisal","BR10",2009,1980,2,"Long",3.25,NA
