"","Y","L","Env","G","tj","ri","Rep","Group","Yield","GD"
"1","2001-02","Barisal","2001-2002-Barisal","BR1",2001,1970,1,"Short",6.12,NA
"2","2001-02","Bhanga","2001-2002-Bhanga","BR1",2001,1970,1,"Short",5.8,NA
"3","2001-02","Comilla","2001-2002-Comilla","BR1",2001,1970,1,"Short",6.87,NA
"4","2001-02","Habiganj","2001-2002-Habiganj","BR1",2001,1970,1,"Short",5.67,NA
"5","2001-02","Rajshahi","2001-2002-Rajshahi","BR1",2001,1970,1,"Short",6.1,NA
"6","2001-02","Rangpur","2001-2002-Rangpur","BR1",2001,1970,1,"Short",5.17,NA
"7","2001-02","Satkhira","2001-2002-Satkhira","BR1",2001,1970,1,"Short",5.27,NA
"8","2002-03","Barisal","2002-2003-Barisal","BR1",2002,1970,1,"Short",4.28,NA
"9","2002-03","Bhanga","2002-2003-Bhanga","BR1",2002,1970,1,"Short",5.56,NA
"10","2002-03","Comilla","2002-2003-Comilla","BR1",2002,1970,1,"Short",4.74,NA
"11","2002-03","Gazipur","2002-2003-Gazipur","BR1",2002,1970,1,"Short",4.57,NA
"12","2002-03","Habiganj","2002-2003-Habiganj","BR1",2002,1970,1,"Short",4.93,NA
"13","2002-03","Rajshahi","2002-2003-Rajshahi","BR1",2002,1970,1,"Short",3.7,NA
"14","2002-03","Rangpur","2002-2003-Rangpur","BR1",2002,1970,1,"Short",3.33,NA
"15","2002-03","Satkhira","2002-2003-Satkhira","BR1",2002,1970,1,"Short",4.55,NA
"16","2003-04","Barisal","2003-2004-Barisal","BR1",2003,1970,1,"Short",4.69,NA
"17","2003-04","Bhanga","2003-2004-Bhanga","BR1",2003,1970,1,"Short",2.79,NA
"18","2003-04","Comilla","2003-2004-Comilla","BR1",2003,1970,1,"Short",4.02,NA
"19","2003-04","Gazipur","2003-2004-Gazipur","BR1",2003,1970,1,"Short",2.73,NA
"20","2003-04","Habiganj","2003-2004-Habiganj","BR1",2003,1970,1,"Short",3.51,NA
"21","2003-04","Rajshahi","2003-2004-Rajshahi","BR1",2003,1970,1,"Short",1.53,NA
"22","2003-04","Rangpur","2003-2004-Rangpur","BR1",2003,1970,1,"Short",4.45,NA
"23","2003-04","Satkhira","2003-2004-Satkhira","BR1",2003,1970,1,"Short",5.4,NA
"24","2004-05","Barisal","2004-2005-Barisal","BR1",2004,1970,1,"Short",5.69,NA
