"","CovParm","LCL","estimate","UCL","std.error","is_Shuk"
"1","BR10",0.2473,0.357,0.4668,0.056,TRUE
"2","BR11",0.2655,0.3831,0.5008,0.06,TRUE
"3","BR22",0.1968,0.2879,0.379,0.0465,TRUE
"4","BR23",0.1525,0.2311,0.3097,0.0401,TRUE
"5","BR25",0.1891,0.28,0.371,0.0464,TRUE
"6","BR3",0.2542,0.3671,0.48,0.0576,TRUE
"7","BR4",0.129,0.1993,0.2696,0.0359,TRUE
"8","BR5",0.2081,0.3049,0.4018,0.0494,TRUE
"9","BRRI dhan30",0.1389,0.2099,0.281,0.0362,TRUE
"10","BRRI dhan31",0.1515,0.2305,0.3095,0.0403,TRUE
"11","BRRI dhan32",0.2258,0.3292,0.4326,0.0528,TRUE
"12","BRRI dhan33",0.3094,0.4435,0.5775,0.0684,TRUE
"13","BRRI dhan34",0.146,0.2235,0.301,0.0395,TRUE
"14","BRRI dhan37",0.127,0.1987,0.2705,0.0366,TRUE
"15","BRRI dhan38",0.0795,0.1326,0.1857,0.0271,TRUE
"16","BRRI dhan39",0.3461,0.4902,0.6343,0.0735,TRUE
"17","BRRI dhan40",0.1515,0.2359,0.3202,0.043,TRUE
"18","BRRI dhan41",0.2371,0.3512,0.4653,0.0582,TRUE
"19","BRRI dhan44",0.0924,0.166,0.2395,0.0375,TRUE
"20","BRRI dhan46",0.1716,0.2876,0.4036,0.0592,TRUE
"21","BRRI dhan49",0.0494,0.1223,0.1953,0.0372,TRUE
"22","BRRI dhan51",0.0775,0.2,0.3224,0.0625,TRUE
"23","BRRI dhan52",0.0346,0.1187,0.2028,0.0429,TRUE
"24","BRRI dhan53",0.1189,0.2819,0.4449,0.0832,TRUE
"25","BRRI dhan54",0.2656,0.5427,0.8197,0.1413,TRUE
"26","BRRI dhan56",0.1708,0.3781,0.5855,0.1058,TRUE
"27","BRRI dhan57",0.3339,0.6675,1.0011,0.1702,TRUE
"28","BRRI dhan62",0.3541,0.9236,1.4931,0.2906,TRUE
"29","BRRI dhan66",0.0536,0.3537,0.6538,0.1531,TRUE
"30","BRRI dhan70",-0.0184,0.2664,0.5513,0.1453,TRUE
"31","BRRI dhan71",-0.0192,0.3357,0.6906,0.1811,TRUE
"32","BRRI dhan72",-0.0201,0.2668,0.5537,0.1464,TRUE
"33","BRRI dhan73",0.0642,0.5874,1.1106,0.267,TRUE
"34","BRRI dhan75",0.077,0.6035,1.1299,0.2686,TRUE
"35","BRRI dhan76",-0.0497,0.1827,0.4152,0.1186,TRUE
"36","BRRI dhan77",0.0048,0.3591,0.7135,0.1808,TRUE
