"","Y","L","Env","tj","ri","Group","G","adjmean","se","ErrVar","w"
"1","2001","Barisal","2001-Barisal",2001,1980,"Long","BR10",3.87333333333334,0.130270249273227,0.0169703378457087,58.9263460216186
"325","2001","Barisal","2001-Barisal",2001,1980,"Medium","BR11",3.74333333333333,0.130270249273227,0.0169703378457087,58.9263460216186
"649","2001","Barisal","2001-Barisal",2001,1988,"Long","BR22",4.23666666666667,0.130270249273227,0.0169703378457087,58.9263460216186
"973","2001","Barisal","2001-Barisal",2001,1988,"Long","BR23",4.71,0.130270249273227,0.0169703378457087,58.9263460216186
"1297","2001","Barisal","2001-Barisal",2001,1992,"Medium","BR25",4.08666666666667,0.130270249273227,0.0169703378457087,58.9263460216186
"1621","2001","Barisal","2001-Barisal",2001,1973,"Medium","BR3",2.18666666666667,0.130270249273227,0.0169703378457087,58.9263460216186
"1945","2001","Barisal","2001-Barisal",2001,1975,"Medium","BR4",3.511472077,0.130270249273227,0.0169703378457087,58.9263460216186
"2269","2001","Barisal","2001-Barisal",2001,1976,"Aromatic","BR5",2.47666666666667,0.130270249273227,0.0169703378457087,58.9263460216186
"2593","2001","Barisal","2001-Barisal",2001,1994,"Medium","BRRI dhan30",4.00333333333333,0.130270249273227,0.0169703378457087,58.9263460216186
"2917","2001","Barisal","2001-Barisal",2001,1994,"Medium","BRRI dhan31",3.33,0.130270249273227,0.0169703378457087,58.9263460216186
"3241","2001","Barisal","2001-Barisal",2001,1994,"Medium","BRRI dhan32",4.2,0.130270249273227,0.0169703378457087,58.9263460216186
"3565","2001","Barisal","2001-Barisal",2001,1997,"Short","BRRI dhan33",2.72,0.130270249273227,0.0169703378457087,58.9263460216186
"3888","2001","Barisal","2001-Barisal",2001,1997,"Aromatic","BRRI dhan34",2.22666666666667,0.130270249273227,0.0169703378457087,58.9263460216186
"4212","2001","Barisal","2001-Barisal",2001,1998,"Aromatic","BRRI dhan37",2.35,0.130270249273227,0.0169703378457087,58.9263460216186
"4536","2001","Barisal","2001-Barisal",2001,1998,"Aromatic","BRRI dhan38",2.62333333333333,0.130270249273227,0.0169703378457087,58.9263460216186
"4860","2001","Barisal","2001-Barisal",2001,1999,"Short","BRRI dhan39",2.83,0.130270249273227,0.0169703378457087,58.9263460216186
"2","2001","Comilla","2001-Comilla",2001,1980,"Long","BR10",4.92455426366669,0.236678426367284,0.056016677507694,17.851826357653
"326","2001","Comilla","2001-Comilla",2001,1980,"Medium","BR11",4.65246124,0.236678426367285,0.0560166775076941,17.851826357653
"650","2001","Comilla","2001-Comilla",2001,1988,"Long","BR22",5.240736434,0.236678426367285,0.0560166775076941,17.851826357653
"974","2001","Comilla","2001-Comilla",2001,1988,"Long","BR23",5.042248062,0.236678426367284,0.0560166775076941,17.851826357653
"1298","2001","Comilla","2001-Comilla",2001,1992,"Medium","BR25",3.91641472866667,0.236678426367284,0.0560166775076941,17.851826357653
"1622","2001","Comilla","2001-Comilla",2001,1973,"Medium","BR3",2.90748062033333,0.236678426367284,0.0560166775076941,17.851826357653
"1946","2001","Comilla","2001-Comilla",2001,1975,"Medium","BR4",3.496296538,0.236678426367284,0.0560166775076941,17.851826357653
"2270","2001","Comilla","2001-Comilla",2001,1976,"Aromatic","BR5",2.88856589133333,0.236678426367284,0.0560166775076941,17.851826357653
"2594","2001","Comilla","2001-Comilla",2001,1994,"Medium","BRRI dhan30",4.86899224833333,0.236678426367284,0.0560166775076941,17.851826357653
"2918","2001","Comilla","2001-Comilla",2001,1994,"Medium","BRRI dhan31",4.64131782933333,0.236678426367284,0.0560166775076941,17.851826357653
"3242","2001","Comilla","2001-Comilla",2001,1994,"Medium","BRRI dhan32",4.568081395,0.236678426367284,0.0560166775076941,17.851826357653
"3566","2001","Comilla","2001-Comilla",2001,1997,"Short","BRRI dhan33",2.86531007766667,0.236678426367284,0.0560166775076941,17.851826357653
"3889","2001","Comilla","2001-Comilla",2001,1997,"Aromatic","BRRI dhan34",2.664224806,0.236678426367284,0.0560166775076941,17.851826357653
"4213","2001","Comilla","2001-Comilla",2001,1998,"Aromatic","BRRI dhan37",3.14418604633333,0.236678426367284,0.0560166775076941,17.851826357653
"4537","2001","Comilla","2001-Comilla",2001,1998,"Aromatic","BRRI dhan38",2.94374031033333,0.236678426367284,0.0560166775076941,17.851826357653
"4861","2001","Comilla","2001-Comilla",2001,1999,"Short","BRRI dhan39",3.941375969,0.236678426367284,0.0560166775076941,17.851826357653
"3","2001","Gazipur","2001-Gazipur",2001,1980,"Long","BR10",3.97496124033332,0.179855289614039,0.0323479252021499,30.913883773094
"327","2001","Gazipur","2001-Gazipur",2001,1980,"Medium","BR11",3.53581395366667,0.179855289614039,0.0323479252021499,30.913883773094
"651","2001","Gazipur","2001-Gazipur",2001,1988,"Long","BR22",3.925465116,0.179855289614039,0.0323479252021499,30.913883773094
"975","2001","Gazipur","2001-Gazipur",2001,1988,"Long","BR23",4.418682171,0.179855289614039,0.0323479252021499,30.913883773094
"1299","2001","Gazipur","2001-Gazipur",2001,1992,"Medium","BR25",4.41178294566667,0.179855289614039,0.0323479252021499,30.913883773094
"1623","2001","Gazipur","2001-Gazipur",2001,1973,"Medium","BR3",4.12248062,0.179855289614039,0.0323479252021499,30.913883773094
"1947","2001","Gazipur","2001-Gazipur",2001,1975,"Medium","BR4",3.623079003,0.179855289614039,0.0323479252021499,30.913883773094
"2271","2001","Gazipur","2001-Gazipur",2001,1976,"Aromatic","BR5",3.951744186,0.179855289614039,0.0323479252021499,30.913883773094
"2595","2001","Gazipur","2001-Gazipur",2001,1994,"Medium","BRRI dhan30",4.12341085266667,0.179855289614039,0.0323479252021499,30.913883773094
"2919","2001","Gazipur","2001-Gazipur",2001,1994,"Medium","BRRI dhan31",4.96996124033333,0.179855289614039,0.0323479252021499,30.913883773094
"3243","2001","Gazipur","2001-Gazipur",2001,1994,"Medium","BRRI dhan32",5.480232558,0.179855289614039,0.0323479252021499,30.913883773094
"3567","2001","Gazipur","2001-Gazipur",2001,1997,"Short","BRRI dhan33",2.491860465,0.179855289614039,0.0323479252021499,30.913883773094
"3890","2001","Gazipur","2001-Gazipur",2001,1997,"Aromatic","BRRI dhan34",3.13046511633333,0.179855289614039,0.0323479252021499,30.913883773094
"4214","2001","Gazipur","2001-Gazipur",2001,1998,"Aromatic","BRRI dhan37",2.91728682166667,0.179855289614039,0.0323479252021499,30.913883773094
"4538","2001","Gazipur","2001-Gazipur",2001,1998,"Aromatic","BRRI dhan38",3.34604651166667,0.179855289614039,0.0323479252021499,30.913883773094
"4862","2001","Gazipur","2001-Gazipur",2001,1999,"Short","BRRI dhan39",2.16728682166667,0.179855289614039,0.0323479252021499,30.913883773094
"4","2001","Rajshahi","2001-Rajshahi",2001,1980,"Long","BR10",4.06333333333334,0.198814026698744,0.0395270172121688,25.299151581115
"328","2001","Rajshahi","2001-Rajshahi",2001,1980,"Medium","BR11",3.76333333333333,0.198814026698744,0.0395270172121688,25.299151581115
"652","2001","Rajshahi","2001-Rajshahi",2001,1988,"Long","BR22",5.35333333333333,0.198814026698744,0.0395270172121688,25.299151581115
"976","2001","Rajshahi","2001-Rajshahi",2001,1988,"Long","BR23",4.30666666666667,0.198814026698744,0.0395270172121688,25.299151581115
"1300","2001","Rajshahi","2001-Rajshahi",2001,1992,"Medium","BR25",3.83666666666667,0.198814026698744,0.0395270172121688,25.299151581115
"1624","2001","Rajshahi","2001-Rajshahi",2001,1973,"Medium","BR3",3.12666666666667,0.198814026698744,0.0395270172121688,25.299151581115
"1948","2001","Rajshahi","2001-Rajshahi",2001,1975,"Medium","BR4",3.086847279,0.198814026698744,0.0395270172121688,25.299151581115
"2272","2001","Rajshahi","2001-Rajshahi",2001,1976,"Aromatic","BR5",2.81,0.198814026698744,0.0395270172121688,25.299151581115
"2596","2001","Rajshahi","2001-Rajshahi",2001,1994,"Medium","BRRI dhan30",4.41666666666667,0.198814026698744,0.0395270172121688,25.299151581115
"2920","2001","Rajshahi","2001-Rajshahi",2001,1994,"Medium","BRRI dhan31",4.6,0.198814026698744,0.0395270172121688,25.299151581115
"3244","2001","Rajshahi","2001-Rajshahi",2001,1994,"Medium","BRRI dhan32",3.86,0.198814026698744,0.0395270172121688,25.299151581115
"3568","2001","Rajshahi","2001-Rajshahi",2001,1997,"Short","BRRI dhan33",4.56666666666667,0.198814026698744,0.0395270172121688,25.299151581115
"3891","2001","Rajshahi","2001-Rajshahi",2001,1997,"Aromatic","BRRI dhan34",1.94666666666667,0.198814026698744,0.0395270172121688,25.299151581115
"4215","2001","Rajshahi","2001-Rajshahi",2001,1998,"Aromatic","BRRI dhan37",4.24666666666667,0.198814026698744,0.0395270172121688,25.299151581115
"4539","2001","Rajshahi","2001-Rajshahi",2001,1998,"Aromatic","BRRI dhan38",3.20333333333333,0.198814026698744,0.0395270172121688,25.299151581115
"4863","2001","Rajshahi","2001-Rajshahi",2001,1999,"Short","BRRI dhan39",4.03,0.198814026698744,0.0395270172121688,25.299151581115
"5","2001","Rangpur","2001-Rangpur",2001,1980,"Long","BR10",3.47756589166666,0.230290459685438,0.0530336958221301,18.8559364852471
"329","2001","Rangpur","2001-Rangpur",2001,1980,"Medium","BR11",4.03469961233333,0.230290459685438,0.0530336958221302,18.8559364852471
"653","2001","Rangpur","2001-Rangpur",2001,1988,"Long","BR22",3.36790697666667,0.230290459685438,0.0530336958221302,18.8559364852471
"977","2001","Rangpur","2001-Rangpur",2001,1988,"Long","BR23",2.956385659,0.230290459685438,0.0530336958221302,18.8559364852471
"1301","2001","Rangpur","2001-Rangpur",2001,1992,"Medium","BR25",3.35117248066667,0.230290459685438,0.0530336958221302,18.8559364852471
"1625","2001","Rangpur","2001-Rangpur",2001,1973,"Medium","BR3",3.66431201533333,0.230290459685438,0.0530336958221302,18.8559364852471
"1949","2001","Rangpur","2001-Rangpur",2001,1975,"Medium","BR4",3.717732558,0.230290459685438,0.0530336958221302,18.8559364852471
"2273","2001","Rangpur","2001-Rangpur",2001,1976,"Aromatic","BR5",2.67129844966667,0.230290459685438,0.0530336958221302,18.8559364852471
"2597","2001","Rangpur","2001-Rangpur",2001,1994,"Medium","BRRI dhan30",3.66189922466667,0.230290459685438,0.0530336958221302,18.8559364852471
"2921","2001","Rangpur","2001-Rangpur",2001,1994,"Medium","BRRI dhan31",4.10300387566667,0.230290459685438,0.0530336958221302,18.8559364852471
"3245","2001","Rangpur","2001-Rangpur",2001,1994,"Medium","BRRI dhan32",4.393032946,0.230290459685438,0.0530336958221302,18.8559364852471
"3569","2001","Rangpur","2001-Rangpur",2001,1997,"Short","BRRI dhan33",3.867887597,0.230290459685438,0.0530336958221302,18.8559364852471
"3892","2001","Rangpur","2001-Rangpur",2001,1997,"Aromatic","BRRI dhan34",2.86308139533333,0.230290459685438,0.0530336958221302,18.8559364852471
"4216","2001","Rangpur","2001-Rangpur",2001,1998,"Aromatic","BRRI dhan37",3.00702519366667,0.230290459685438,0.0530336958221302,18.8559364852471
"4540","2001","Rangpur","2001-Rangpur",2001,1998,"Aromatic","BRRI dhan38",2.95420542666667,0.230290459685438,0.0530336958221302,18.8559364852471
