"","CovParm","LCL","estimate","UCL","std.error","is_Shuk"
"1","BR1",0.1762,0.2527,0.3291,0.039,TRUE
"2","BR12",0.1471,0.2134,0.2797,0.0338,TRUE
"3","BR14",0.1162,0.1734,0.2305,0.0291,TRUE
"4","BR15",0.2217,0.3101,0.3985,0.0451,TRUE
"5","BR16",0.2212,0.3124,0.4036,0.0465,TRUE
"6","BR17",0.3536,0.4883,0.6231,0.0688,TRUE
"7","BR18",0.1582,0.2271,0.2959,0.0351,TRUE
"8","BR19",0.2244,0.3132,0.4021,0.0453,TRUE
"9","BR2",0.1976,0.2809,0.3642,0.0425,TRUE
"10","BR26",0.0053,0.1761,0.3469,0.0872,TRUE
"11","BR3",0.1619,0.2335,0.3051,0.0365,TRUE
"12","BR6",0.2477,0.3458,0.4438,0.05,TRUE
"13","BR7",0.2096,0.2962,0.3828,0.0442,TRUE
"14","BR8",0.3051,0.4218,0.5385,0.0596,TRUE
"15","BR9",0.1283,0.1893,0.2502,0.0311,TRUE
"16","BRRI dhan28",0.1781,0.2536,0.3291,0.0385,TRUE
"17","BRRI dhan29",0.2191,0.3088,0.3985,0.0458,TRUE
"18","BRRI dhan35",0.1638,0.2345,0.3053,0.0361,TRUE
"19","BRRI dhan36",0.2049,0.2887,0.3726,0.0428,TRUE
"20","BRRI dhan45",0.2182,0.3312,0.4441,0.0576,TRUE
"21","BRRI dhan47",0.1798,0.2943,0.4088,0.0584,TRUE
"22","BRRI dhan50",0.0908,0.1702,0.2495,0.0405,TRUE
"23","BRRI dhan55",0.221,0.4219,0.6228,0.1025,TRUE
"24","BRRI dhan58",0.1364,0.2814,0.4265,0.074,TRUE
"25","BRRI dhan59",0.1479,0.3363,0.5246,0.0961,TRUE
"26","BRRI dhan60",0.156,0.3419,0.5277,0.0948,TRUE
"27","BRRI dhan61",0.0284,0.1198,0.2112,0.0466,TRUE
"28","BRRI dhan63",-0.0196,0.0995,0.2186,0.0607,TRUE
"29","BRRI dhan64",0.0411,0.1814,0.3218,0.0716,TRUE
"30","BRRI dhan67",-0.0593,0.0144,0.088,0.0376,TRUE
"31","BRRI dhan68",0.0258,0.2182,0.4106,0.0982,TRUE
"32","BRRI dhan69",0.0423,0.268,0.4938,0.1152,TRUE
"33","BRRI dhan74",0.0172,0.2196,0.4221,0.1033,TRUE
