"","Y","L","Env","tj","ri","Group","G","adjmean","se","ErrVar","w"
"1","2001-02","Barisal","2001-2002-Barisal",2001,1970,"Short","BR1",6.55666666666665,0.247164677153788,0.0610903776325362,16.3691900222828
"382","2001-02","Barisal","2001-2002-Barisal",2001,1983,"Long","BR12",7.55666666666667,0.247164677153788,0.0610903776325364,16.3691900222828
"763","2001-02","Barisal","2001-2002-Barisal",2001,1983,"Long","BR14",6.39,0.247164677153788,0.0610903776325364,16.3691900222828
"1144","2001-02","Barisal","2001-2002-Barisal",2001,1983,"Long","BR15",6.82,0.247164677153788,0.0610903776325364,16.3691900222828
"1525","2001-02","Barisal","2001-2002-Barisal",2001,1983,"Long","BR16",7.07333333333333,0.247164677153788,0.0610903776325364,16.3691900222828
"1906","2001-02","Barisal","2001-2002-Barisal",2001,1985,"Stress","BR17",6.4,0.247164677153788,0.0610903776325364,16.3691900222828
"2287","2001-02","Barisal","2001-2002-Barisal",2001,1985,"Stress","BR18",5.27,0.247164677153788,0.0610903776325364,16.3691900222828
"2668","2001-02","Barisal","2001-2002-Barisal",2001,1985,"Stress","BR19",6.6,0.247164677153788,0.0610903776325364,16.3691900222828
"3049","2001-02","Barisal","2001-2002-Barisal",2001,1971,"Long","BR2",5.90666666666667,0.247164677153788,0.0610903776325364,16.3691900222828
"3430","2001-02","Barisal","2001-2002-Barisal",2001,1973,"Long","BR3",7.95666666666667,0.247164677153788,0.0610903776325364,16.3691900222828
"3811","2001-02","Barisal","2001-2002-Barisal",2001,1977,"Short","BR6",5.82,0.247164677153788,0.0610903776325364,16.3691900222828
"4192","2001-02","Barisal","2001-2002-Barisal",2001,1977,"Long","BR7",5.40333333333333,0.247164677153788,0.0610903776325364,16.3691900222828
"4573","2001-02","Barisal","2001-2002-Barisal",2001,1978,"Long","BR8",5.88666666666667,0.247164677153788,0.0610903776325364,16.3691900222828
"4954","2001-02","Barisal","2001-2002-Barisal",2001,1978,"Long","BR9",7.63333333333333,0.247164677153788,0.0610903776325364,16.3691900222828
"5335","2001-02","Barisal","2001-2002-Barisal",2001,1994,"Short","BRRI dhan28",6.34666666666667,0.247164677153788,0.0610903776325364,16.3691900222828
"5716","2001-02","Barisal","2001-2002-Barisal",2001,1994,"Long","BRRI dhan29",9.52666666666667,0.247164677153788,0.0610903776325364,16.3691900222828
"6097","2001-02","Barisal","2001-2002-Barisal",2001,1998,"Long","BRRI dhan35",7.38666666666667,0.247164677153788,0.0610903776325363,16.3691900222828
"6478","2001-02","Barisal","2001-2002-Barisal",2001,1998,"Stress","BRRI dhan36",6.62,0.247164677153788,0.0610903776325363,16.3691900222828
"2","2001-02","Bhanga","2001-2002-Bhanga",2001,1970,"Short","BR1",5.7,0.285697556310732,0.0816230936819239,12.2514346723599
"383","2001-02","Bhanga","2001-2002-Bhanga",2001,1983,"Long","BR12",6,0.285697556310732,0.0816230936819241,12.2514346723598
"764","2001-02","Bhanga","2001-2002-Bhanga",2001,1983,"Long","BR14",7.1,0.285697556310732,0.0816230936819241,12.2514346723598
"1145","2001-02","Bhanga","2001-2002-Bhanga",2001,1983,"Long","BR15",5.63333333333333,0.285697556310732,0.0816230936819241,12.2514346723598
"1526","2001-02","Bhanga","2001-2002-Bhanga",2001,1983,"Long","BR16",6.23333333333333,0.285697556310732,0.0816230936819241,12.2514346723598
"1907","2001-02","Bhanga","2001-2002-Bhanga",2001,1985,"Stress","BR17",7.43333333333333,0.285697556310732,0.0816230936819241,12.2514346723598
"2288","2001-02","Bhanga","2001-2002-Bhanga",2001,1985,"Stress","BR18",6.93333333333333,0.285697556310732,0.0816230936819241,12.2514346723598
