"Y"	"t.k"	"r.i"	"L"	"Env"	"G"	"Group"	"mean.yield"
"2001"	2001	1970	"Barisal"	"2001-2002-Barisal"	"BR1"	"Short"	6.55666666666667
"2001"	2001	1970	"Bhanga"	"2001-2002-Bhanga"	"BR1"	"Short"	5.7
"2001"	2001	1970	"Comilla"	"2001-2002-Comilla"	"BR1"	"Short"	6.28666666666667
"2001"	2001	1970	"Habiganj"	"2001-2002-Habiganj"	"BR1"	"Short"	5.53
"2001"	2001	1970	"Rajshahi"	"2001-2002-Rajshahi"	"BR1"	"Short"	5.4
"2001"	2001	1970	"Rangpur"	"2001-2002-Rangpur"	"BR1"	"Short"	5.37333333333333
"2001"	2001	1970	"Satkhira"	"2001-2002-Satkhira"	"BR1"	"Short"	5.23666666666667
"2002"	2002	1970	"Barisal"	"2002-2003-Barisal"	"BR1"	"Short"	4.47666666666667
"2002"	2002	1970	"Bhanga"	"2002-2003-Bhanga"	"BR1"	"Short"	5.13
"2002"	2002	1970	"Comilla"	"2002-2003-Comilla"	"BR1"	"Short"	4.73333333333333
"2002"	2002	1970	"Gazipur"	"2002-2003-Gazipur"	"BR1"	"Short"	4.42333333333333
"2002"	2002	1970	"Habiganj"	"2002-2003-Habiganj"	"BR1"	"Short"	5.26666666666667
"2002"	2002	1970	"Rajshahi"	"2002-2003-Rajshahi"	"BR1"	"Short"	3
"2002"	2002	1970	"Rangpur"	"2002-2003-Rangpur"	"BR1"	"Short"	3.33666666666667
"2002"	2002	1970	"Satkhira"	"2002-2003-Satkhira"	"BR1"	"Short"	4.45
"2003"	2003	1970	"Barisal"	"2003-2004-Barisal"	"BR1"	"Short"	4.76333333333333
"2003"	2003	1970	"Bhanga"	"2003-2004-Bhanga"	"BR1"	"Short"	3.43
"2003"	2003	1970	"Comilla"	"2003-2004-Comilla"	"BR1"	"Short"	4.25666666666667
"2003"	2003	1970	"Gazipur"	"2003-2004-Gazipur"	"BR1"	"Short"	2.43333333333333
"2003"	2003	1970	"Habiganj"	"2003-2004-Habiganj"	"BR1"	"Short"	3.88
"2003"	2003	1970	"Rajshahi"	"2003-2004-Rajshahi"	"BR1"	"Short"	1.66333333333333
"2003"	2003	1970	"Rangpur"	"2003-2004-Rangpur"	"BR1"	"Short"	4.26333333333333
"2003"	2003	1970	"Satkhira"	"2003-2004-Satkhira"	"BR1"	"Short"	5.37
"2004"	2004	1970	"Barisal"	"2004-2005-Barisal"	"BR1"	"Short"	5.24
"2004"	2004	1970	"Bhanga"	"2004-2005-Bhanga"	"BR1"	"Short"	6.66666666666667
"2004"	2004	1970	"Comilla"	"2004-2005-Comilla"	"BR1"	"Short"	5.89
"2004"	2004	1970	"Gazipur"	"2004-2005-Gazipur"	"BR1"	"Short"	4.3
"2004"	2004	1970	"Habiganj"	"2004-2005-Habiganj"	"BR1"	"Short"	4.68666666666667
"2004"	2004	1970	"Rajshahi"	"2004-2005-Rajshahi"	"BR1"	"Short"	5.68666666666667
"2004"	2004	1970	"Rangpur"	"2004-2005-Rangpur"	"BR1"	"Short"	5.21333333333333
"2004"	2004	1970	"Satkhira"	"2004-2005-Satkhira"	"BR1"	"Short"	5.43
"2004"	2004	1970	"Kustia"	"2004-2005-Kustia"	"BR1"	"Short"	6
"2005"	2005	1970	"Barisal"	"2005-2006-Barisal"	"BR1"	"Short"	5.64666666666667
"2005"	2005	1970	"Bhanga"	"2005-2006-Bhanga"	"BR1"	"Short"	5.29
"2005"	2005	1970	"Comilla"	"2005-2006-Comilla"	"BR1"	"Short"	6.47666666666667
"2005"	2005	1970	"Gazipur"	"2005-2006-Gazipur"	"BR1"	"Short"	5.68333333333333
"2005"	2005	1970	"Habiganj"	"2005-2006-Habiganj"	"BR1"	"Short"	6.46666666666667
"2005"	2005	1970	"Rajshahi"	"2005-2006-Rajshahi"	"BR1"	"Short"	3.35666666666667
"2005"	2005	1970	"Rangpur"	"2005-2006-Rangpur"	"BR1"	"Short"	2.40666666666667
"2005"	2005	1970	"Satkhira"	"2005-2006-Satkhira"	"BR1"	"Short"	5.72333333333333
"2005"	2005	1970	"Kustia"	"2005-2006-Kustia"	"BR1"	"Short"	7.10333333333333
"2006"	2006	1970	"Barisal"	"2006-2007-Barisal"	"BR1"	"Short"	6.16333333333333
"2006"	2006	1970	"Bhanga"	"2006-2007-Bhanga"	"BR1"	"Short"	6.44333333333333
"2006"	2006	1970	"Comilla"	"2006-2007-Comilla"	"BR1"	"Short"	6.36666666666667
"2006"	2006	1970	"Gazipur"	"2006-2007-Gazipur"	"BR1"	"Short"	5.09666666666667
"2006"	2006	1970	"Habiganj"	"2006-2007-Habiganj"	"BR1"	"Short"	4.19666666666667
"2006"	2006	1970	"Rajshahi"	"2006-2007-Rajshahi"	"BR1"	"Short"	5.06666666666667
"2006"	2006	1970	"Kustia"	"2006-2007-Kustia"	"BR1"	"Short"	8.2
"2006"	2006	1970	"Rangpur"	"2006-2007-Rangpur"	"BR1"	"Short"	5.43
"2006"	2006	1970	"Satkhira"	"2006-2007-Satkhira"	"BR1"	"Short"	5.51666666666667
"2007"	2007	1970	"Barisal"	"2007-2008-Barisal"	"BR1"	"Short"	5.90333333333333
"2007"	2007	1970	"Bhanga"	"2007-2008-Bhanga"	"BR1"	"Short"	5.7
"2007"	2007	1970	"Comilla"	"2007-2008-Comilla"	"BR1"	"Short"	6.40333333333333
"2007"	2007	1970	"Gazipur"	"2007-2008-Gazipur"	"BR1"	"Short"	4.76666666666667
"2007"	2007	1970	"Habiganj"	"2007-2008-Habiganj"	"BR1"	"Short"	4.19666666666667
"2007"	2007	1970	"Rangpur"	"2007-2008-Rangpur"	"BR1"	"Short"	2.46666666666667
"2007"	2007	1970	"Satkhira"	"2007-2008-Satkhira"	"BR1"	"Short"	6.83333333333333
"2007"	2007	1970	"Kustia"	"2007-2008-Kustia"	"BR1"	"Short"	6.67666666666667
