Y	t.k	r.i	L	Env	G2	Group	mean.yield	G
2222	2222	2222	Thisisaverylongstringbitches	Thisisaverylongstringbitches	Thisisaverylongstringbitches	Thisisaverylongstringbitches	5	Thisisaverylongstringbitches
2001	2001	1970	Barisal	2001-2002-Barisal	BR1	Short	6.556666667	BR1
2001	2001	1970	Bhanga	2001-2002-Bhanga	BR1	Short	5.7	BR1
2001	2001	1970	Comilla	2001-2002-Comilla	BR1	Short	6.286666667	BR1
2001	2001	1970	Habiganj	2001-2002-Habiganj	BR1	Short	5.53	BR1
2001	2001	1970	Rajshahi	2001-2002-Rajshahi	BR1	Short	5.4	BR1
2001	2001	1970	Rangpur	2001-2002-Rangpur	BR1	Short	5.373333333	BR1
2001	2001	1970	Satkhira	2001-2002-Satkhira	BR1	Short	5.236666667	BR1
2002	2002	1970	Barisal	2002-2003-Barisal	BR1	Short	4.476666667	BR1
2002	2002	1970	Bhanga	2002-2003-Bhanga	BR1	Short	5.13	BR1
2002	2002	1970	Comilla	2002-2003-Comilla	BR1	Short	4.733333333	BR1
2002	2002	1970	Gazipur	2002-2003-Gazipur	BR1	Short	4.423333333	BR1
2002	2002	1970	Habiganj	2002-2003-Habiganj	BR1	Short	5.266666667	BR1
2002	2002	1970	Rajshahi	2002-2003-Rajshahi	BR1	Short	3	BR1
2002	2002	1970	Rangpur	2002-2003-Rangpur	BR1	Short	3.336666667	BR1
2002	2002	1970	Satkhira	2002-2003-Satkhira	BR1	Short	4.45	BR1
2003	2003	1970	Barisal	2003-2004-Barisal	BR1	Short	4.763333333	BR1
2003	2003	1970	Bhanga	2003-2004-Bhanga	BR1	Short	3.43	BR1
2003	2003	1970	Comilla	2003-2004-Comilla	BR1	Short	4.256666667	BR1
2003	2003	1970	Gazipur	2003-2004-Gazipur	BR1	Short	2.433333333	BR1
2003	2003	1970	Habiganj	2003-2004-Habiganj	BR1	Short	3.88	BR1
2003	2003	1970	Rajshahi	2003-2004-Rajshahi	BR1	Short	1.663333333	BR1
2003	2003	1970	Rangpur	2003-2004-Rangpur	BR1	Short	4.263333333	BR1
2003	2003	1970	Satkhira	2003-2004-Satkhira	BR1	Short	5.37	BR1
2004	2004	1970	Barisal	2004-2005-Barisal	BR1	Short	5.24	BR1
2004	2004	1970	Bhanga	2004-2005-Bhanga	BR1	Short	6.666666667	BR1
2004	2004	1970	Comilla	2004-2005-Comilla	BR1	Short	5.89	BR1
2004	2004	1970	Gazipur	2004-2005-Gazipur	BR1	Short	4.3	BR1
2004	2004	1970	Habiganj	2004-2005-Habiganj	BR1	Short	4.686666667	BR1
2004	2004	1970	Rajshahi	2004-2005-Rajshahi	BR1	Short	5.686666667	BR1
2004	2004	1970	Rangpur	2004-2005-Rangpur	BR1	Short	5.213333333	BR1
2004	2004	1970	Satkhira	2004-2005-Satkhira	BR1	Short	5.43	BR1
2004	2004	1970	Kustia	2004-2005-Kustia	BR1	Short	6	BR1
2005	2005	1970	Barisal	2005-2006-Barisal	BR1	Short	5.646666667	BR1
