"Y"	"t.k"	"r.i"	"L"	"Env"	"G"	"Rep"	"Group"	"Yield"
"2001"	2001	1970	"Barisal"	"2001-2002-Barisal"	"BR1"	"1"	"Short"	6.12
"2001"	2001	1970	"Bhanga"	"2001-2002-Bhanga"	"BR1"	"1"	"Short"	5.8
"2001"	2001	1970	"Comilla"	"2001-2002-Comilla"	"BR1"	"1"	"Short"	6.87
"2001"	2001	1970	"Habiganj"	"2001-2002-Habiganj"	"BR1"	"1"	"Short"	5.67
"2001"	2001	1970	"Rajshahi"	"2001-2002-Rajshahi"	"BR1"	"1"	"Short"	6.1
"2001"	2001	1970	"Rangpur"	"2001-2002-Rangpur"	"BR1"	"1"	"Short"	5.17
"2001"	2001	1970	"Satkhira"	"2001-2002-Satkhira"	"BR1"	"1"	"Short"	5.27
"2002"	2002	1970	"Barisal"	"2002-2003-Barisal"	"BR1"	"1"	"Short"	4.28
"2002"	2002	1970	"Bhanga"	"2002-2003-Bhanga"	"BR1"	"1"	"Short"	5.56
"2002"	2002	1970	"Comilla"	"2002-2003-Comilla"	"BR1"	"1"	"Short"	4.74
"2002"	2002	1970	"Gazipur"	"2002-2003-Gazipur"	"BR1"	"1"	"Short"	4.57
"2002"	2002	1970	"Habiganj"	"2002-2003-Habiganj"	"BR1"	"1"	"Short"	4.93
"2002"	2002	1970	"Rajshahi"	"2002-2003-Rajshahi"	"BR1"	"1"	"Short"	3.7
"2002"	2002	1970	"Rangpur"	"2002-2003-Rangpur"	"BR1"	"1"	"Short"	3.33
"2002"	2002	1970	"Satkhira"	"2002-2003-Satkhira"	"BR1"	"1"	"Short"	4.55
"2003"	2003	1970	"Barisal"	"2003-2004-Barisal"	"BR1"	"1"	"Short"	4.69
"2003"	2003	1970	"Bhanga"	"2003-2004-Bhanga"	"BR1"	"1"	"Short"	2.79
"2003"	2003	1970	"Comilla"	"2003-2004-Comilla"	"BR1"	"1"	"Short"	4.02
"2003"	2003	1970	"Gazipur"	"2003-2004-Gazipur"	"BR1"	"1"	"Short"	2.73
"2003"	2003	1970	"Habiganj"	"2003-2004-Habiganj"	"BR1"	"1"	"Short"	3.51
"2003"	2003	1970	"Rajshahi"	"2003-2004-Rajshahi"	"BR1"	"1"	"Short"	1.53
"2003"	2003	1970	"Rangpur"	"2003-2004-Rangpur"	"BR1"	"1"	"Short"	4.45
"2003"	2003	1970	"Satkhira"	"2003-2004-Satkhira"	"BR1"	"1"	"Short"	5.4
"2004"	2004	1970	"Barisal"	"2004-2005-Barisal"	"BR1"	"1"	"Short"	5.69
"2004"	2004	1970	"Bhanga"	"2004-2005-Bhanga"	"BR1"	"1"	"Short"	6.49
"2004"	2004	1970	"Comilla"	"2004-2005-Comilla"	"BR1"	"1"	"Short"	5.69
"2004"	2004	1970	"Gazipur"	"2004-2005-Gazipur"	"BR1"	"1"	"Short"	4.21
"2004"	2004	1970	"Habiganj"	"2004-2005-Habiganj"	"BR1"	"1"	"Short"	5.03
"2004"	2004	1970	"Rajshahi"	"2004-2005-Rajshahi"	"BR1"	"1"	"Short"	5.72
"2004"	2004	1970	"Rangpur"	"2004-2005-Rangpur"	"BR1"	"1"	"Short"	5.29
"2004"	2004	1970	"Satkhira"	"2004-2005-Satkhira"	"BR1"	"1"	"Short"	5.32
"2004"	2004	1970	"Kustia"	"2004-2005-Kustia"	"BR1"	"1"	"Short"	6.15
"2005"	2005	1970	"Barisal"	"2005-2006-Barisal"	"BR1"	"1"	"Short"	6.18
"2005"	2005	1970	"Bhanga"	"2005-2006-Bhanga"	"BR1"	"1"	"Short"	5.37
"2005"	2005	1970	"Comilla"	"2005-2006-Comilla"	"BR1"	"1"	"Short"	6.73
"2005"	2005	1970	"Gazipur"	"2005-2006-Gazipur"	"BR1"	"1"	"Short"	4.76
"2005"	2005	1970	"Habiganj"	"2005-2006-Habiganj"	"BR1"	"1"	"Short"	6.5
"2005"	2005	1970	"Rajshahi"	"2005-2006-Rajshahi"	"BR1"	"1"	"Short"	3.78
"2005"	2005	1970	"Rangpur"	"2005-2006-Rangpur"	"BR1"	"1"	"Short"	2.2
"2005"	2005	1970	"Satkhira"	"2005-2006-Satkhira"	"BR1"	"1"	"Short"	5.73
"2005"	2005	1970	"Kustia"	"2005-2006-Kustia"	"BR1"	"1"	"Short"	7.18
"2006"	2006	1970	"Barisal"	"2006-2007-Barisal"	"BR1"	"1"	"Short"	6.25
"2006"	2006	1970	"Bhanga"	"2006-2007-Bhanga"	"BR1"	"1"	"Short"	6.43
