SL	Year	Location	Year of release	Rep	Variety	Group	Yield
1	2001	Barisal	1980	1	BR10	Long	3.5
2	2001	Comilla	1980	1	BR10	Long	5.011046512
3	2001	Gazipur	1980	1	BR10	Long	4.280232558
4	2001	Rajshahi	1980	1	BR10	Long	4.48
5	2001	Rangpur	1980	1	BR10	Long	3.176418605
6	2001	Satkhira	1980	1	BR10	Long	6.885813953
7	2001	Sonagazi	1980	1	BR10	Long	4.238372093
8	2002	Barisal	1980	1	BR10	Long	4.3
9	2002	Comilla	1980	1	BR10	Long	4.15
10	2002	Gazipur	1980	1	BR10	Long	3.292140698
11	2002	Rajshahi	1980	1	BR10	Long	4.779
12	2002	Rangpur	1980	1	BR10	Long	2.62
13	2002	Satkhira	1980	1	BR10	Long	6.353023256
14	2002	Sonagazi	1980	1	BR10	Long	4.537372093
15	2003	Barisal	1980	1	BR10	Long	3.999767442
16	2003	Comilla	1980	1	BR10	Long	2.303630233
17	2003	Gazipur	1980	1	BR10	Long	2.603372093
18	2003	Rajshahi	1980	1	BR10	Long	4.6295
19	2003	Rangpur	1980	1	BR10	Long	3.732837209
20	2003	Satkhira	1980	1	BR10	Long	7.418604651
21	2003	Sonagazi	1980	1	BR10	Long	3.79
22	2004	Barisal	1980	1	BR10	Long	4.344192366
23	2004	Comilla	1980	1	BR10	Long	2.565302326
24	2004	Gazipur	1980	1	BR10	Long	4.109534884
25	2004	Rajshahi	1980	1	BR10	Long	4.620511628
26	2004	Rangpur	1980	1	BR10	Long	3.38
27	2004	Satkhira	1980	1	BR10	Long	6.303255814
28	2004	Sonagazi	1980	1	BR10	Long	2.667019027
29	2004	Kustia	1980	1	BR10	Long	3.201337209
30	2005	Barisal	1980	1	BR10	Long	5.48
31	2005	Comilla	1980	1	BR10	Long	3.995348837
32	2005	Gazipur	1980	1	BR10	Long	3.913604651
33	2005	Rajshahi	1980	1	BR10	Long	6.212790698
34	2005	Rangpur	1980	1	BR10	Long	2.451677469
35	2005	Satkhira	1980	1	BR10	Long	6.426046512
36	2005	Sonagazi	1980	1	BR10	Long	2.94
37	2005	Kustia	1980	1	BR10	Long	5.198581395
38	2006	Barisal	1980	1	BR10	Long	3.976
