"Y"	"t.k"	"r.i"	"L"	"Env"	"G"	"Rep"	"Group"	"GG"	"Yield"
"1"	"2001-2002"	2001	1970	"Barisal"	"2001-2002-Barisal"	"BR1"	"1"	"Short"	"Short-BR1"	6.12
"2"	"2001-2002"	2001	1970	"Bhanga"	"2001-2002-Bhanga"	"BR1"	"1"	"Short"	"Short-BR1"	5.8
"3"	"2001-2002"	2001	1970	"Comilla"	"2001-2002-Comilla"	"BR1"	"1"	"Short"	"Short-BR1"	6.87
"4"	"2001-2002"	2001	1970	"Habiganj"	"2001-2002-Habiganj"	"BR1"	"1"	"Short"	"Short-BR1"	5.67
"5"	"2001-2002"	2001	1970	"Rajshahi"	"2001-2002-Rajshahi"	"BR1"	"1"	"Short"	"Short-BR1"	6.1
"6"	"2001-2002"	2001	1970	"Rangpur"	"2001-2002-Rangpur"	"BR1"	"1"	"Short"	"Short-BR1"	5.17
"7"	"2001-2002"	2001	1970	"Satkhira"	"2001-2002-Satkhira"	"BR1"	"1"	"Short"	"Short-BR1"	5.27
"8"	"2002-2003"	2002	1970	"Barisal"	"2002-2003-Barisal"	"BR1"	"1"	"Short"	"Short-BR1"	4.28
"9"	"2002-2003"	2002	1970	"Bhanga"	"2002-2003-Bhanga"	"BR1"	"1"	"Short"	"Short-BR1"	5.56
"10"	"2002-2003"	2002	1970	"Comilla"	"2002-2003-Comilla"	"BR1"	"1"	"Short"	"Short-BR1"	4.74
"11"	"2002-2003"	2002	1970	"Gazipur"	"2002-2003-Gazipur"	"BR1"	"1"	"Short"	"Short-BR1"	4.57
"12"	"2002-2003"	2002	1970	"Habiganj"	"2002-2003-Habiganj"	"BR1"	"1"	"Short"	"Short-BR1"	4.93
"13"	"2002-2003"	2002	1970	"Rajshahi"	"2002-2003-Rajshahi"	"BR1"	"1"	"Short"	"Short-BR1"	3.7
"14"	"2002-2003"	2002	1970	"Rangpur"	"2002-2003-Rangpur"	"BR1"	"1"	"Short"	"Short-BR1"	3.33
"15"	"2002-2003"	2002	1970	"Satkhira"	"2002-2003-Satkhira"	"BR1"	"1"	"Short"	"Short-BR1"	4.55
"16"	"2003-2004"	2003	1970	"Barisal"	"2003-2004-Barisal"	"BR1"	"1"	"Short"	"Short-BR1"	4.69
"17"	"2003-2004"	2003	1970	"Bhanga"	"2003-2004-Bhanga"	"BR1"	"1"	"Short"	"Short-BR1"	2.79
"18"	"2003-2004"	2003	1970	"Comilla"	"2003-2004-Comilla"	"BR1"	"1"	"Short"	"Short-BR1"	4.02
"19"	"2003-2004"	2003	1970	"Gazipur"	"2003-2004-Gazipur"	"BR1"	"1"	"Short"	"Short-BR1"	2.73
"20"	"2003-2004"	2003	1970	"Habiganj"	"2003-2004-Habiganj"	"BR1"	"1"	"Short"	"Short-BR1"	3.51
"21"	"2003-2004"	2003	1970	"Rajshahi"	"2003-2004-Rajshahi"	"BR1"	"1"	"Short"	"Short-BR1"	1.53
"22"	"2003-2004"	2003	1970	"Rangpur"	"2003-2004-Rangpur"	"BR1"	"1"	"Short"	"Short-BR1"	4.45
"23"	"2003-2004"	2003	1970	"Satkhira"	"2003-2004-Satkhira"	"BR1"	"1"	"Short"	"Short-BR1"	5.4
"24"	"2004-2005"	2004	1970	"Barisal"	"2004-2005-Barisal"	"BR1"	"1"	"Short"	"Short-BR1"	5.69
"25"	"2004-2005"	2004	1970	"Bhanga"	"2004-2005-Bhanga"	"BR1"	"1"	"Short"	"Short-BR1"	6.49
"26"	"2004-2005"	2004	1970	"Comilla"	"2004-2005-Comilla"	"BR1"	"1"	"Short"	"Short-BR1"	5.69
"27"	"2004-2005"	2004	1970	"Gazipur"	"2004-2005-Gazipur"	"BR1"	"1"	"Short"	"Short-BR1"	4.21
"28"	"2004-2005"	2004	1970	"Habiganj"	"2004-2005-Habiganj"	"BR1"	"1"	"Short"	"Short-BR1"	5.03
"29"	"2004-2005"	2004	1970	"Rajshahi"	"2004-2005-Rajshahi"	"BR1"	"1"	"Short"	"Short-BR1"	5.72
"30"	"2004-2005"	2004	1970	"Rangpur"	"2004-2005-Rangpur"	"BR1"	"1"	"Short"	"Short-BR1"	5.29
"31"	"2004-2005"	2004	1970	"Satkhira"	"2004-2005-Satkhira"	"BR1"	"1"	"Short"	"Short-BR1"	5.32
