dataset	G	adj. mean yield	s.e. mean yield	stability variance	s.e. stability variance
aman	BR10	4.476	0.208	0.373	0.062
aman	BR11	4.357	0.209	0.41	0.068
aman	BR22	4.287	0.206	0.29	0.049
aman	BR23	4.172	0.204	0.212	0.039
aman	BR25	3.986	0.205	0.248	0.044
aman	BR3	3.622	0.208	0.371	0.061
aman	BR4	4.103	0.203	0.177	0.034
aman	BR5	3.024	0.206	0.275	0.048
aman	BRRI dhan30	4.276	0.204	0.205	0.037
aman	BRRI dhan31	4.184	0.205	0.23	0.042
aman	BRRI dhan32	4.391	0.207	0.318	0.055
aman	BRRI dhan33	3.46	0.209	0.413	0.067
aman	BRRI dhan34	2.958	0.204	0.206	0.039
aman	BRRI dhan37	3.17	0.204	0.187	0.036
aman	BRRI dhan38	3.255	0.202	0.11	0.024
aman	BRRI dhan39	3.829	0.21	0.46	0.074
aman	BRRI dhan40	4.373	0.206	0.213	0.041
aman	BRRI dhan41	4.264	0.209	0.333	0.059
aman	BRRI dhan44	4.468	0.206	0.132	0.034
aman	BRRI dhan46	4.165	0.212	0.241	0.056
aman	BRRI dhan49	4.668	0.213	0.138	0.045
aman	BRRI dhan51	4.406	0.214	0.088	0.039
aman	BRRI dhan52	4.58	0.216	0.116	0.048
aman	BRRI dhan53	4.18	0.231	0.258	0.086
aman	BRRI dhan54	4.442	0.24	0.341	0.122
aman	BRRI dhan56	3.672	0.244	0.407	0.136
aman	BRRI dhan57	2.954	0.265	0.758	0.224
aman	BRRI dhan62	2.89	0.383	1.341	0.58
aman	BRRI dhan66	3.977	0.369	0.466	0.322
boro	BR1	5.289	0.265	0.27	0.043
boro	BR12	5.009	0.264	0.212	0.035
boro	BR14	5.678	0.263	0.176	0.031
boro	BR15	5.572	0.265	0.304	0.047
boro	BR16	5.589	0.265	0.281	0.045
boro	BR17	5.31	0.266	0.354	0.054
boro	BR18	5.079	0.264	0.24	0.039
boro	BR19	5.291	0.265	0.329	0.05
boro	BR2	5.083	0.264	0.259	0.042
boro	BR3	5.538	0.264	0.234	0.038
boro	BR6	5.115	0.266	0.363	0.055
boro	BR7	5.106	0.265	0.283	0.045
boro	BR8	5.281	0.268	0.488	0.071
boro	BR9	5.71	0.263	0.187	0.032
boro	BRRI dhan28	5.658	0.264	0.261	0.041
boro	BRRI dhan29	6.298	0.265	0.291	0.046
boro	BRRI dhan35	5.345	0.264	0.222	0.036
boro	BRRI dhan36	5.453	0.265	0.27	0.043
boro	BRRI dhan45	5.527	0.266	0.252	0.049
boro	BRRI dhan47	5.587	0.271	0.339	0.074
boro	BRRI dhan50	5.315	0.267	0.151	0.041
boro	BRRI dhan55	5.775	0.286	0.436	0.128
boro	BRRI dhan58	6.111	0.282	0.344	0.106
boro	BRRI dhan59	5.843	0.287	0.337	0.118
boro	BRRI dhan60	6.001	0.285	0.282	0.111
boro	BRRI dhan61	5.823	0.272	0.088	0.047
boro	BRRI dhan63	5.541	0.298	0.079	0.122
boro	BRRI dhan64	5.36	0.286	0.184	0.103
boro	BRRI dhan67	5.478	0.337	0.295	0.237
boro	BRRI dhan68	5.792	0.307	0.108	0.157
boro	BRRI dhan69	6.16	0.315	0.153	0.165
