E	G	GxE_mean
15-AMM	Brasetto	100.07
15-AMM	Conduct	86.1629
15-AMM	Helltop	104.6
15-AMM	Inspector	89.4399
15-AMM	KWS Binntto	111.53
15-AMM	KWS Bono	108.02
15-AMM	KWS Daniello	106.51
15-AMM	KWS Dolaro	109.72
15-AMM	KWS Edmondo	116.58
15-AMM	KWS Eterno	115.77
15-AMM	KWS Fabreo	112.69
15-AMM	KWS Florano	109.88
15-AMM	KWS Gatano	108.7
15-AMM	KWS H156	110.98
15-AMM	KWS H160	119.27
15-AMM	KWS Livado	110.05
15-AMM	KWS Mangano	117.81
15-AMM	KWS Mattino	115.55
15-AMM	KWS Nikko	105.36
15-AMM	KWS Protherm	103.58
15-AMM	KWS Serafino	108.6
15-AMM	KWS Theofano	114.2
15-AMM	KWS Valensio	106.22
15-AMM	KWS Vinetto	113.88
15-AMM	Palazzo	98.8018
15-AMM	SU Cossani	112.25
15-AMM	SU Forsetti	113.96
15-AMM	SU Mephisto	109.38
15-AMM	SU Performer	112.92
15-AMM	SU Satellit	116.41
15-DOB	Brasetto	65.6941
15-DOB	Conduct	54.1114
15-DOB	Helltop	77.8832
15-DOB	Inspector	67.1094
15-DOB	KWS Binntto	84.7807
15-DOB	KWS Bono	82.7442
15-DOB	KWS Daniello	79.6494
15-DOB	KWS Dolaro	78.6553
15-DOB	KWS Edmondo	74.1406
15-DOB	KWS Eterno	76.3135
15-DOB	KWS Fabreo	87.4088
15-DOB	KWS Florano	80.1906
15-DOB	KWS Gatano	83.1458
15-DOB	KWS H156	83.6062
15-DOB	KWS H160	79.9746
15-DOB	KWS Livado	75.6246
15-DOB	KWS Mangano	89.8542
15-DOB	KWS Mattino	80.8508
15-DOB	KWS Nikko	66.2489
15-DOB	KWS Protherm	75.7033
15-DOB	KWS Serafino	75.2989
15-DOB	KWS Theofano	81.9133
15-DOB	KWS Valensio	82.4759
15-DOB	KWS Vinetto	87.4556
15-DOB	Palazzo	73.1994
15-DOB	SU Cossani	79.3006
15-DOB	SU Forsetti	72.8389
15-DOB	SU Mephisto	80.438
15-DOB	SU Performer	75.408
15-DOB	SU Satellit	74.7188
15-GOD	Brasetto	81.9843
15-GOD	Conduct	73.1864
15-GOD	Helltop	93.7078
15-GOD	Inspector	76.4801
15-GOD	KWS Binntto	92.2792
15-GOD	KWS Bono	87.2145
15-GOD	KWS Daniello	89.7125
15-GOD	KWS Dolaro	90.8352
15-GOD	KWS Edmondo	97.2603
15-GOD	KWS Eterno	91.6994
